name,orgnr,omsattning_tkrk,anstallda,ort,branscher,allabolag_url
"Inredningshuset Uppland AB",556624-9826,55838,9,"754 50 Uppsala","Agenturer;Kontorsinredningar;Möbler;Textilier;Grossister;Möbler, hushållsartiklar och järnvaror - agentur;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/inredningshuset-uppland-ab/uppsala/-/5566249826
"Inredningshuset Södertörn AB",556619-2539,67107,12,"151 65 Södertälje","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/inredningshuset-s%C3%B6dert%C3%B6rn-ab/s%C3%B6dert%C3%A4lje/-/5566192539
"Inredningshuset Ossmin Aktiebolag",556199-4533,79872,10,"582 73 Linköping","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/inredningshuset-ossmin-aktiebolag/link%C3%B6ping/-/5561994533
"Inredningshuset Mälardalen AB",556631-4869,76434,25,"721 30 Västerås","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/inredningshuset-m%C3%A4lardalen-ab/v%C3%A4ster%C3%A5s/-/5566314869
"Input interiör Öst Aktiebolag",556319-5030,94512,18,"582 73 Linköping","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/input-interi%C3%B6r-%C3%B6st-aktiebolag/link%C3%B6ping/-/5563195030
"Input Interiör Småland Aktiebolag",556154-1763,87019,11,"421 30 Västra Frölunda","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/input-interi%C3%B6r-sm%C3%A5land-aktiebolag/v%C3%A4stra-fr%C3%B6lunda/-/5561541763
"Infurn Contract Aktiebolag",556467-9693,73227,10,"115 26 Stockholm","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/infurn-contract-aktiebolag/stockholm/-/5564679693
"InHouse Group Sverige AB",556007-5011,52655,13,"361 31 Emmaboda","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/inhouse-group-sverige-ab/emmaboda/-/5560075011
"In & Finn Scandinavien AB",556072-8528,86345,41,"177 38 Järfälla","Lager;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/in-finn-scandinavien-ab/j%C3%A4rf%C3%A4lla/-/5560728528
"Illums Sverige AB",556813-5387,98406,0,"215 32 Malmö","Möbler;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/illums-sverige-ab/malm%C3%B6/-/5568135387
"IEMS AB",556394-1151,58875,31,"411 07 Göteborg","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/iems-ab/g%C3%B6teborg/-/5563941151
"Hästens Sängar Aktiebolag",556052-6377,66442,3,"731 36 Köping","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/h%C3%A4stens-s%C3%A4ngar-aktiebolag/k%C3%B6ping/-/5560526377
"Hulténs i Sverige AB",556920-4836,81790,21,"245 34 Staffanstorp","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/hult%C3%A9ns-i-sverige-ab/staffanstorp/-/5569204836
"Hotel Concept Sverige AB",559127-0748,72790,5,"451 55 Uddevalla","Byggmästare;Kontorsinredningar;Snickeriarbeten;Grossister",https://www.allabolag.se/foretag/hotel-concept-sverige-ab/uddevalla/-/5591270748
"Himla Aktiebolag",556396-6612,63679,28,"752 28 Uppsala","Textilier;Grossister;Möbler, inredning, kök- och belysningsutrustning;Textilier - Partihandel;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/himla-aktiebolag/uppsala/-/5563966612
"Hillerstorps Trä Aktiebolag",556189-2976,76506,16,"335 73 Hillerstorp","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/hillerstorps-tr%C3%A4-aktiebolag/hillerstorp/-/5561892976
"Herrljunga Terrazzo design AB",556240-0738,54783,0,"524 31 Herrljunga","Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/herrljunga-terrazzo-design-ab/herrljunga/-/5562400738
"Hermelin Bygg AB",559127-1696,65458,4,"024
65 458","Belysningsarmatur - Komponenter;Byggmästare;Grossister",https://www.allabolag.se/foretag/hermelin-bygg-ab/stockholm/-/5591271696
"Hayder AB",559071-9083,73683,16,"602 25 Norrköping","Livsmedel;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/hayder-ab/norrk%C3%B6ping/-/5590719083
"HTH Kungens Kurva AB",556884-7726,51109,9,"141 75 Kungens Kurva","Köksinredningar;Butikshandel;Detaljhandel;Virke och byggvaror",https://www.allabolag.se/foretag/hth-kungens-kurva-ab/kungens-kurva/-/5568847726
"Gärsnäs Aktiebolag",556044-4746,67281,28,"272 61 Gärsnäs","Belysningsarmatur - Komponenter;Butiksinredningar, butiksutrustningar;Elektronik - Systemkomponenter;Kontorsinredningar;Möbler;Elektronik - Tillverkning;Grossister;Möbler - Produktion;Producenter",https://www.allabolag.se/foretag/g%C3%A4rsn%C3%A4s-aktiebolag/g%C3%A4rsn%C3%A4s/-/5560444746
"Guldstaden Möbler AB",559400-7105,70099,16,"931 37 Skellefteå","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/guldstaden-m%C3%B6bler-ab/skellefte%C3%A5/-/5594007105
"Gregarts Möbler Aktiebolag",556291-1825,78145,27,"451 75 Uddevalla","Möbler;Textilier;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/gregarts-m%C3%B6bler-aktiebolag/uddevalla/-/5562911825
"Green Furniture Concept AB",556737-4748,76461,16,"211 20 Malmö","Designers, formgivare;Kontorsinredningar;Industridesigners;Möbler;Grossister;Möbler - Produktion;Producenter",https://www.allabolag.se/foretag/green-furniture-concept-ab/malm%C3%B6/-/5567374748
"Golvet HFV AB",556092-5678,54057,35,"424 69 Angered","Byggmästare;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/golvet-hfv-ab/angered/-/5560925678
"Fyrklövern Aktiebolag",556187-0626,89663,34,"211 20 Malmö","Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/fyrkl%C3%B6vern-aktiebolag/malm%C3%B6/-/5561870626
"Fricks Möbler Eftr. Aktiebolag",556245-5955,56656,17,"531 40 Lidköping","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/fricks-m%C3%B6bler-eftr.-aktiebolag/lidk%C3%B6ping/-/5562455955
"Fredag Handel AB",556963-6755,50887,16,"421 32 Västra Frölunda","Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel;Detaljhandel - annat",https://www.allabolag.se/foretag/fredag-handel-ab/v%C3%A4stra-fr%C3%B6lunda/-/5569636755
"Fox Belysning AB",556254-1960,61367,10,"126 26 Hägersten","Belysningsarmatur - Komponenter;Elektronik - Systemkomponenter;Elektronik - Tillverkning;Grossister;Producenter",https://www.allabolag.se/foretag/fox-belysning-ab/h%C3%A4gersten/-/5562541960
"FRESCO AB",556768-4575,59840,10,"703 65 Örebro","Byggmästare;Kontorsinredningar;Snickeriarbeten;Grossister",https://www.allabolag.se/foretag/fresco-ab/%C3%B6rebro/-/5567684575
"Expolinc AB",556277-5303,58515,14,"163 44 Spånga","Kontorsinredningar;Maskinförnödenheter;Grossister",https://www.allabolag.se/foretag/expolinc-ab/sp%C3%A5nga/-/5562775303
"Englesson Sverige Aktiebolag",556262-4642,63881,12,"182 62 Djursholm","Belysningsarmatur - Komponenter;Möbler;Grossister;Möbler - Produktion;Producenter",https://www.allabolag.se/foretag/englesson-sverige-aktiebolag/djursholm/-/5562624642
"Elman-butikerna i Västerås och Köping AB",556385-5864,67322,17,"731 50 Köping","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/elman-butikerna-i-v%C3%A4ster%C3%A5s-och-k%C3%B6ping-ab/k%C3%B6ping/-/5563855864
"Elit Golv Norr AB",556211-5740,72104,43,"853 50 Sundsvall","Byggmästare;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/elit-golv-norr-ab/sundsvall/-/5562115740
"Ekeby Möbler Aktiebolag",556310-2184,89730,36,"267 76 Ekeby","Möbler;Restauranger;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/ekeby-m%C3%B6bler-aktiebolag/ekeby/-/5563102184
"Ecolux AB",556187-4214,76394,28,"265 38 Åstorp","Belysningsarmatur - Komponenter;Elektronik - Systemkomponenter;Elektronik - Tillverkning;Grossister;Producenter",https://www.allabolag.se/foretag/ecolux-ab/%C3%A5storp/-/5561874214
"E. Svenssons i Lammhult Aktiebolag",556075-2577,59487,31,"363 44 Lammhult","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/e.-svenssons-i-lammhult-aktiebolag/lammhult/-/5560752577
"Duro Sweden Aktiebolag",556342-0958,66806,27,"806 28 Gävle","Belysningsarmatur - Komponenter;Färger, lacker, tapeter;Pappersvaror;Plaster- Helfabrikat, beställningsarbeten;Grossister;Pappersvaror - Produktion;Producenter",https://www.allabolag.se/foretag/duro-sweden-aktiebolag/g%C3%A4vle/-/5563420958
"Djurgårdens Fotboll Försäljning AB",556531-5701,50971,3,"115 41 Stockholm","Medieförmedling;Reklambyråer;Möbler, inredning, kök- och belysningsutrustning;Nöjesparker;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/djurg%C3%A5rdens-fotboll-f%C3%B6rs%C3%A4ljning-ab/stockholm/-/5565315701
"Direktlaminat Aktiebolag",556210-0205,89849,41,"342 93 Hjortsberga","Belysningsarmatur - Komponenter;Möbler;Grossister;Möbler - Produktion;Producenter",https://www.allabolag.se/foretag/direktlaminat-aktiebolag/hjortsberga/-/5562100205
"Design House Stockholm AB",556442-4611,61929,20,"118 46 Stockholm","Designers, formgivare;Industridesigners;Lager;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/design-house-stockholm-ab/stockholm/-/5564424611
"Cheil Nordic AB",556932-8403,62451,22,"164 40 Kista","Arkitekter;Designers, formgivare;Reklambyråer;Textilier;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/cheil-nordic-ab/kista/-/5569328403
"CA Development AB",559096-9571,78978,29,"212 25 Malmö","Möbler;Möbler - Produktion;Producenter;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/ca-development-ab/malm%C3%B6/-/5590969571
"Bädd & Bad Aktiebolag",556127-2302,54288,11,"254 64 Helsingborg","Belysningsarmatur - Komponenter;Hushållsutrustningar, vitvaror;Ljudanläggningar, ljusanläggningar, bildanläggningar;Textilier;Grossister;Hushållsutrustningar, vitvaror - grossister;Kosmetik - tillverkare och grossister;Kosmetik, parfym och frisörartiklar;Textilier - Partihandel",https://www.allabolag.se/foretag/b%C3%A4dd-bad-aktiebolag/helsingborg/-/5561272302
"Bra Sommarmöbler i Göteborg AB",556528-8874,71957,11,"417 55 Göteborg","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/bra-sommarm%C3%B6bler-i-g%C3%B6teborg-ab/g%C3%B6teborg/-/5565288874
"Bloms Möbler i Piteå Aktiebolag",556445-7025,63452,20,"943 36 Öjebyn","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/bloms-m%C3%B6bler-i-pite%C3%A5-aktiebolag/%C3%B6jebyn/-/5564457025
"Björn Jansson Livsmedel Aktiebolag",556469-2357,80072,27,"447 37 Vårgårda","Livsmedel;Textilier;Kläder, skor;Konfektion;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/bj%C3%B6rn-jansson-livsmedel-aktiebolag/v%C3%A5rg%C3%A5rda/-/5564692357
"BeslagOnline i Båstad AB",559023-4430,53164,0,"024
53 164","Badrumsinredningar, badrumsrenoveringar;Beslag;Järnvaror;Inredningar;Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/beslagonline-i-b%C3%A5stad-ab/b%C3%A5stad/-/5590234430
"Bergslagens Golvservice Aktiebolag",556238-6747,58872,31,"771 42 Ludvika","Byggmästare;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/bergslagens-golvservice-aktiebolag/ludvika/-/5562386747
"Belab Elbutik AB",556594-1126,83719,26,"113 50 Stockholm","Hushållsmaskiner och apparater, radio, tv, cd och musikinstrument;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/belab-elbutik-ab/stockholm/-/5565941126
"Atlantis Aktiebolag",556211-4073,63552,37,"186 40 Vallentuna","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/atlantis-aktiebolag/vallentuna/-/5562114073
"Artipelag AB",556691-1524,70238,42,"134 40 Gustavsberg","Konferensarrangörer;Restauranger;Konstnärer;Museer;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/artipelag-ab/gustavsberg/-/5566911524
"Artilleriet Interiors AB",556823-6920,64915,16,"411 18 Göteborg","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/artilleriet-interiors-ab/g%C3%B6teborg/-/5568236920
"Aneta Lighting AB",556291-0264,52949,14,"352 46 Växjö","Belysningsarmatur - Komponenter;Elektronik - Systemkomponenter;Elektronik - Tillverkning;Grossister;Producenter",https://www.allabolag.se/foretag/aneta-lighting-ab/v%C3%A4xj%C3%B6/-/5562910264
"Amet & Partners AB",556897-9602,68947,6,"646 30 Gnesta","Belysningsarmatur - Komponenter;Textilier;Grossister;Kosmetik, parfym och frisörartiklar;Textilier - Partihandel;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/amet-partners-ab/gnesta/-/5568979602
"Aktiebolaget Vårby Färghall",556179-5690,80732,16,"143 30 Vårby","Färger, lacker, tapeter;Golvbeläggningar;Mattor;Trävaror;Grossister;Trä och byggvaror - grossist;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/aktiebolaget-v%C3%A5rby-f%C3%A4rghall/v%C3%A5rby/-/5561795690
"Aktiebolaget Rydéns i Gnosjö",556090-6298,74890,21,"335 33 Gnosjö","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/aktiebolaget-ryd%C3%A9ns-i-gnosj%C3%B6/gnosj%C3%B6/-/5560906298
"Aktiebolaget Butiken Hem och Hobby i Hjo",556443-2697,66895,16,"544 50 Hjo","Järnvaror;Textilier;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/aktiebolaget-butiken-hem-och-hobby-i-hjo/hjo/-/5564432697
"Addentity Interiör AB",556839-3416,55518,8,"236 41 Höllviken","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/addentity-interi%C3%B6r-ab/h%C3%B6llviken/-/5568393416
"Addcol Sweden AB",556943-1934,50283,1-4,"291 36 Kristianstad","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/addcol-sweden-ab/kristianstad/-/5569431934
"AB Yllw Factory",556894-0562,83923,53,"247 50 Dalby","Kontorsinredningar;Möbler;Grossister;Möbler - Produktion;Producenter;Reparatörer",https://www.allabolag.se/foretag/ab-yllw-factory/dalby/-/5568940562
"AB Golvinteriör",556412-1621,55541,16,"231 66 Trelleborg","Byggmästare;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/ab-golvinteri%C3%B6r/trelleborg/-/5564121621
"gotain AB",559065-5642,108487,26,"114 29 Stockholm","Postorder/e-handel;Mattor;Läder, skor, inredning, reseeffekter och textilier;Detaljhandel",https://www.allabolag.se/foretag/gotain-ab/stockholm/-/5590655642
"ZilenZio AB",556651-5689,123374,25,"702 27 Örebro","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/zilenzio-ab/%C3%B6rebro/-/5566515689
"ZG Lighting Nordic AB",556410-5608,178722,36,"215 32 Malmö","Belysningsarmatur - Komponenter;Elmateriel;Grossister",https://www.allabolag.se/foretag/zg-lighting-nordic-ab/malm%C3%B6/-/5564105608
"Yalda Grossist AB",559055-7095,104783,9,"602 10 Norrköping","Kläder;Livsmedel;Spel, nöjesanläggningsutrustningar;Grossister;Hushållsmaskiner och apparater, radio, tv, cd och musikinstrument;Konfektion;Livsmedel - agenturer och grossister;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/yalda-grossist-ab/norrk%C3%B6ping/-/5590557095
"Workplaces For Industries WFI AB",556663-2567,154159,24,"335 32 Gnosjö","Kontorsinredningar;Möbler;Grossister;Möbler - Produktion;Producenter",https://www.allabolag.se/foretag/workplaces-for-industries-wfi-ab/gnosj%C3%B6/-/5566632567
"Wikholm Form AB",556692-1606,140177,27,"506 46 Borås","Belysningsarmatur - Komponenter;Köksinredningar;Textilier;Grossister;Köksinredningar - agentur och grossist;Textilier - Partihandel",https://www.allabolag.se/foretag/wikholm-form-ab/bor%C3%A5s/-/5566921606
"Wanzl Nordic AB",556173-9383,151069,33,"571 75 Fredriksdal","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/wanzl-nordic-ab/fredriksdal/-/5561739383
"Vikingsun Aktiebolag",556492-4362,104430,18,"112 33 Stockholm","Postorder/e-handel;Ljudanläggningar, ljusanläggningar, bildanläggningar;Grossister;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/vikingsun-aktiebolag/stockholm/-/5564924362
"Vestre Sverige AB (VESTREAB)",556572-2344,116325,4,"685 34 Torsby","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/vestre-sverige-ab-vestreab/torsby/-/5565722344
"TreCe AB",556181-0820,103906,20,"602 28 Norrköping","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/trece-ab/norrk%C3%B6ping/-/5561810820
"Tempur Sealy Sverige AB",556082-7718,138320,25,"118 63 Stockholm","Belysningsarmatur - Komponenter;Textilier;Grossister;Textilier - Partihandel",https://www.allabolag.se/foretag/tempur-sealy-sverige-ab/stockholm/-/5560827718
"Sänghuset Elgen AB",556633-5997,100039,20,"114 31 Stockholm","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/s%C3%A4nghuset-elgen-ab/stockholm/-/5566335997
"Swedese Möbler Aktiebolag",556280-1323,165761,87,"567 30 Vaggeryd","Möbler;Möbler - Produktion;Producenter;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/swedese-m%C3%B6bler-aktiebolag/vaggeryd/-/5562801323
"Strömstads Värme & Sanitet Aktiebolag",556051-2971,100961,40,"452 35 Strömstad","Byggmästare;Golvbeläggningar;Järnvaror;Mattor;Grossister;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/str%C3%B6mstads-v%C3%A4rme-sanitet-aktiebolag/str%C3%B6mstad/-/5560512971
"Stefan Billing Livs AB",556209-5306,197362,47,"223 63 Lund","Köttprodukter, slakteriprodukter;Livsmedel;Livsmedel - tillverkning;Möbler, inredning, kök- och belysningsutrustning;Producenter;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/stefan-billing-livs-ab/lund/-/5562095306
"Steamery AB",556926-1166,130600,35,"118 48 Stockholm","Möbler;Hushållsmaskiner och apparater, radio, tv, cd och musikinstrument;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/steamery-ab/stockholm/-/5569261166
"Sono Sverige AB",556595-7809,161147,18,"421 31 Västra Frölunda","Belysningsarmatur - Komponenter;Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/sono-sverige-ab/v%C3%A4stra-fr%C3%B6lunda/-/5565957809
"Sonesson Inredningar AB",556139-0336,117268,8,"421 31 Västra Frölunda","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/sonesson-inredningar-ab/v%C3%A4stra-fr%C3%B6lunda/-/5561390336
"Soffadirekt Scandinavia AB",556827-4897,146357,18,"602 23 Norrköping","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/soffadirekt-scandinavia-ab/norrk%C3%B6ping/-/5568274897
"Smart Products Scandinavia Aktiebolag",556226-1437,126268,12,"137 69 Österhaninge","Postorder/e-handel;Köksinredningar;Grossister;Köksinredningar - agentur och grossist;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/smart-products-scandinavia-aktiebolag/%C3%B6sterhaninge/-/5562261437
"Sleepo AB",556857-0146,144667,14,"113 53 Stockholm","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/sleepo-ab/stockholm/-/5568570146
"Sagaform AB",556402-4064,100973,25,"504 64 Borås","Belysningsarmatur - Komponenter;Fastighetsbolag, lokaler;Köksinredningar;Ljudanläggningar, ljusanläggningar, bildanläggningar;Grossister;Köksinredningar - agentur och grossist",https://www.allabolag.se/foretag/sagaform-ab/bor%C3%A5s/-/5564024064
"SENG Sverige AB",559320-2426,133899,70,"417 03 Göteborg","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/seng-sverige-ab/g%C3%B6teborg/-/5593202426
"Runelandhs Försäljnings Aktiebolag",556453-2009,115732,16,"392 41 Kalmar","Kontorsinredningar;Grossister;Insatsvaror;Insatsvaror - grossister",https://www.allabolag.se/foretag/runelandhs-f%C3%B6rs%C3%A4ljnings-aktiebolag/kalmar/-/5564532009
"Rekomo AB",556347-9343,162875,54,"431 37 Mölndal","Kontorsinredningar;Möbler;Grossister;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/rekomo-ab/m%C3%B6lndal/-/5563479343
"Rainbow Bay AB",559342-1877,143599,11,"113 21 Stockholm","Postorder/e-handel;Mattor;Läder, skor, inredning, reseeffekter och textilier;Detaljhandel",https://www.allabolag.se/foretag/rainbow-bay-ab/stockholm/-/5593421877
"ROL Fredbergs AB",556048-1177,126907,18,"555 93 Jönköping","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/rol-fredbergs-ab/j%C3%B6nk%C3%B6ping/-/5560481177
"Proton Lighting AB",556048-6325,181292,73,"331 42 Värnamo","Belysningsarmatur - Komponenter;Elektronik - Systemkomponenter;Elektronik - Tillverkning;Grossister;Producenter",https://www.allabolag.se/foretag/proton-lighting-ab/v%C3%A4rnamo/-/5560486325
"Produktion Ella i Mälardalen AB",556945-7111,103146,19,"731 60 Valskog","Möbler;Möbler - Produktion;Producenter;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/produktion-ella-i-m%C3%A4lardalen-ab/valskog/-/5569457111
"Norrgavel AB",556491-3381,127986,62,"211 20 Malmö","Designers, formgivare;Industridesigners;Möbler;Möbler - Produktion;Producenter;Reparatörer;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/norrgavel-ab/malm%C3%B6/-/5564913381
"Najell AB",556819-7494,147353,35,"222 23 Lund","Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/najell-ab/lund/-/5568197494
"NMM i Gällivare AB",556633-6300,172321,3,"983 41 Koskullskulle","Byggmaskiner, arbetsmaskiner;Byggmästare;Fastighetsbolag, lokaler;Elinstallationer;Motorer;Möbler, inredning, kök- och belysningsutrustning;Reparatörer;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/nmm-i-g%C3%A4llivare-ab/koskullskulle/-/5566336300
"Miljöhallen Golv AB",556260-5674,138030,63,"553 02 Jönköping","Byggmästare;Golvbeläggningar;Mattor;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/milj%C3%B6hallen-golv-ab/j%C3%B6nk%C3%B6ping/-/5562605674
"Mattadirekt Sweden AB",559248-2441,101499,14,"554 74 Jönköping","Postorder/e-handel;Mattor;Läder, skor, inredning, reseeffekter och textilier;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/mattadirekt-sweden-ab/j%C3%B6nk%C3%B6ping/-/5592482441
"MaterialMännen AB",556190-2510,179946,62,"598 40 Vimmerby","Möbler;Trävaror;Grossister;Trä och byggvaror - grossist;Butikshandel;Detaljhandel;Virke och byggvaror",https://www.allabolag.se/foretag/materialm%C3%A4nnen-ab/vimmerby/-/5561902510
"Markslöjd Intertrade Aktiebolag",556022-2050,107046,26,"511 62 Skene","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/marksl%C3%B6jd-intertrade-aktiebolag/skene/-/5560222050
"Mariedals Möbler i Umeå AB",559018-5459,145792,31,"906 40 Umeå","Möbler;Textilier;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/mariedals-m%C3%B6bler-i-ume%C3%A5-ab/ume%C3%A5/-/5590185459
"Livv AB",556282-2394,107856,21,"722 13 Västerås","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/livv-ab/v%C3%A4ster%C3%A5s/-/5562822394
"Kasthall Mattor och Golv AB",556518-5880,140534,77,"511 57 Kinna","Belysningsarmatur - Komponenter;Textilier;Trävaror;Grossister;Producenter;Textilier - Produktion;Trä och byggvaror - grossist",https://www.allabolag.se/foretag/kasthall-mattor-och-golv-ab/kinna/-/5565185880
"Interior Experts Sweden AB",556507-0736,151623,57,"692 35 Kumla","Butiksinredningar, butiksutrustningar;Kontorsinredningar;Möbler;Grossister;Möbler - Produktion;Producenter",https://www.allabolag.se/foretag/interior-experts-sweden-ab/kumla/-/5565070736
"Interface Sverige Aktiebolag",556097-1961,124766,17,"118 53 Stockholm","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/interface-sverige-aktiebolag/stockholm/-/5560971961
"Input interiör Nord Aktiebolag",556504-9060,114443,29,"906 40 Umeå","Belysningsarmatur - Komponenter;Kontorsinredningar;Lager;Grossister",https://www.allabolag.se/foretag/input-interi%C3%B6r-nord-aktiebolag/ume%C3%A5/-/5565049060
"Input Interiör Sjuhärad Aktiebolag",556311-2290,101896,23,"506 34 Borås","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/input-interi%C3%B6r-sjuh%C3%A4rad-aktiebolag/bor%C3%A5s/-/5563112290
"Imaginative Design INT AB",559047-2766,104311,41,"116 20 Stockholm","Postorder/e-handel;Möbler, inredning, kök- och belysningsutrustning;Detaljhandel",https://www.allabolag.se/foretag/imaginative-design-int-ab/stockholm/-/5590472766
"Hästens Sängar Tillverkning Aktiebolag",556581-2996,181695,91,"731 36 Köping","Belysningsarmatur - Komponenter;Möbler;Textilier;Grossister;Möbler - Produktion;Producenter;Textilier - Partihandel",https://www.allabolag.se/foretag/h%C3%A4stens-s%C3%A4ngar-tillverkning-aktiebolag/k%C3%B6ping/-/5565812996
"Holdit AB",556456-9928,143765,22,"432 40 Varberg","Belysningsarmatur - Komponenter;Datorer - Kringutrustningar;Elmateriel;Postorder/e-handel;Elektronik- och telekommunikationsutrustning;Elektronik- och telekommunikationsutrustning - grossist;Grossister;Detaljhandel",https://www.allabolag.se/foretag/holdit-ab/varberg/-/5564569928
"Haga Gruppen i möbler AB",556609-2861,121334,12,"565 76 Bottnaryd","Belysningsarmatur - Komponenter;Grossister",https://www.allabolag.se/foretag/haga-gruppen-i-m%C3%B6bler-ab/bottnaryd/-/5566092861
"Guldcentrum Sverige AB",556780-3340,183087,3,"211 35 Malmö","Guld, silver, ädelstenar;Klockor, ur;Möbler, inredning, kök- och belysningsutrustning;Urmakare;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/guldcentrum-sverige-ab/malm%C3%B6/-/5567803340
