orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,county,municipality,post_place,zip_code,address,revenue_sek,revenue_year,revenue_tier,in_revenue_band,employees,status,phone,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,resolve_debug,domain,email,contact_page,source,is_webshop,webshop_signals,webshop_platform,webshop_debug,product_count_estimate,seo_pages_sampled,seo_avg_title_len,seo_avg_desc_len,seo_missing_meta_desc_pct,seo_missing_h1_pct,seo_duplicate_title_pct,seo_avg_alt_coverage_pct,seo_avg_product_desc_words,seo_jsonld_product_pct,seo_gap_score,uses_clerk_io,clerk_io_evidence,lead_score,lead_reasons,debug
556650-3628,AB Joh. Palmgren,AB Joh. Palmgren,Skor,Skor,"Läder och lädervaror; Läder, skor, inredning, reseeffekter och textilier; Detaljhandel; Butikshandel; Postorder/e-handel; Producenter; Läder och lädervaror - tillverkning; Reseeffekter; Skor; Reparatörer",Stockholm,Stockholm,Stockholm,114 51,Sibyllegatan 7,10339000,2025-08,sweet_spot,true,4,,,,,,https://www.allabolag.se/foretag/ab-joh-palmgren/stockholm/-/2K25HOSI5YHGY,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_candidates:16 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=AB%20Joh.%20Palmgren%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
559365-0020,Smycka Butiksbolaget i Partille AB,Smycka Butiksbolaget i Partille AB,Smycken,Urmakare,"Urmakare; Klockor, ur; Guld, silver, ädelstenar; Butikshandel; Detaljhandel; Postorder/e-handel",Västra Götaland,Partille,Partille,433 33,Gamla Kronvägen 7 Allum236,10150000,2025-04,sweet_spot,true,5,,,,,,https://www.allabolag.se/foretag/smycka-butiksbolaget-i-partille-ab/partille/-/2KIBBZ8I63IL5,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Smycka%20Butiksbolaget%20i%20Partille%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556569-5102,Nallens Leksaker i City AB,Nallens Leksaker i City AB,Leksaker,"Spel, nöjesanläggningsutrustningar","Spel, nöjesanläggningsutrustningar; Butikshandel; Detaljhandel",Uppsala,Uppsala,Uppsala,753 20,S:T Persgatan 16,10000000,2025-04,sweet_spot,true,4,,018143425,,,,https://www.allabolag.se/foretag/nallens-leksaker-i-city-ab/uppsala/-/2K1O5TQI5YHPS,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Nallens%20Leksaker%20i%20City%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556402-3702,Watch International i Norrköping AB,Watch International i Norrköping AB,Smycken,"Klockor, ur","Klockor, ur; Detaljhandel; Guld, silver, ädelstenar; Postorder/e-handel",Östergötland,Norrköping,Norrköping,602 32,Prästgatan 22,9978000,2025-08,sweet_spot,true,3,,+46 8 110 33 00,,,http://www.becksurhandel.se,https://www.allabolag.se/foretag/watch-international-i-norrkoping-ab/norrkoping/-/2K0OC5YI5YEZ0,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/becks+urhandel/norrk%C3%B6ping/lrrrdhlo | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,becksurhandel.se,kundservice@becksurhandel.se,https://www.becksurhandel.se/om-oss,browser,yes,cart; product_cards; priced_cards; checkout,,main@https://www.becksurhandel.se/:hasCart(uiPhrase) | main@https://www.becksurhandel.se/:pricedCards(multiPrices) | main@https://www.becksurhandel.se/:productCards(142) | DECISION@main@https://www.becksurhandel.se/ | contact_like@https://www.becksurhandel.se/kundtjanst-klockmaster/trygg-e-handel:hasCheckout(uiPhrase) | contact_like@https://www.becksurhandel.se/kundtjanst-klockmaster/trygg-e-handel:hasCart(uiPhrase) | DECISION@contact_like@https://www.becksurhandel.se/kundtjanst-klockmaster/trygg-e-handel | contact_like@https://www.becksurhandel.se/klockbutik/norrkoping:hasCart(uiPhrase) | contact_like@https://www.becksurhandel.se/klockbutik/norrkoping:samplingRan(sampled=0),,,,,,,,,,,,no,,30,"is_webshop, has_email",dom_fallback:0_urls
556462-9045,Åsljunga Möbelfabrik,Aktiebolaget Åsljunga Möbelfabrik,Möbler,Möbler,Möbler; Möbler - Produktion; Producenter,Skåne,Örkelljunga,Åsljunga,286 72,Sjöhultsv. 4,9770000,2024-12,sweet_spot,true,9,,0435 460004,asljungamobelfabrik@home.se,,,https://www.allabolag.se/foretag/asljunga-mobelfabrik/orkelljunga/-/2K11B91I5YGJV,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=%C3%85sljunga%20M%C3%B6belfabrik%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556942-2958,CN Mode AB,CN Mode AB,Mode,Evenemangsproduktioner,Evenemangsproduktioner; Konfektion; Kläder; Grossister,Västra Götaland,Göteborg,Göteborg,413 10,Alfhemsgatan 2 a Lgh 1301,9608000,2024-12,sweet_spot,true,18,,,,,,https://www.allabolag.se/foretag/cn-mode-ab/goteborg/-/2K3W29AI5YDTG,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:32 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=CN%20Mode%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556813-0503,Mats Hansson Åkeri AB,Mats Hansson Åkeri AB,Mode,Åkerier,"Åkerier; Transportförmedling; Finansbolag, finansiella tjänster; Värdepappershandel",,,,,,9453000,2024-12,sweet_spot,true,5,,0709-768130,,,,https://www.allabolag.se/foretag/mats-hansson-akeri-ab/-/-/2K34CZRI5YIR3,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:32 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Mats%20Hansson%20%C3%85keri%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556493-9568,Jan-Olof Gratte Mode Aktiebolag,Jan-Olof Gratte Mode Aktiebolag,Mode,Konfektion,"Konfektion; Butikshandel; Detaljhandel; Kläder, skor",Kalmar,Nybro,Nybro,382 30,Storgatan 4,9367000,2025-02,sweet_spot,true,5,,,,,,https://www.allabolag.se/foretag/jan-olof-gratte-mode-aktiebolag/nybro/-/2K17YUOI63II4,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Jan-Olof%20Gratte%20Mode%20Aktiebolag%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556728-2644,Carolinas Hälsokost i Ystad AB,Carolinas Hälsokost i Ystad AB,Hälsokost,Livsmedel,"Livsmedel; Hälsokost, naturläkemedel; Detaljhandel; Butikshandel",Skåne,Ystad,Ystad,271 34,Stora Östergatan 14 2tr,9258000,2025-08,sweet_spot,true,5,,,,,,https://www.allabolag.se/foretag/carolinas-halsokost-i-ystad-ab/ystad/-/2K2M6S4I5YFWD,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Carolinas%20H%C3%A4lsokost%20i%20Ystad%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556387-5110,Allt material på www,"Kristallrummet, Smycken & Stenar AB",Smycken,Urmakare,"Urmakare; Klockor, ur; Guld, silver, ädelstenar; Butikshandel; Detaljhandel - annat; Detaljhandel; Postorder/e-handel; Möbler, inredning, kök- och belysningsutrustning; Butikshandel -övrigt; Grossister",Stockholm,Stockholm,Stockholm,116 46,Hökens Gata 6,9219000,2024-09,sweet_spot,true,4,,087148828,,,http://www.kristallrummet.se,https://www.allabolag.se/foretag/kristallrummet-smycken-och-stenar-ab/stockholm/-/2K0L5IEI63IL5,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/kristallrummet-ab/johanneshov/aqxhmnqv | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,kristallrummet.se,,https://kristallrummet.se,browser,yes,checkout_provider; cart; checkout; product_cards; priced_cards; provider:shopify,shopify,main@https://kristallrummet.se/:hasCheckout(urlPath:/checkout) | main@https://kristallrummet.se/:hasCart(urlPath:/cart) | main@https://kristallrummet.se/:pricedCards(multiPrices) | main@https://kristallrummet.se/:providers(shopify) | main@https://kristallrummet.se/:productCards(200) | DECISION@main@https://kristallrummet.se/ | internal@https://kristallrummet.se/products/live:hasCheckout(urlPath:/checkout) | internal@https://kristallrummet.se/products/live:hasCart(urlPath:/cart) | internal@https://kristallrummet.se/products/live:pricedCards(multiPrices) | internal@https://kristallrummet.se/products/live:providers(shopify) | internal@https://kristallrummet.se/products/live:productCards(43) | DECISION@internal@https://kristallrummet.se/products/live,80,3,45,72,0,0,0,80,53,100,17,no,,57,"is_webshop, platform:shopify, catalog_50plus, seo_gap_low",sitemap:80_products_from_2_sitemaps | seo_sampled:3 gap:17
559007-4554,Rinkeby Apotek & Hälsokost AB,Rinkeby Apotek & Hälsokost AB,Hälsokost,"Apoteksvaror, läkemedel - Distribution","Apoteksvaror, läkemedel - Distribution; Detaljhandel; Butikshandel; Livsmedel; Hälsokost, naturläkemedel; Agenturhandel-övrig; Agenturer; Apoteksvaror, läkemedel - Partihandel; Grossister",Stockholm,Sundbyberg,,,,9078000,2023-12,sweet_spot,true,3,,,,,,https://www.allabolag.se/foretag/rinkeby-apotek-och-halsokost-ab/sundbyberg/-/2KG6P4QI5YCST,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Rinkeby%20Apotek%20%26%20H%C3%A4lsokost%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556461-6273,Leksakslagret i Vetlanda Aktiebolag,Leksakslagret i Vetlanda Aktiebolag,Leksaker,"Spel, nöjesanläggningsutrustningar","Spel, nöjesanläggningsutrustningar; Butikshandel; Detaljhandel",Jönköping,Vetlanda,Vetlanda,574 35,Kolvägen 17,9072000,2024-12,sweet_spot,true,5,,,,,,https://www.allabolag.se/foretag/leksakslagret-i-vetlanda-aktiebolag/vetlanda/-/2K111E9I5YHPS,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_candidates:14 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Leksakslagret%20i%20Vetlanda%20Aktiebolag%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556954-7622,Falugruppen arkitektkontor AB,Falugruppen arkitektkontor AB,Mode,Arkitekter,Arkitekter,Dalarna,Falun,Falun,791 71,Åsgatan 12,9066000,2025-08,sweet_spot,true,9,,023-794050,info@falugruppen.se,https://falugruppen.se/,https://falugruppen.se/,https://www.allabolag.se/foretag/falugruppen-arkitektkontor-ab/falun/-/2K3YQG6I5YCJ5,already_present,,,falugruppen.se,personal@falugruppen.se; info@falugruppen.se,https://falugruppen.se/om-oss,browser,no,,,,,,,,,,,,,,,no,,0,not_webshop,
556631-3838,SoHo Smycken & Klockor AB,SoHo Smycken & Klockor AB,Smycken,Urmakare,"Urmakare; Klockor, ur; Guld, silver, ädelstenar; Butikshandel",Kronoberg,Växjö,Växjö,352 30,Storgatan 29,8801000,2025-10,sweet_spot,true,3,,+46 470 76 44 88,,,https://www.sohosmycken.se,https://www.allabolag.se/foretag/soho-smycken-och-klockor-ab/vaxjo/-/2K21F8UI63IL5,mojeek,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:14 | mojeek_picked:sohosmycken.se(score=14),sohosmycken.se,order@sohosmycken.se; info@sohosmycken.se,https://sohosmycken.se,static,yes,checkout_provider; checkout; product_cards; priced_cards; provider:klarna; provider:woocommerce,"klarna,woocommerce","static@https://sohosmycken.se:hasCheckout(uiPhrase) | static@https://sohosmycken.se:pricedCards(multiPrices) | static@https://sohosmycken.se:providers(klarna,woocommerce) | static@https://sohosmycken.se:productCards(19) | DECISION@static@https://sohosmycken.se",80,5,17,29,80,100,60,36,97,0,67,no,,90,"is_webshop, platform:klarna,woocommerce, catalog_50plus, seo_gap_moderate, missing_meta_desc, duplicate_titles, no_product_schema, has_email, has_orgnr",sitemap:80_products_from_3_sitemaps | seo_sampled:5 gap:67
556296-3958,HP Hälsokost Aktiebolag,HP Hälsokost Aktiebolag,Hälsokost,Livsmedel,"Livsmedel; Hälsokost, naturläkemedel; Detaljhandel; Butikshandel",Jämtland,Östersund,Östersund,831 31,Prästgatan 28,8799000,2025-04,sweet_spot,true,7,,063511076,,,http://www.hphalsokost.se,https://www.allabolag.se/foretag/hp-halsokost-aktiebolag/ostersund/-/2K01MGMI5YFWD,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/hp-halsokost-halsokraft/%C3%B6stersund/ngszhkkgo | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,hphalsokost.se,jpersson@hphalsokost.se,https://hphalsokost.se,browser,no,,,main@https://hphalsokost.se/:samplingRan(sampled=0),,,,,,,,,,,,no,,0,not_webshop,
556357-7195,ELFSTRÖMS POSTORDER Aktiebolag,ELFSTRÖMS POSTORDER Aktiebolag,Postorder,"Apoteksvaror, läkemedel - Partihandel","Apoteksvaror, läkemedel - Partihandel; Apoteksvaror, läkemedel - Distribution; Grossister; Detaljhandel - annat; Detaljhandel; Postorder/e-handel",Stockholm,Stockholm,Stockholm,113 41,Norrbackagatan 8 Lgh 1301,8710000,2025-06,sweet_spot,true,1,,0708432334,,,,https://www.allabolag.se/foretag/elfstroms-postorder-aktiebolag/stockholm/-/2K0ERMZI63IM3,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=ELFSTR%C3%96MS%20POSTORDER%20Aktiebolag%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556766-9188,Capo AB,Capo AB,E-handel,E-handel,"E-handel; E-handel - Program, system; Reklambyråer",Västra Götaland,Göteborg,Göteborg,41103,Odinsgatan 13,8620000,2024-12,sweet_spot,true,7,,+46 72 088 97 56,mattias.ericson@capo.se,https://www.capo.se,https://www.capo.se,https://www.allabolag.se/foretag/capo-ab/goteborg/-/2K2UH1GI5YDVM,already_present,,,capo.se,mattias.ericson@capo.se,https://www.capo.se/om-oss,browser,no,sampled_3; sample_addtocart_2,,main@https://www.capo.se/:samplingRan(sampled=3) | sampleURL@https://capo.se/tjanster/produkter/digital-asset-portal:status=200 | sampleURL@https://capo.se/tjanster/produkter/digital-product-passport:status=200:ATC | sampleURL@https://capo.se/tjanster/produkter/reservdelsportal:status=200:ATC,,,,,,,,,,,,no,,5,has_identity,
556120-8090,Leklust AB,Lasses Leksaker Aktiebolag,Leksaker,"Spel, nöjesanläggningsutrustningar","Spel, nöjesanläggningsutrustningar; Butikshandel; Detaljhandel",Södermanland,Eskilstuna,Eskilstuna,632 18,Nybrogatan 4,8557000,2024-12,sweet_spot,true,5,,016130335,,,http://www.leklust.se/butiker/eskilstuna/,https://www.allabolag.se/foretag/lasses-leksaker-aktiebolag/eskilstuna/-/2JYZZMII5YHPS,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/lasses+leksaker+ab/eskilstuna/fhakrvyhi | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,leklust.se,,https://leklust.se,static,no,product_cards,,static@https://leklust.se:productCards(19),,,,,,,,,,,,no,,5,has_identity,
559085-2462,Hudvårdskompaniet,Hudvårdskompaniet Sverige AB,Hudvård,"Kosmetik, parfym och frisörartiklar","Kosmetik, parfym och frisörartiklar; Detaljhandel; Butikshandel",Kalmar,Vimmerby,Vimmerby,598 37,Sevedegatan 29,8413000,2024-12,sweet_spot,true,7,,+46 76 126 21 17,,,https://www.hudvardskompaniet.se/,https://www.allabolag.se/foretag/hudvardskompaniet-sverige-ab/vimmerby/-/2KGNDDAI63IIB,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/hudvardskompaniet-vastervik/v%C3%A4stervik/lqbbilqv | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,hudvardskompaniet.se,hej@hudvardskompaniet.se,https://hudvardskompaniet.se,browser,yes,checkout_provider; cart; product_cards; priced_cards; provider:woocommerce,woocommerce,main@https://hudvardskompaniet.se/:hasCart(urlPath:/varukorg) | main@https://hudvardskompaniet.se/:pricedCards(multiPrices) | main@https://hudvardskompaniet.se/:providers(woocommerce) | main@https://hudvardskompaniet.se/:productCards(200) | DECISION@main@https://hudvardskompaniet.se/,80,5,46,0,100,0,0,96,13,0,57,no,,82,"is_webshop, platform:woocommerce, catalog_50plus, seo_gap_moderate, missing_meta_desc, thin_product_copy, no_product_schema, has_email",sitemap:80_products_from_2_sitemaps | seo_sampled:5 gap:57
556298-6637,Haglunds Mode Aktiebolag,Haglunds Mode Aktiebolag,Mode,Konfektion,"Konfektion; Butikshandel; Detaljhandel; Kläder, skor",Dalarna,Mora,Mora,792 30,Fridhemsplan 2,7999000,2025-04,sweet_spot,true,4,,025010698,,,,https://www.allabolag.se/foretag/haglunds-mode-aktiebolag/mora/-/2K023YLI63II4,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Haglunds%20Mode%20Aktiebolag%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556572-7491,Leklust AB,Albins Leksaker i Hudiksvall AB,Leksaker,"Spel, nöjesanläggningsutrustningar","Spel, nöjesanläggningsutrustningar; Butikshandel; Detaljhandel",Gävleborg,Hudiksvall,Hudiksvall,824 30,Storgatan 24,7969000,2024-12,sweet_spot,true,5,,,,,http://www.leklust.se,https://www.allabolag.se/foretag/albins-leksaker-i-hudiksvall-ab/hudiksvall/-/2K1OUTFI5YHPS,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/albins+leksaker+i+hudiksvall/hudiksvall/icqzlcsy | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,leklust.se,,https://leklust.se,static,no,product_cards,,static@https://leklust.se:productCards(19),,,,,,,,,,,,no,,5,has_identity,
556947-2524,Sickla Kemtvätt & Skrädderi Sko o Nyckelservice AB,Sickla Kemtvätt & Skrädderi Sko o Nyckelservice AB,Skor,Skor,Reparatörer; Skor; Läder och lädervaror; Tvätterier,Stockholm,Nacka,Nacka,131 54,Simbagatan 17,7759000,2025-04,sweet_spot,true,6,,0894976007,,,,https://www.allabolag.se/foretag/sickla-kemtvatt-och-skradderi-sko-o-nyckelservice-ab/nacka/-/2K3X4I4I5YHGY,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Sickla%20Kemtv%C3%A4tt%20%26%20Skr%C3%A4dderi%20Sko%20o%20Nyckelservice%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556954-0213,Hallmans Skomakeri & Skor AB,Hallmans Skomakeri & Skor AB,Skor,Skor,"Skor - detaljister; Detaljhandel; Butikshandel; Kläder, skor; Skor; Läder och lädervaror; Reparatörer",Stockholm,Stockholm,Stockholm,113 39,Birkagatan 14,7699000,2025-12,sweet_spot,true,7,,+46 8 30 37 77; +46 8 762 85 78,,,http://hallmansskor.com/,https://www.allabolag.se/foretag/hallmans-skomakeri-och-skor-ab/stockholm/-/2K3YKQDI5YHGY,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/hallmans+skomakeri+och+skor+ab/stockholm/icsbddjm | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,hallmansskor.com,info@hallmansskor.com,https://hallmansskor.com/about,browser,yes,checkout_provider; cart; product_cards; priced_cards; provider:woocommerce,woocommerce,main@https://hallmansskor.com/:hasCart(urlPath:/cart) | main@https://hallmansskor.com/:pricedCards(multiPrices) | main@https://hallmansskor.com/:providers(woocommerce) | main@https://hallmansskor.com/:productCards(130) | DECISION@main@https://hallmansskor.com/ | contact_like@https://hallmansskor.com/om-oss/:hasCart(urlPath:/cart) | contact_like@https://hallmansskor.com/om-oss/:providers(woocommerce) | DECISION@contact_like@https://hallmansskor.com/om-oss/ | contact_like@https://hallmansskor.com/kontakt/:hasCart(urlPath:/cart) | contact_like@https://hallmansskor.com/kontakt/:providers(woocommerce) | DECISION@contact_like@https://hallmansskor.com/kontakt/ | contact_like@https://hallmansskor.com/contact/:hasCart(urlPath:/cart) | contact_like@https://hallmansskor.com/contact/:providers(woocommerce) | DECISION@contact_like@https://hallmansskor.com/contact/ | contact_like@https://hallmansskor.com/about-us/:hasCart(urlPath:/cart) | contact_like@https://hallmansskor.com/about-us/:providers(woocommerce) | DECISION@contact_like@https://hallmansskor.com/about-us/,1,1,32,0,100,0,0,57,7910,0,45,no,,61,"is_webshop, platform:woocommerce, seo_gap_moderate, missing_meta_desc, no_product_schema, has_email",sitemap:1_products_from_8_sitemaps | dom_fallback:1_urls | seo_sampled:1 gap:45
556589-2998,Hudvårdshögskolan -,Hudvårdshögskolan International Beauty School of Sweden AB,Hudvård,Skolor och utbildning,Skolor och utbildning; Hudvårdsprodukter,Stockholm,Nacka,Nacka,131 54,Smedjegatan 18,7685000,2025-06,sweet_spot,true,6,,+46 8 653 37 22,,,https://www.hudvardshogskolan.se/,https://www.allabolag.se/foretag/hudvardshogskolan-international-beauty-school-of-sweden-ab/nacka/-/2K1SEIUI63IKI,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/hudv%C3%A5rdsh%C3%B6gskolan+ibs/nacka/jcpvyiaak | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,hudvardshogskolan.se,info@vardhogskolan.se,https://www.hudvardshogskolan.se/om-oss,browser,yes,checkout_provider; cart; product_cards; provider:magento,magento,main@https://www.hudvardshogskolan.se/:hasCart(urlPath:/cart) | main@https://www.hudvardshogskolan.se/:providers(magento) | main@https://www.hudvardshogskolan.se/:productCards(5) | DECISION@main@https://www.hudvardshogskolan.se/ | contact_like@https://www.hudvardshogskolan.se/kontakt:hasCart(urlPath:/cart) | contact_like@https://www.hudvardshogskolan.se/kontakt:providers(magento) | contact_like@https://www.hudvardshogskolan.se/kontakt:productCards(8) | DECISION@contact_like@https://www.hudvardshogskolan.se/kontakt | contact_like@https://www.hudvardshogskolan.se/om-skolan:hasCart(urlPath:/cart) | contact_like@https://www.hudvardshogskolan.se/om-skolan:providers(magento) | contact_like@https://www.hudvardshogskolan.se/om-skolan:productCards(5) | DECISION@contact_like@https://www.hudvardshogskolan.se/om-skolan,,,,,,,,,,,,no,,38,"is_webshop, platform:magento, has_email",dom_fallback:0_urls
556847-1444,Bärget Macken,TC Karlsson Bensin AB,Smycken,Bensinstationer,Bensinstationer; Butikshandel,Dalarna,Ludvika,GRÄNGESBERG,77230,Kopparbergsvägen 45,7379000,2025-04,sweet_spot,true,3,,0240-211 38,kontakt@uc.se,,,https://www.allabolag.se/foretag/barget-macken/ludvika/-/2K3BO2CI63IMA,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=B%C3%A4rget%20Macken%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556771-1840,Göteborgs trädgårdar,Heinz Pettersson Göteborgs trädgårdar AB,Trädgård,Trädgårdsanläggningar,Trädgårdsanläggningar; Parkanläggningar,Västra Götaland,Mölndal,LINDOME,43731,Sagbäcksvägen 1,7343000,2025-12,sweet_spot,true,5,,+46 70 176 17 12,info@goteborgstradgardar.se,https://www.goteborgstradgardar.se,https://www.goteborgstradgardar.se,https://www.allabolag.se/foretag/heinz-pettersson-goteborgs-tradgardar-ab/molndal/-/2K2VDY8I5YI51,already_present,,,goteborgstradgardar.se,info@goteborgstradgardar.se,https://goteborgstradgardar.se,browser,no,,,,,,,,,,,,,,,no,,5,has_identity,
556938-0446,Carolinas Hälsokost Syd AB,Carolinas Hälsokost Syd AB,Hälsokost,Livsmedel,"Livsmedel; Hälsokost, naturläkemedel; Detaljhandel; Butikshandel",Skåne,Ystad,Ystad,271 34,Stora Östergatan 14,7271000,2025-08,sweet_spot,true,6,,,,,,https://www.allabolag.se/foretag/carolinas-halsokost-syd-ab/ystad/-/2K3V5GEI5YFWD,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Carolinas%20H%C3%A4lsokost%20Syd%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
556752-7816,Öbergs Modehus All Right Reserved,Öbergs Modehus i Ystad AB,Mode,Konfektion,"Konfektion; Butikshandel; Detaljhandel; Kläder, skor",Skåne,Ystad,Ystad,271 34,Stora Östergatan 24,7220000,2025-08,sweet_spot,true,3,,+46 411 193 80,,,https://obergsmodehus.se/,https://www.allabolag.se/foretag/obergs-modehus-i-ystad-ab/ystad/-/2K2RFYGI63II4,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/%C3%B6bergs+modehus+i+ystad+ab/ystad/mggtttd | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,obergsmodehus.se,obergsmodehus@gmail.com; eva@aomarketing.se,https://obergsmodehus.se/om-oss,browser,no,sampled_2,,main@https://obergsmodehus.se/:samplingRan(sampled=2) | sampleURL@https://obergsmodehus.se/varumarken/:status=200 | sampleURL@https://obergsmodehus.se/kundklubb/:status=200,,,,,,,,,,,,no,,5,has_identity,
559006-5180,Youhannas Salonger i Stockholm AB,Youhannas Salonger i Stockholm AB,Skor,Skor,Hudvårdsprodukter; Skor; Läder och lädervaror; Reparatörer; Livsmedel; Detaljhandel; Butikshandel; Uthyrning; Arbetskraftstjänster,Stockholm,Stockholm,Spånga,163 62,Glömmingegränd 16,7210000,2024-12,sweet_spot,true,14,,,,,,https://www.allabolag.se/foretag/youhannas-salonger-i-stockholm-ab/stockholm/-/2KG6HWCI5YHGY,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_candidates:12 | mojeek_no_name_match | ddg_failed:HTTP 403 for https://html.duckduckgo.com/html/?q=Youhannas%20Salonger%20i%20Stockholm%20AB%20hemsida,,,,,,,,,,,,,,,,,,,,,,,,
