orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,email,phone,resolve_debug
556441-9967,R.B. Nilsson Bygg & Måleri Aktiebolag,R.B. Nilsson Bygg & Måleri Aktiebolag,41000,,41000,BAGARMOSSEN,12848,GIMÅGATAN 36,"Bolaget skall utföra måleri-, mattläggnings-, byggnads- och entreprenadarbeten inom byggnadssektorn jämte därmed förenlig verksamhet. Bolaget skall även utföra montage-, tillverkning-, av byggnadsställningar och även transport av byggnadsställningar. Bolaget skall även utföra takskottning och snöröjningsarbeten.",1992-01-24,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556385-8512,L.E. Berg Consulting Aktiebolag,L.E. Berg Consulting Aktiebolag,71122,,71122,ALINGSÅS,44132,GÖTEBORGSVÄGEN 16,"Föremålet för bolagets verksamhet är att bedriva konsult- och konstruktionsverksamhet inom verkstadsindustrin, tillverkning av formverktyg och stansverktyg, komponenttillverkning till verkstadsindustrin samt därmed förenlig verksamhet.",1990-02-28,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556404-7180,Åsebolets Entreprenad Aktiebolag,Åsebolets Entreprenad Aktiebolag,43120,,43120; 42110,GÅRDSJÖ,54874,KÄLLARBROÄNGSVÄGEN 5,Bolaget skall idka entreprenadarbeten inom jord och skog samt därmed förenlig verksamhet.,1990-09-04,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556411-4535,Daeus Holding AB,Daeus Holding AB,70200,,70200,STOCKHOLM,11320,ATLASGATAN 9  LGH 1501,Bolaget ska agera holdingbolag samt bedriva konsultverksamhet med inriktning på verksamhetsutveckling och därmed förenlig verksamhet.,1990-11-13,active,,,,,not_found,,,,hitta_orgnr:hitta_search_failed:HTTP 404 for https://www.hitta.se/undefined/- | hitta_name:hitta_no_next_data
556413-8575,JGB Service AB,JGB Service AB,43240,,43240,HISINGS BACKA,42244,GRANÅSGATAN 10,"Bolaget skall utföra service och installation av biltvättar, hissar, ventilation, utföra byggnadsarbeten, elektriska installationer, försäljning av biltvättar och reservdelar för biltvättar och därmed förenlig verksamhet.",1991-01-15,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556371-4566,Sören Anderssons Gräv AB,Sören Anderssons Gräv AB,43120,,43120,SMEDJEBACKEN,77790,INGEVALLSBO 8,"Bolaget skall bedriva markarbeten med grävmaskin och arbeten med skogsmaskin, samt idka därmed förenlig verksamhet.",1989-10-06,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556403-6134,ReCap Moduler Försäljnings Aktiebolag,ReCap Moduler Försäljnings Aktiebolag,49410,,49410,KALMAR,39232,VÄSTRA SJÖGATAN 17 B,Aktiebolaget ska bedriva tillverkning och försäljning av fabricerade moduler för bostäder samt övrig försäljning av byggrelaterade komponenter och därmed förenlig verksamhet.,1990-08-09,active,,,https://www.recapmoduler.se/,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/recap+moduler+f%C3%B6rs%C3%A4ljnings+ab/h%C3%B6gsby/mouejcryz | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556425-6872,Aktiebolag Gränslös Kompetens Civ ing Krister Pettersson,Aktiebolag Gränslös Kompetens Civ ing Krister Pettersson,71121,,71121; 74990,LIMHAMN,21611,POLGATAN 52,"Bolaget skall bedriva verksamhet innefattande tjänster inom följande områden:  Teknikinformation och anbudsskrivning.  Byggrådgivning, kvalitetsansvarig enl PBL, kontrollansvarig enl PBL Projektledning, internationellt och i Sverige.  Förändringsledning, verksamhetsutveckling, organisationsutveckling, kompetensutveckling  Datastöd, IT-stöd, visualisering  Översättning, tolkning  Företagsanalys, redovisning, revision  Sjukvård och hälsovård",1991-06-06,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556378-5541,Hugo Thorstensson Intressenter Aktiebolag,Hugo Thorstensson Intressenter Aktiebolag,43120,,43120; 43999; 43991,ÄLVÄNGEN,44637,FRÄLSEGÅRDSVÄGEN 1,"Bolaget skall bedriva handel med och uthyrning av gräv och schaktmaskiner, utföra markentreprenader samt bedriva konsult i anslutning härtill samt därmed förenlig verksamhet.",1989-11-20,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556385-7118,Juhas Måleri Bygg & Golv Aktiebolag,Juhas Måleri Bygg & Golv Aktiebolag,43330,,43330; 43341; 43221; 81100,BÅLSTA,74631,KALMARSANDSVÄGEN 1  2 TRP LGH,"Aktiebolaget ska bedriva entreprenadverksamhet med målning, byggnation, golvläggning, mattläggning, inredning, bygg- och reparationsarbeten el- och rörinstallation inklusive tillverkning och försäljning av material och utrustning för husbyggnation ävensom idka annan därmed förenlig verksamhet.",1990-03-07,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556426-7739,Agnsjödal Gård AB,Agnsjödal Gård AB,71121,,71121; 70200; 93290,MÖLNDAL,43133,MÖBELGATAN 10,"Bolaget skall bedriva uthyrning av hästboxar, konsultverksamhet inom byggverksamhet, fastigheter och entreprenad, fastighetsförvaltning, samt därmed förenlig verksamhet.",1991-05-24,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556392-6665,Golvcentralen L Westergren Aktiebolag,Golvcentralen L Westergren Aktiebolag,43330,,43330,SLITE,62446,Othem Spillings 614,"Bolaget skall bedriva service, reparationer, nyanläggning av golv och våtutrymmen, administrativa tjänster, förvaltning av värdepapper samt därmed förenlig verksamhet.",1990-04-09,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556392-1914,Rosteck bygg & transport AB,Rosteck bygg & transport AB,49410,,49410,INGARÖ,13462,STORSKRAKEVÄGEN 9,Bolaget skall bedriva transportverksamhet och reparationer och ombyggnationer av fastigheter och därmed förenlig verksamhet.,1990-03-27,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556392-2888,Tostekulla Gård & Råd AB,Tostekulla Gård & Råd AB,69102,,69102,FJÄRÅS,43972,ÅRENÄS TOSTEKULLA 1,"Bolaget skall bedriva rådgivning, utbildning samt utgivning av litteratur inom ekonomi och juridik, reparationer av fordon samt förvaltning och handel med värdepapper samt därmed förenlig verksamhet.",1990-04-24,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556396-7768,Söderbylunds Transport & Byggnadsentreprenad AB,Söderbylunds Transport & Byggnadsentreprenad AB,49410,,49410,RIMBO,76294,KÅRSTAVÄGEN 108,Bolaget skall bedriva åkeri och byggnadsverksamhet samt därmed förenlig verksamhet.,1990-06-21,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556398-7493,Thorulf Arwidson AB,Thorulf Arwidson AB,69101,,69101,STOCKHOLM,11625,ÖSTGÖTAGATAN 43,Bolaget ska bedriva juridisk och ekonomisk konsultationsverksamhet samt därmed förenlig verksamhet.,1990-07-20,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556400-8463,Nedim Önener Språk & Konsultbyrå Aktiebolag,Nedim Önener Språk & Konsultbyrå Aktiebolag,70200,,70200,VÄLLINGBY,16212,BOX 1046,"Bolaget skall bedriva översättningsarbeten, konsultativ verksamhet i företagsfrågor samt sociala, kurativa, kulturella och etniska frågor, ävensom idka därmed förenlig verksamhet.",1990-07-09,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556400-4587,Zaltzocker AB,Zaltzocker AB,71121,,71121,ESKILSTUNA,63217,KUNGSGATAN 43,"Bolaget skall bedriva konsulterande verksamhet inom bygg- och anläggningssektorn och inom företagsledning, finansiell rådgivning samt förvaltning av kapital.",1990-07-06,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556255-8105,Vaksala Konsultbyrå Aktiebolag,Vaksala Konsultbyrå Aktiebolag,69201,,69201,UPPSALA,75473,SKÄVE 42,"Bolaget skall bedriva redovisningsbyrå, samt därmed förenlig verksamhet.",1985-02-25,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556408-2500,Forkarby snickeri och entreprenad Aktiebolag,Forkarby snickeri och entreprenad Aktiebolag,41000,,41000; 01500,UPPSALA,75593,FORKARBY 316,"Bolaget skall idka jordbruk, snöröjning, maskinuthyrning, inrednings- och finsnickeri samt därmed förenlig verksamhet.",1990-10-23,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556407-4101,BoAgne AB,BoAgne AB,43222,,43222,VÄRÖBACKA,43265,NORDVÄRA 86,Föremålet för bolagets verksamhet är att utföra plåt- och ventilationsentreprenad och därmed förenlig verksamhet.,1990-11-01,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556417-5700,Bergvalls Busstrafik Aktiebolag,Bergvalls Busstrafik Aktiebolag,49310,,49310; 42110,GRANINGE,88295,ÖSTERGRANINGE 169,Bolaget skall bedriva linje och beställningstrafik för person- och godsbefordran med buss och bil och därmed jämförlig verksamhet. Bolaget skall även bedriva förvaltning av värdepapper.,1991-01-15,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556415-7146,Brincks Bygg Aktiebolag,Brincks Bygg Aktiebolag,41000,,41000,VINGÅKER,64391,HANSTA HAGBY,"Bolaget skall bedriva byggnadsentreprenader, samt därmed förenlig verksamhet.",1991-01-22,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556443-7944,GOT Consulting AB,GOT Consulting AB,71122,,71122,LANDVETTER,43836,BYVÄGEN 21,Föremålet för bolagets verksamhet ska vara att bedriva konsultverksamhet inom affärsutveckling och därmed förenlig verksamhet.,1992-02-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556439-0069,Lenngrens Fastighetsbyrå AB,Lenngrens Fastighetsbyrå AB,70200,,70200; 69102,NORRKÖPING,60385,SKÅRVÄGEN 22,"Bolaget skall bedriva förmedling av fast och lös egendom, äga och förvalta fast egendom, juridisk och administrativ konsultation, idka handel med värdepapper ävendom idka därmed förenlig verksamhet.",1991-12-06,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556440-4258,El och Kraftmontage i Malmö Aktiebolag,El och Kraftmontage i Malmö Aktiebolag,43210,,43210; 68203,MALMÖ,21117,LILLA VARVSGATAN 1,Bolaget skall bedriva elektriska montagearbeten samt idka därmed förenlig verksamhet.,1992-01-14,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556448-7428,Golvfirma N-O Johansson i Ätran Aktiebolag,Golvfirma N-O Johansson i Ätran Aktiebolag,43330,,43330; 47531,FALKENBERG,31174,HANTVERKSGATAN 1 B,Bolaget skall bedriva golvläggningsrörelse och snickeriverksamhet inklusive varuförsäljning i samband därmed samt konsultation inom byggmaterialbranschen och därmed förenlig verksamhet. Bolaget skall även äga och förvalta värdepapper.,1992-06-01,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556443-4818,S - A Lindström Taxi i Umeå Aktiebolag,S - A Lindström Taxi i Umeå Aktiebolag,49330,,49330,UMEÅ,90422,NORRA OBBOLAVÄGEN 114 B,"Bolaget skall bedriva taxirörelse, uthyrning av fordon, fastighetsrörelse samt därmed förenlig verksamhet.",1992-02-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556448-8871,Golvet Gerlesborg Aktiebolag,Golvet Gerlesborg Aktiebolag,43330,,43330,HÄLLEVADSHOLM,45761,DINGVALL 48,Bolaget skall utföra golventreprenader ävensom idka därmed förenlig verksamhet.,1992-06-03,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556458-1782,Larsson & Sjölander Golv Aktiebolag,Larsson & Sjölander Golv Aktiebolag,43330,,43330,SUNDSVALL,85003,BOX 3087,"Bolaget skall bedriva försäljning och installation av golvmaterial, byggverksamhet och förvaltning av fast egendom och värdepapper samt därmed förenlig verksamhet.",1992-12-04,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556459-3845,Karlaplans Förvaltnings AB,Karlaplans Förvaltnings AB,69202,,69202,STOCKHOLM,11524,VALHALLAVÄGEN 146 E,"Bolaget ska bedriva konsultverksamhet inom organisations- utveckling, ledarskap, coachning, projektledning jämte därmed förenlig verksamhet samt bedriva handel med värdepapper.",1992-12-23,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556460-3420,Montrab Storage AB,Montrab Storage AB,49420,,49420,BORLÄNGE,78172,HUGO HEDSTRÖMS VÄG 8,Bolaget skall bedriva flyttningar och transporter av möbler samt därmed förenlig verksamhet.,1993-02-02,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556431-8458,SVEAB Anläggning AB,SVEAB Anläggning AB,42110,,42110; 43120; 42130; 42120; 42210,SOLNA,16903,BOX 3085,"Bolaget skall bedriva entreprenadverksamhet inom anläggnings- och byggbranschen, hyra ut maskiner för nämnda områden, bedriva service och reparationer vid anläggnings- och byggnadsarbeten samt bedriva därmed förenlig verksamhet.",1991-09-12,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556434-9156,Fastighetsunderhåll Åke Pettersson Helsingborg Aktiebolag,Fastighetsunderhåll Åke Pettersson Helsingborg Aktiebolag,43999,,43999,RÅÅ,25016,BOX 16008,"Bolaget skall bedriva byggnadsverksamhet, byggnationer och reparationer av skorstenar samt handel med VVS-artiklar ävensom idka därmed förenlig verksamhet.",1991-10-18,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556419-4917,Ellips Arkitekter Aktiebolag,Ellips Arkitekter Aktiebolag,71110,,71110,STOCKHOLM,11628,STIGBERGSGATAN 35 A,Bolaget skall bedriva arkitektverksamhet jämte därmed förenlig verksamhet.,1991-02-08,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556436-8628,Benny Andersson Schakt Aktiebolag,Benny Andersson Schakt Aktiebolag,43120,,43120,RYDBOHOLM,51570,ÅLGÅRDSVÄGEN 3,Bolaget skall bedriva maskin- och anläggningsentreprenader samt därmed förenlig verksamhet. Bolaget skall också äga och förvalta fast egendom.,1991-12-16,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556440-6089,Urban Byggplanering AB,Urban Byggplanering AB,71121,,71121,GÖTEBORG,41315,SJÖMANSGATAN 11 B,"Bolaget skall bedriva byggnadsentreprenader, renovering och nybyggnader. Vi bedriver även renovering av kök, badrum, byte avfönster/ dörrar.",1992-01-23,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556435-7340,Brogie Aktiebolag,Brogie Aktiebolag,69201,,69201,ESKILSTUNA,63220,KRIEBSENGATAN 8 A,"Bolaget skall bedriva travsport, avel och handel med hästar, äga och förvalta fast och lös egendom såsom fastigheter och värdepapper samt idka därmed förenlig verksamhet. Bolaget skall vidare bedriva försäljning av administrativa tjänster. Bolaget skall bedriver handel med entreprenadmaskiner samt bedriva friskvårdsverksamhet.",1991-10-29,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556442-1591,Tommy Mårder Åkeri Aktiebolag,Tommy Mårder Åkeri Aktiebolag,49410,,49410,TÄBY,18356,TIBBLEVÄGEN 13,Bolaget skall utföra gods- och persontransporter ävensom idka därmed förenlig verksamhet.,1992-01-22,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556300-0883,Badrumsbutiken i Sollentuna AB,Badrumsbutiken i Sollentuna AB,43320,,43320; 47521; 47522,SOLLENTUNA,19134,KANALVÄGEN 69,"Bolaget skall bedriva försäljning av badrumsinredning, kakel och klinker, el- och hushållsartiklar, VVS-artiklar, byggtillbehör samt utföra badrumsombyggnader och rör- och el- installationer ävensom idka därmed förenlig verksamhet.",1987-06-15,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556441-1311,Allstäd i Helsingborg Aktiebolag,Allstäd i Helsingborg Aktiebolag,43320,,43320,PÅARP,25352,FLYBJÄRSVÄGEN 38,"Bedriva städverksamhet, handel och beabetning av trävaror samt handel med fastigheter och värdepapper.",1992-01-07,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556445-3131,KUZO Holding AB,KUZO Holding AB,43910,,43910; 77320; 43999; 64212; 69201,LISTERBY,37294,GÖVÄGEN 129,"Bolaget ska äga och förvalta fast och lös egendom såsom fastigheter och aktier. Bedriva byggnads-, reparations- och murningsarbeten samt även idka därmed förenlig verksamhet.",1992-03-27,active,,,,,not_found,,,,hitta_orgnr:hitta_search_failed:HTTP 404 for https://www.hitta.se/undefined/- | hitta_name:hitta_no_next_data
556442-0742,Grävlingen Aktiebolag,Grävlingen Aktiebolag,43120,,43120,HAGBY,38896,IGELÖSA 323,Bolaget skall utföra grävningsarbeten ävensom idka därmed förenlig verksamhet.,1992-01-23,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556427-1731,Fraktpoolen i Borås Aktiebolag,Fraktpoolen i Borås Aktiebolag,49410,,49410; 68202,FRISTAD,51395,GINGRI HOLJERSDAL,"Bolaget skall bedriva åkeriverksamhet, förvaltning och handel med värdepapper och därmed förenlig verksamhet.",1991-06-27,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556427-1780,AXEL EVALD WALDEMAR AKTIEBOLAG,AXEL EVALD WALDEMAR AKTIEBOLAG,71122,,71122,VÄSTRA FRÖLUNDA,42674,VALNÖTSGATAN 10 A,"Föremålet för bolagets verksamhet är att utveckla, marknadsföra, uthyra samt försälja produkter och idéer inom marin-, verkstad-, och byggvaruindustri, äga och förvalta fast och lös egendom och därmed förenlig verksamhet.",1991-06-12,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556304-2760,Casselgren Innovation AB,Casselgren Innovation AB,71129,,71129; 72109,LULEÅ,97592,TRANMYRVÄGEN 6,"Föremålet för bolagets verksamhet är naturvetenskaplig och teknisk forskning och utveckling, utbildning inom mätteknik och entreprenörskap samt mätteknik inom skogsbruk och därmed förenlig verksamhet.",1987-09-10,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556448-3252,Rundvirke Industrier AB,Rundvirke Industrier AB,70100,,70100,LUDVIKA,77122,BOX 76,"Föremålet för bolagets verksamhet är att äga och förvalta aktier och andra värdehandlingar, samt att direkt eller genom dotter- bolag bedriva skogsbruk, bearbeta, förädla och försälja skogs- produkter samt att bedriva annan därmed förenlig verksamhet.",1992-06-04,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556449-4374,Gunnar Blomgren Aktiebolag,Gunnar Blomgren Aktiebolag,43310,,43310,SALTSJÖ-BOO,13235,VÄRMDÖVÄGEN 703,Bolaget skall bedriva byggverksamhet inom fasadrenoverings- området samt äga och förvalta fast och lös egendom.,1992-06-24,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556405-1174,Härstorps Åkeri Aktiebolag,Härstorps Åkeri Aktiebolag,49410,,49410,BRUZAHOLM,57599,HÄRSTORP LÖVHAGA,"Bolaget skall bedriva åkerirörelse, försäljning och uthyrning av hälsomadrasser, försäljning av näringstäta hälsovårdsprodukter för konsumtion jämte därmed förenlig verksamhet.",1990-09-12,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556362-0417,Promik Investment AB,Promik Investment AB,70200,,70200; 47761,VEJBYSTRAND,26655,KUSTRODDAREVÄGEN 17 E,"Bolaget skall bedriva handel med aktier, kapitalförvaltning, bilsamling, konsultation inom affärsutveckling och därmed förenlig verksamhet.",1989-06-22,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556364-3989,Sören Thyr Aktiebolag,Sören Thyr Aktiebolag,49410,,49410; 68209,GÄVLE,80283,INDUSTRIGATAN 12,"Bolaget skall bedriva åkerirörelse med lastbilar, lastmaskiner och truckar, ävensom idka därmed förenlig verksamhet, samt bedriva taxirörelse.",1989-07-06,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556411-6738,Byholma Handel & Logistik AB,Byholma Handel & Logistik AB,49410,,49410; 49330,LIDHULT,34172,BYHOLMA SOLHEDEN,"Bolaget ska bedriva handel med service av motorfordon,bilar,transportfordon och båtar. Utföra gods och personaltransporttjänster.Personaluthyrning samt konsulttjänster inom transport och logistikbranschen.Utföra tjänster och konsultation inom turistnäringen. Bolaget ska även förvalta och handla med fastigheter samt värdepapper jämte därmed förenlig verksamhet.",1990-11-15,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556414-0001,Bäckströms Bygg & Fastighetstjänster AB,Bäckströms Bygg & Fastighetstjänster AB,43320,,43320; 81210,KALIX,95294,HÄLLFORS 53,Föremålet för bolagets verksamhet är att bedriva byggverksamhet samt andra tjänster och service i och på fastigheter samt skogsvårdsarbeten och maskinuthyrning och därmed förenlig verksamhet.,1990-12-19,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556403-6944,Källs Godsfrakter i Norrköping AB,Källs Godsfrakter i Norrköping AB,49410,,49410,NORRKÖPING,60238,BLIXHOLMSVÄGEN 2 F,Aktiebolaget ska bedriva åkerirörelse och transportverksamhet samt därmed förenlig verksamhet.,1990-08-28,active,,,http://www.godsfrakter.se/,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/k%C3%A4lls+godsfrakter+i+norrk%C3%B6ping+ab/norrk%C3%B6ping/hhhaqve | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556404-7495,K Johanssons Bokföringsbyrå Aktiebolag,K Johanssons Bokföringsbyrå Aktiebolag,69201,,69201,VISLANDA,34252,APLAMON 2,"Bolaget skall bedriva handel med värdepapper, bedriva bokföringsbyrå ävensom att äga, förvärva och förvalta fast och lös egendom, samt att idka därmed förenlig verksamhet.",1990-09-17,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556378-9030,Rydins Åkeri Aktiebolag,Rydins Åkeri Aktiebolag,49410,,49410,LJUNGSARP,51455,SJÖGÅRDEN 3,"Bolaget skall bedriva transportverksamhet, äga och förvalta värdepapper, fast egendom samt idka därmed förenlig verksamhet.",1989-12-19,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556409-1394,La Parc Aktiebolag,La Parc Aktiebolag,71110,,71110,STOCKHOLM,11849,TORKEL KNUTSSONSGATAN 33,"Bolaget skall bedriva arkitektverksamhet, utföra CAD- och fotoarbeten samt datoriserade informationstjänster, ävensom idka därmed förenlig verksamhet.",1990-12-12,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556409-1519,TIMMERBYGGARNA SYD Aktiebolag,TIMMERBYGGARNA SYD Aktiebolag,41000,,41000,BJUV,26736,Krokusgatan 7,"Föremålet för bolagets verksamhet är tillverkning av timmer- produkter, byggnadsentreprenader, faststighetsförvaltning och därmed förenlig verksamhet.",1990-12-19,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556428-2696,Skåre Invest AB,Skåre Invest AB,49330,,49330; 49410,KARLSTAD,65350,GLIMMERVÄGEN 1,Bolaget skall förvalta fast och lös egendom samt erbjuda konsulttjänster inom transport och fastighetsförvaltning.,1991-08-15,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556414-9580,Norrbyggen Västerbotten AB,Norrbyggen Västerbotten AB,43320,,43320; 43120,BULLMARK,91892,TÅLSMARKSVÄGEN 34,"Bolaget skall bedriva gräv- och schaktrörelse samt byggnads- och fastighetsförvaltnings rörelse, bolaget skall även äga och förvalta värdepapper samt därmed förenlig verksamhet.",1990-12-28,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556426-8869,BIOCONSULT BO EKSTRAND Aktiebolag,BIOCONSULT BO EKSTRAND Aktiebolag,71122,,71122,GÄLLSTAD,52361,STORA VÄGEN 49,Aktiebolaget ska bedriva rådgivning vid förädling och produktion av biologiska råvaror samt därmed förenlig verksamhet.,1991-06-27,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556435-5344,Unidatt Aktiebolag,Unidatt Aktiebolag,71122,,71122,MÖLNDAL,43138,KROKSLÄTTSGATAN 45 A,"Bolaget skall bedriva konsultverksamhet, handel och tillverkning av grafisk utrustning, service och underhåll samt produktutveckling inom ovannämnda område jämte därmed förenlig verksamhet.",1991-11-06,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556431-0562,Bertils Rör Aktiebolag,Bertils Rör Aktiebolag,43221,,43221,JONSTORP,26392,GAMLA SÖDÅKRAVÄGEN 11,Bolaget skall bedriva rörarbeten och därmed förenlig verksamhet.,1991-08-30,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556392-6426,Borwins Revisionsbyrå Aktiebolag,Borwins Revisionsbyrå Aktiebolag,69201,,69201; 69202,NORRTÄLJE,76141,GÖRLASLINGAN 27,Bolaget skall bedriva redovisning och därmed förenlig verksamhet.,1990-04-11,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556395-8742,PACE Projektutveckling Aktiebolag,PACE Projektutveckling Aktiebolag,70200,,70200,KIVIK,27732,HJÄLMARÖDSVÄGEN 23,"Bolaget skall skapa, marknadsföra och driva affärsprojekt och kompetensutveckling samt fstighets-, värdepappers- och kapitalförvaltning, dock ej sådan verksamhet som avses i lag om bankrörelse eller i lag om kreditrörelse samt ävensom idka verksamhet förenlig därmed.",1990-09-03,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556396-0805,Studio XO Aktiebolag,Studio XO Aktiebolag,41000,,41000,TORSBY,68530,JÄRNVÄGSGATAN 5,Bolaget skall vara verksam inom byggnadsbranschen samt idka handel med varor och uthyrning av arbetsmaskiner inom samma bransch.,1990-05-08,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
