domain,company_name,orgnr,email,phone,contact_page,source,is_webshop,webshop_signals,webshop_debug,debug
,Bror Ericson Målerifirma i Göteborg Aktiebolag,556100-7542,,,,,,,,
,HÖ Allbygg Aktiebolag,556103-1807,,,,,,,,
,Tirefelt Fastighets AB,556106-3404,,,,,,,,
,T.I.M. Kompaniet AB,556129-1328,,,,,,,,
,INIS AB,556129-4264,,,,,,,,
,Elektriska Aktiebolaget Nils Brändström,556133-8301,,,,,,,,
,Euronics Holding AB,556124-8203,,,,,,,,
,Kransell & Wennborg Aktiebolag,556112-7860,,,,,,,,
,Mälardalens Elektriska Aktiebolag,556128-2665,,,,,,,,
,Odells Signal Montage Aktiebolag,556137-1823,,,,,,,,
,Drillcon Scandinavia Aktiebolag,556090-6272,,,,,,,,
,J R Plåt och Fastighets AB,556099-2843,,,,,,,,
,Mattssonföretagen i Uddevalla Aktiebolag,556107-8675,,,,,,,,
,Textor i Malmö Aktiebolag,556107-9558,,,,,,,,
,Strömsnäs Frakt & Lager AB,556132-0341,,,,,,,,
,Rösbo Åkeri Aktiebolag,556092-7666,,,,,,,,
,ÅKERS Aktiebolag,556153-4792,,,,,,,,
,Confirm i Täby AB,556131-7537,,,,,,,,
,Karlström & Christensen Bygg AB,556130-4097,,,,,,,,
,Skånegruppen Aktiebolag,556171-8734,,,,,,,,
,El-Per Aktiebolag,556153-5484,,,,,,,,
,Tullinge Elektriska Aktiebolag,556130-3743,,,,,,,,
,ACX Logistics AB,556153-2689,,,,,,,,
,Vatten & Värme i Emmaboda Aktiebolag,556156-2892,,,,,,,,
,Jörgen Westlund Åkeri Aktiebolag,556159-5645,,,,,,,,
,Knivsta Golv- & Byggnads Aktiebolag,556149-2264,,,,,,,,
,INTERBUS AB,556173-6736,,,,,,,,
,Vintrie Metall & Glas Dörrservice Aktiebolag,556151-1741,,,,,,,,
,Hjelms Bygg Ekerö AB,556160-7531,,,,,,,,
,Wassa Aktiebolag,556186-3977,,,,,,,,
,Malmlöfs Rör Aktiebolag,556171-6415,,,,,,,,
,Kihlberg Företagskonsult AB,556170-4460,,,,,,,,
,Contohuset Aktiebolag,556170-3561,,,,,,,,
,Baracuda Invest AB,556176-0579,,,,,,,,
,Mimer Maskinaktiebolag,556171-8478,,,,,,,,
,Svedan Entreprenad AB,556185-0735,,,,,,,,
,B. Sjögren i Halmstad Aktiebolag,556109-5596,,,,,,,,
,Aktiebolaget ELMCO,556059-5646,,,,,,,,
,Intertek Evaluate AB,556130-4899,,,,,,,,
,Byggnadsaktiebolaget J. Almqvist & Son,556092-0679,,,,,,,,
,Aktiebolaget Tranemo Åkeri,556084-4812,,,,,,,,
,Aktiebolaget Spårbyggnader,556113-1995,,,,,,,,
,Starnäs Konsult AB,556129-7101,,,,,,,,
,Bromölla Tak AB,556129-2078,,,,,,,,
,Håkan Håkansson Åkeri Aktiebolag,556110-8142,,,,,,,,
,Ålunds Måleri & Entreprenad AB,556131-0763,,,,,,,,
,Permak AB,556133-4698,,,,,,,,
,Chrismar Helsingborg AB,556148-0814,,,,,,,,
,Anläggnings Aktiebolaget Gustavsson & Jansson,556140-3667,,,,,,,,
,Wilundia Kungälv AB,556099-9483,,,,,,,,
,Lord Clifden Finance Group Aktiebolag,556122-1796,,,,,,,,
,Tage & Söner Byggnads AB,556118-4440,,,,,,,,
,Jetgrund Aktiebolag,556161-3216,,,,,,,,
,Norrtälje Tak & Fasad Aktiebolag,556142-0968,,,,,,,,
,Sälens Elinstallations Aktiebolag,556149-5390,,,,,,,,
,DIVAB Aktiebolag,556171-5136,,,,,,,,
,Kils Byggelement Aktiebolag,556107-2769,,,,,,,,
,Tigerline Aktiebolag,556152-0155,,,,,,,,
,Stintzing Arkitekter Aktiebolag,556182-5752,,,,,,,,
,Skeppsholmen företagsutveckling AB,556140-4665,,,,,,,,
,S. Sjölunds Rör Aktiebolag,556153-8173,,,,,,,,
,Reviredo AB,556151-4265,,,,,,,,
,Transport Aktiebolaget Hans Söderlind,556175-4655,,,,,,,,
,AB Karlaverken,556171-8544,,,,,,,,
,Siljebygg Aktiebolag,556190-1413,,,,,,,,
,Kumer AB,556161-0535,,,,,,,,
,Bengt Hellberg Väröbacka Aktiebolag,556183-8318,,,,,,,,
,Bara Konsult Aktiebolag,556174-6297,,,,,,,,
,Advokatfirman Wandt Aktiebolag,556165-8351,,,,,,,,
,LD Spår & Maskin AB,556182-9390,,,,,,,,
,Faluteknik Aktiebolag,556107-3973,,,,,,,,
,Sommens Bleck- & Plåtslageri Aktiebolag,556106-2117,,,,,,,,
,Carespace AB,556110-5171,,,,,,,,
,Civitas Nova AB,556110-8076,,,,,,,,
,Målerifirma Erik Nordgren Aktiebolag,556110-6872,,,,,,,,
,ANDRITZ Fabrics and Rolls AB,556098-9708,,,,,,,,
,Allel Elektrokonsult Aktiebolag,556124-9664,,,,,,,,
,LOWTE - Low Temperature Energy Aktiebolag,556129-8315,,,,,,,,
,Anwass Ekonomitjänst AB,556113-5095,,,,,,,,
,Göran Kers Anläggningskonsult AB,556114-0574,,,,,,,,
,Hultsteins Elektriska Aktiebolag,556106-0426,,,,,,,,
,ElektroUnion AB,556124-8963,,,,,,,,
,KATSCENTER Aktiebolag,556108-2073,,,,,,,,
,Kaj Pettersson Aktiebolag,556115-6505,,,,,,,,
,Bålsta Glasmästeri Idéglas AB,556120-9387,,,,,,,,
,Vikingstad Åkeri Aktiebolag,556135-7020,,,,,,,,
,Väsby Frakt AB,556128-3820,,,,,,,,
,Koteca Säkerhet AB,556149-9400,,,,,,,,
,Swedish Elektrolink Aktiebolag,556100-3947,,,,,,,,
,Björn Bomans El Aktiebolag,556079-9065,,,,,,,,
,Byggnadsaktiebolaget Calpe,556117-0431,,,,,,,,
,Två M Företagskonsult Aktiebolag,556103-5881,,,,,,,,
,Aktiebolaget Byggbesked,556103-6988,,,,,,,,
,Fogdens Management Group AB,556097-1847,,,,,,,,
,Gustavsbergs Glasmästeri Aktiebolag,556126-6999,,,,,,,,
,Penny Advisor AB,556132-9946,,,,,,,,
,Advokatfirman JOG AB,556163-0186,,,,,,,,
,KRS Renshogen AB,556131-1076,,,,,,,,
,Brinkens Plåtslageri Aktiebolag,556142-2121,,,,,,,,
,Örebro-Göteborg Samkörningsaktiebolag,556147-3108,,,,,,,,
,Levin & Ohlsson Måleri Aktiebolag,556149-5531,,,,,,,,
,Krab Klinga-Ringblom Aktiebolag,556158-1777,,,,,,,,
,Kurt Bjarneborg Rörläggeri Aktiebolag,556166-3815,,,,,,,,
,Teroconsult Aktiebolag,556182-6412,,,,,,,,
,Pär Lundströms Måleri och Färg Aktiebolag,556150-1122,,,,,,,,
,Pehrnows Gräv och Last Aktiebolag,556158-6800,,,,,,,,
,Team Lennarts Frakt AB,556152-3191,,,,,,,,
,Sundgrens Åkeri Aktiebolag,556147-9733,,,,,,,,
,CM Bygg & Industriservice i Degerfors AB,556153-8751,,,,,,,,
,Bröderna Wennströms Transport Aktiebolag,556171-0285,,,,,,,,
,Ce-Ce Elservice Aktiebolag,556157-0838,,,,,,,,
,Floorex Produkter Aktiebolag,556161-1004,,,,,,,,
,Promovent Aktiebolag,556154-3983,,,,,,,,
,Rune I. Johanssons Fjärrfrakt Aktiebolag,556181-6413,,,,,,,,
,Libroborgs Bygg & Konsult AB,556128-0297,,,,,,,,
,Sala Ortdrivaren Aktiebolag,556184-4845,,,,,,,,
,SVP Bygg Aktiebolag,556178-1765,,,,,,,,
,Axsess AB,556190-1058,,,,,,,,
,Olle Svensson Bygg Aktiebolag,556100-0323,,,,,,,,
,Briketten Förvaltnings Aktiebolag,556122-3271,,,,,,,,
,Clamco Invest AB,556116-0028,,,,,,,,
,Gisslins Måleri Aktiebolag,556126-2352,,,,,,,,
,Verner Hansson Åkeri Aktiebolag,556121-7497,,,,,,,,
,Advokatfirman Ulf Ahlstedt Aktiebolag,556100-9076,,,,,,,,
,Anläggningsbolaget Väst AB,556106-9872,,,,,,,,
,Bo Lönn & Partner AB,556125-2692,,,,,,,,
,Nybro Transport Aktiebolag,556113-5699,,,,,,,,
,Nils W. Krantz Åkeri Aktiebolag,556149-9491,,,,,,,,
,Beischers Gräv- och Schaktmaskiner Aktiebolag,556088-9296,,,,,,,,
,Isgrens Låsverkstad Aktiebolag,556131-3171,,,,,,,,
,Clivus Multrum International Aktiebolag,556095-8620,,,,,,,,
,Aqua Processer Aktiebolag,556122-9062,,,,,,,,
,Elektra i Borås Aktiebolag,556108-1315,,,,,,,,
,Brorssons Åkeri Aktiebolag,556101-0306,,,,,,,,
,Isprojekt AB,556145-3985,,,,,,,,
,DSV Haulage AB,556144-4844,,,,,,,,
,H.K:s Ritkontor Aktiebolag,556120-9015,,,,,,,,
,Åkeri Aktiebolaget John Andersson,556134-1412,,,,,,,,
,Enhörna Mätpool AB,556175-1925,,,,,,,,
,Malms Rör och Smides Aktiebolag,556151-0636,,,,,,,,
,Aktiebolaget Rubus,556151-4992,,,,,,,,
,Antikgolv AB,556177-5247,,,,,,,,
,Re Bene Gesta Aktiebolag,556163-4626,,,,,,,,
,Aktiebolaget Kindblom Byggservice,556114-2968,,,,,,,,
,Alviks Buss Aktiebolag,556162-4346,,,,,,,,
,Livsmedelshandlarna SSLF AB,556140-6108,,,,,,,,
,Weidermans Transport AB,556120-7407,,,,,,,,
,Enreduce Energy Control AB,556130-2307,,,,,,,,
,Alrutz Advokatbyrå Aktiebolag,556145-0080,,,,,,,,
,Wani El Aktiebolag,556124-4731,,,,,,,,
,A Hammar Montage Aktiebolag,556161-3224,,,,,,,,
,El-Montage i Skillingaryd Aktiebolag,556174-6578,,,,,,,,
,Nya Konditoriet Tournedos Aktiebolag,556175-3244,,,,,,,,
,Per Olof Perssons Åkeri Aktiebolag,556171-9096,,,,,,,,
,Beso Elektriska Aktiebolag,556187-0998,,,,,,,,
,Rydaholms Byggnads Aktiebolag,556194-9362,,,,,,,,
,Jan Ove Lilja Elektronik Aktiebolag,556104-3026,,,,,,,,
,Elcenter i Ljungby Aktiebolag,556118-6338,,,,,,,,
,Förvaltnings Aktiebolag Bonafide,556118-7385,,,,,,,,
,von Platen Arkitektbyrå AB,556112-8264,,,,,,,,
,Bennesveds Åkeriaktiebolag,556107-5622,,,,,,,,
,Karling & Hellsvik AB,556096-1970,,,,,,,,
,Golvtjänst i Hallsberg Aktiebolag,556111-3761,,,,,,,,
,Dahlström & Partners Revisionsbyrå AB,556090-9714,,,,,,,,
,Bridgemountain Holding AB,556106-9310,,,,,,,,
,Elajo El & Energiteknik AB,556139-3884,,,,,,,,
,Å. Eklunds Bleck- & Plåtslageri Aktiebolag,556142-9498,,,,,,,,
,Harald Janssons Plåtslageri Aktiebolag,556123-5101,,,,,,,,
,Aldato Service Aktiebolag,556111-0478,,,,,,,,
,Affärsbokföring Aktiebolag,556077-5313,,,,,,,,
,Papiren Bokföring AB,556100-1263,,,,,,,,
,Biometrisk Design Aktiebolag,556143-5529,,,,,,,,
,Frestadius Åkeri Aktiebolag,556096-6466,,,,,,,,
,Peter & Uffes Golv AB,556155-2992,,,,,,,,
,Företagskonsult Edström och Engström Aktiebolag,556158-2155,,,,,,,,
,Ekonomistyrning Aktiebolag,556158-2221,,,,,,,,
,S-E Zetterholms Åkeri Aktiebolag,556149-8279,,,,,,,,
,"Perssons maskin,bil& marin Aktiebolag",556159-5918,,,,,,,,
,Affes Åkeri Aktiebolag,556166-8285,,,,,,,,
,Hans-Erik Johansson i Hagstad Aktiebolag,556177-7680,,,,,,,,
,Solna Bokföringsbyrå Aktiebolag,556147-6556,,,,,,,,
,Voppa Consulting AB,556148-3438,,,,,,,,
,RetNet Aktiebolag,556130-7439,,,,,,,,
,Klimatkonstruktioner i Malmö Aktiebolag,556143-3243,,,,,,,,
,Radisson Hospitality Sweden AB,556171-0665,,,,,,,,
,Hans Bäcklund Revisionsbyrå Aktiebolag,556145-2144,,,,,,,,
,WesDyne Sweden AB,556176-3896,,,,,,,,
,Säters Golvtjänst Aktiebolag,556171-9211,,,,,,,,
,Press Spares & Dies Aktiebolag,556179-3471,,,,,,,,
,Kylinstallationer Rinhammar & Son Aktiebolag,556180-6885,,,,,,,,
,R & K Franssons Åkeri och Bygg AB,556152-7515,,,,,,,,
,Gipa Invest AB,556180-0524,,,,,,,,
,Råda Glasmästeri Aktiebolag,556177-9199,,,,,,,,
,Aktiebolaget Franssons Glasmästeri,556114-9872,,,,,,,,
,Grängesbergs Såg & Entreprenad AB,556115-0268,,,,,,,,
,A-Konsult AB,556070-9395,,,,,,,,
,Blekinge Logistik AB,556121-7844,,,,,,,,
,ARK Konsulter AB,556134-9134,,,,,,,,
,AB Kronqvists Åkeri,556107-6794,,,,,,,,
,Gunnar Andréen Byggkonsult Aktiebolag,556098-0541,,,,,,,,
,Aktiebolaget Valbo Transport,556107-6257,,,,,,,,
,Wenntus AB,556111-1591,,,,,,,,
,FE Arkitekter Aktiebolag,556139-8230,,,,,,,,
,Åke Rådbo Aktiebolag,556124-1414,,,,,,,,
,Aversi Holding AB,556131-4427,,,,,,,,
,Trollhättans Bygg & Industritjänst Aktiebolag,556146-8645,,,,,,,,
,Rosenlunds Åkeri Aktiebolag,556100-2626,,,,,,,,
,Arjeplogs Eltjänst Aktiebolag,556127-5529,,,,,,,,
,Breriks Åkeri Aktiebolag,556153-8967,,,,,,,,
,Hersby Bygg Aktiebolag,556138-8074,,,,,,,,
,O. Hellners Elektriska Aktiebolag,556143-9323,,,,,,,,
,Aktiebolaget Spades Trädgårdsanläggningar,556143-5669,,,,,,,,
,Ställningsdetaljer AB,556156-6307,,,,,,,,
,Aktiebolaget Färnström och Nilsson,556121-2993,,,,,,,,
,Ekens Golv Aktiebolag,556134-2949,,,,,,,,
,Bröderna Petterssons Trädgårdsanläggningar Aktiebolag,556137-7556,,,,,,,,
,Bernt Nyberg Åkeri Aktiebolag,556182-0738,,,,,,,,
,C.C Wicander Redovisning AB,556156-1571,,,,,,,,
,GD MARK & GRUND AB,556180-2819,,,,,,,,
,Avlopp-Experten i Östergötland AB,556114-5789,,,,,,,,
,RALT Aktiebolag,556147-6796,,,,,,,,
,Byggstark AB,556187-4180,,,,,,,,
,CNW Consulting Network Aktiebolag,556156-0052,,,,,,,,
,Regs Murning Aktiebolag,556149-2819,,,,,,,,
,Essgebe Redovisning AB,556149-3668,,,,,,,,
,Ingeniörsfirma Bo Lundfeldt Aktiebolag,556153-7050,,,,,,,,
,Sigges Byggnadsfirma Aktiebolag,556162-9253,,,,,,,,
,Lindesbergs Grus och Maskin Aktiebolag,556176-6725,,,,,,,,
,TG Ventilation Herkestam Aktiebolag,556173-1679,,,,,,,,
,Jan W. Kjellberg Fastighets och Konsult Aktiebolag,556124-6017,,,,,,,,
,Aktiebolaget Bergsbyns Plåt,556182-2569,,,,,,,,
,Herrängens Elektriska Aktiebolag,556178-5337,,,,,,,,
,FREXPO AB,556173-4350,,,,,,,,
,AB Stigy,556175-7997,,,,,,,,
,Norrköpings Stängsel Aktiebolag,556133-1249,,,,,,,,
,Kalix Skogstjänst Aktiebolag,556100-6528,,,,,,,,
,Specialgolv i Sandared Aktiebolag,556107-3338,,,,,,,,
,3xL Bygg AB,556097-5129,,,,,,,,
,Rockad Aktiebolag,556105-0724,,,,,,,,
,Circle of Life AB,556108-1281,,,,,,,,
,Kristinehamns Bokföringsbyrå Aktiebolag,556111-6293,,,,,,,,
,Sätermarks Entreprenad AB,556107-4344,,,,,,,,
,Papir Aktiebolag,556092-7591,,,,,,,,
,ABC-åkarna Service AB,556096-3992,,,,,,,,
,Polbrings Rör Aktiebolag,556109-1488,,,,,,,,
,Carlsteins Trafik AB,556092-1180,,,,,,,,
,CDBL Förvaltning AB,556127-3193,,,,,,,,
,AB Nordingrå El,556101-7608,,,,,,,,
,Benny Kumlin Consulting AB,556121-8545,,,,,,,,
,Sahlées Elektriska Aktiebolag,556160-8240,,,,,,,,
,Fritz Domeij Åkeri Aktiebolag,556144-1147,,,,,,,,
,Barkarby Revisionsbyrå Aktiebolag,556178-2821,,,,,,,,
,Hans Angel Byggkonsult Aktiebolag,556115-7081,,,,,,,,
,Adlers Kranlyft Aktiebolag,556162-8313,,,,,,,,
,Wiroth Interior AB,556141-9747,,,,,,,,
,Stig Amrén Åkeri Aktiebolag,556155-0962,,,,,,,,
,P. Dahlmans Kylteknik Aktiebolag,556158-2643,,,,,,,,
,Erik Gustav Erikssons Åkeri Aktiebolag,556154-9725,,,,,,,,
,Best-Matic International AB,556135-3565,,,,,,,,
,Tvååkers Färg Aktiebolag,556163-2513,,,,,,,,
,Aktiebolaget Skogaby Taxi & Busstrafik,556167-0083,,,,,,,,
,Brea Transport Aktiebolag,556163-4519,,,,,,,,
,Ekbackens Rör AB,556171-9385,,,,,,,,
,Åkes Måleri Aktiebolag,556121-7729,,,,,,,,
,Sollefteå-Sundsvall Godstrafik Aktiebolag,556131-1373,,,,,,,,
,Bianchi Nordic AB,556183-2840,,,,,,,,
,Aktiebolaget Stor-Stockholms Plåtslageri,556166-6529,,,,,,,,
,HEPEJO AB,556133-2007,,,,,,,,
,Viadukten Redovisning Aktiebolag,556195-8892,,,,,,,,
,Valbo Elektriska Installations Aktiebolag,556064-1168,,,,,,,,
,Bjuråkers Bokföringstjänst Aktiebolag,556120-1145,,,,,,,,
,Bohus Brattön Aktiebolag,556108-1059,,,,,,,,
,MTAB Sverige AB,556124-0630,,,,,,,,
,Aktiebolaget Langs Elektriska,556127-4308,,,,,,,,
,Hagneryd Gård TME AB,556101-2096,,,,,,,,
,Bojeca Aktiebolag,556105-2803,,,,,,,,
,Ramlösa Revisionsbyrå Aktiebolag,556110-1303,,,,,,,,
,Hallgrens Logistik i Olofstorp AB,556127-3862,,,,,,,,
,Själanders Åkeri Aktiebolag,556105-7406,,,,,,,,
,Byggnadsfirma G. Insulander Aktiebolag,556143-6741,,,,,,,,
,Nortrend Redovisning AB,556146-6680,,,,,,,,
,Byggnadsaktiebolaget Jan Eriksson,556179-1624,,,,,,,,
,Electronic Solutions Sweden AB,556113-3355,,,,,,,,
,P-P Entreprenad Aktiebolag,556148-5128,,,,,,,,
,Bodafors Transport Aktiebolag,556185-3259,,,,,,,,
,Sune Rahmquist Konsult Aktiebolag,556149-6133,,,,,,,,
,Länstrafiken i Norrbotten Aktiebolag,556156-2058,,,,,,,,
,PBAB Redovisning och Revision AB,556121-8073,,,,,,,,
,NIRAS Sweden AB,556175-6197,,,,,,,,
,Satellithuset i Limmared Aktiebolag,556180-4583,,,,,,,,
,Solrosen KBT Kungsbacka AB,556180-7560,,,,,,,,
,LG:s bokföring Aktiebolag,556173-5043,,,,,,,,
,Lundströms Mekaniska Verkstad AB,556193-8589,,,,,,,,
,Rosenborg Juridik AB,556188-0674,,,,,,,,
,Harry S. Johanssons Entreprenad Aktiebolag,556156-3023,,,,,,,,
,Nilssons Glas och Aluminium AB,556132-6082,,,,,,,,
,Kortedala Trä & Byggnads Aktiebolag,556156-9749,,,,,,,,
,Gunnar Waara Åkeri Aktiebolag,556167-8870,,,,,,,,
,Småföretagens Riksorganisation Service Aktiebolag,556101-2377,,,,,,,,
,SECTRA Aktiebolag,556064-8304,,,,,,,,
,Slättelynga Grus AB,556131-8071,,,,,,,,
,REBO AB,556119-8267,,,,,,,,
,KELLER GRUNDLÄGGNING AB,556108-1646,,,,,,,,
,TN Bygg & Anläggning AB,556091-8848,,,,,,,,
,Otto Nilssons Byggnads Aktiebolag,556114-4196,,,,,,,,
,Vänerns Byggnads Aktiebolag,556117-5794,,,,,,,,
,Örestads VVS-Byrå Aktiebolag,556121-4296,,,,,,,,
,Aldegrens Åkeri Aktiebolag,556112-5583,,,,,,,,
,Rolands Åkeri Aktiebolag,556129-6814,,,,,,,,
,Limhamnshus Aktiebolag,556170-7984,,,,,,,,
,Arkitema AB,556162-6150,,,,,,,,
,Oskar Stattins Åkeri Aktiebolag,556113-2159,,,,,,,,
,L.G.-Konsult Lindén & Gundhäll Aktiebolag,556118-4689,,,,,,,,
,Aktiebolaget Systemstöd Sverige,556122-0798,,,,,,,,
,EMJM AB,556175-6452,,,,,,,,
,Hold Fast Marine Dalarna Aktiebolag,556167-2154,,,,,,,,
,Företagstjänst i Åmål AB,556169-7508,,,,,,,,
,Lunds i Arboga fastigheter AB,556167-8342,,,,,,,,
,MA-system AB,556199-7494,,,,,,,,
,Anders Sjöström Bygg Aktiebolag,556135-2104,,,,,,,,
,Förvaltnings Aktiebolaget Vipera,556170-3439,,,,,,,,
,Kenth Nilsson Aktiebolag,556139-3959,,,,,,,,
,Curt Pålsson Busstrafik Aktiebolag,556198-1589,,,,,,,,
,Radison Aktiebolag,556145-6830,,,,,,,,
,Kollektivrör Aktiebolag,556188-0872,,,,,,,,
,Bruno Sjödin Aktiebolag,556190-6958,,,,,,,,
,Kollektivrör Holding AB,556150-4191,,,,,,,,
,Södra Vägens Glasmästeri Aktiebolag,556151-3887,,,,,,,,
,Harplinge Transport Aktiebolag,556152-0650,,,,,,,,
,Karl-Ivar Jönssons Åkeri Aktiebolag,556172-0854,,,,,,,,
,Wikström Byggwik Aktiebolag,556212-9683,,,,,,,,
,Mjöberg Bygg AB,556213-2067,,,,,,,,
,Carl-Philips VVS Aktiebolag,556198-2074,,,,,,,,
,Tylömarks Holding AB,556203-4149,,,,,,,,
,Niels Hansen Maskingrävning Aktiebolag,556148-0533,,,,,,,,
,LIG Transporter Aktiebolag,556193-9009,,,,,,,,
,Aktiebolaget Sigurd Johansson Godstrafik,556174-8558,,,,,,,,
,Quartic International AB,556083-5596,,,,,,,,
,Tylögatt Förvaltnings AB,556068-1974,,,,,,,,
,Dicax Aktiebolag,556041-9722,,,,,,,,
,Herman Eriksson Schaktaktiebolag,556079-6434,,,,,,,,
,Loevaas Industriservice AB,556084-3434,,,,,,,,
,MetInd Konsult AB,556113-7653,,,,,,,,
,Kvists Åkeri Aktiebolag,556102-0966,,,,,,,,
,Idala Markprodukter AB,556115-7156,,,,,,,,
,Juristfirman Viberg & Jelf AB,556071-5277,,,,,,,,
,Ahlgrens Åkeri Aktiebolag,556075-1058,,,,,,,,
,Bröderna Perssons Rör Aktiebolag,556075-2619,,,,,,,,
,Holgersson Revision Aktiebolag,556141-2338,,,,,,,,
,Ragnar Pettersson Åkeri Aktiebolag,556148-2950,,,,,,,,
,Lillpåtan Aktiebolag,556168-0108,,,,,,,,
,Elmertoft Bygg & Montage AB,556178-3233,,,,,,,,
,Lappheden Holding AB,556113-6275,,,,,,,,
,Ericon Aktiebolag,556180-7693,,,,,,,,
,Sveriges Advokaters Serviceaktiebolag,556128-7144,,,,,,,,
,Nyberg & Rosén Plåtslageri Aktiebolag,556173-9763,,,,,,,,
,Ivar Gustavssons Åkeri Aktiebolag,556135-8473,,,,,,,,
,Promik Affärsbyrå Aktiebolag,556195-5195,,,,,,,,
,PERONO Holding AB,556191-8664,,,,,,,,
,Jochnicks Rör Aktiebolag,556194-6509,,,,,,,,
,Berixon Entreprenad AB,556194-5543,,,,,,,,
,Power Consulting Sweden AB,556189-7868,,,,,,,,
,N.B. Johansson Åkeri Aktiebolag,556195-5799,,,,,,,,
,Furlands Revisionsbyrå Aktiebolag,556195-3463,,,,,,,,
,Vara Entreprenad Aktiebolag,556150-0272,,,,,,,,
,Aktiebolaget Emådalsschakt,556196-2324,,,,,,,,
,Profil Ledarutveckling och Urval Aktiebolag,556197-1069,,,,,,,,
,Contrado Kalmar AB,556194-4280,,,,,,,,
,Bykärr Entreprenad Aktiebolag,556200-4266,,,,,,,,
,ITEC Industrial Technical and Economic Consulting Aktiebolag,556072-3990,,,,,,,,
,LMB Måleribolag i Linköping Aktiebolag,556076-5835,,,,,,,,
,Molkoms Elektriska Aktiebolag,556088-6896,,,,,,,,
,Aktiebolag Raymond Sjöqvist & Son,556110-2459,,,,,,,,
,KE Advisory AB,556097-9873,,,,,,,,
,Ekströms Glasmästeri Aktiebolag,556075-6255,,,,,,,,
,K. Olséns Byggnadsaktiebolag,556168-7087,,,,,,,,
,Bring Cargo Inrikes AB,556132-2669,,,,,,,,
,Stallbackens El AB,556163-1838,,,,,,,,
,Aktiebolaget Rudolfssons Åkeri & Entreprenad,556102-5221,,,,,,,,
,Halléns Transport & Logistics Aktiebolag,556107-8634,,,,,,,,
,Bergs Lås AB,556148-0970,,,,,,,,
,Backa Väglinje Aktiebolag,556163-5979,,,,,,,,
,Västkustens Trafikmålning Aktiebolag,556190-3146,,,,,,,,
,Oleman Förvaltnings AB,556157-3915,,,,,,,,
,Thage Svanbergs Transport Aktiebolag,556128-9140,,,,,,,,
,Raa Kommunikation AB,556131-1019,,,,,,,,
,Jan Åbergs Åkeri Aktiebolag,556193-5577,,,,,,,,
,Arlanda Invest Aktiebolag,556201-7243,,,,,,,,
,Björn Eliasson Ingenjörsfirma Aktiebolag,556202-4918,,,,,,,,
,Falbygdens Bokföringsbyrå Aktiebolag,556139-6143,,,,,,,,
,GE Grid Solutions AB,556140-0333,,,,,,,,
,Lidköpings Truck-Tjänst Aktiebolag,556179-2762,,,,,,,,
,Carl Byggare Aktiebolag,556164-6083,,,,,,,,
,MHT Takentreprenören i Syd Aktiebolag,556199-9540,,,,,,,,
,Förvaltnings AB Skrovmålaren,556195-8041,,,,,,,,
,Br. Nilssons VVS AB,556211-5989,,,,,,,,
,Road House Transport AB,556171-4519,,,,,,,,
,Emtbjörks AB,556155-3529,,,,,,,,
,Sävsjöströms Bruk Aktiebolag,556203-7837,,,,,,,,
,Pe-Ges Åkeri Aktiebolag,556205-1465,,,,,,,,
,Byggprofil i Stockholm Aktiebolag,556177-3093,,,,,,,,
,Anders Skånberg Maskin Aktiebolag,556198-9053,,,,,,,,
,Andalens Åkeri Aktiebolag,556198-9509,,,,,,,,
,BNV Invest Aktiebolag,556061-4645,,,,,,,,
,Fönsterbytarna i Stockholm AB,556048-2597,,,,,,,,
,Ricki Holding AB,556074-2768,,,,,,,,
,Aktiebolaget Kloka Huvuden,556110-5791,,,,,,,,
,Nordfor Training & Consulting Aktiebolag,556093-1742,,,,,,,,
,Frede Karlsson Aktiebolag,556110-9512,,,,,,,,
,Svedala Solskydd AB,556102-4018,,,,,,,,
,Elma Fastigheter i Skellefteå AB,556136-5783,,,,,,,,
,Ellös Åkeri Ingvar Karlsson Aktiebolag,556136-6443,,,,,,,,
,Glimåkra Värme- & Sanitetstjänst Aktiebolag,556087-6418,,,,,,,,
,Roland Hallafors Åkeri o. Schakt Aktiebolag,556136-8407,,,,,,,,
,Byggnadsfirman Mikael Fransson i Jönköping AB,556158-6644,,,,,,,,
,Aktiebolaget Engelviks All - Montage,556146-6755,,,,,,,,
,H. Engströms Åkeri Aktiebolag,556102-8035,,,,,,,,
,Woodshed Aktiebolag,556179-0022,,,,,,,,
,Kungälvs Reparations Aktiebolag,556160-0486,,,,,,,,
,Romben Aktiebolag,556188-9444,,,,,,,,
,Väderstad Holding AB,556172-2884,,,,,,,,
,BHR Scandinavia Aktiebolag,556155-2950,,,,,,,,
,Waleca Aktiebolag,556184-5859,,,,,,,,
,Stadium Aktiebolag,556187-3299,,,,,,,,
,Edvardssons VVS i Örebro Aktiebolag,556124-8799,,,,,,,,
,P.E. Sundins Plåtslageri Aktiebolag,556131-1159,,,,,,,,
,Golvab i Borlänge Aktiebolag,556194-1427,,,,,,,,
,Jerkers grot och skogstransporter AB,556201-7565,,,,,,,,
,Tomas Davidssons Åkeri AB,556189-0665,,,,,,,,
,db Payroll & HR AB,556175-7575,,,,,,,,
,"Epoxia, S-E Tenghagen Aktiebolag",556201-9074,,,,,,,,
,Hallsta Installationsbyrå Aktiebolag,556172-3825,,,,,,,,
,Energisparkonsult Paul Albertsson Aktiebolag,556204-2985,,,,,,,,
