orgnr,target_url,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,allabolag_url,target_url_source,target_url_confidence,resolve_debug,email,phone,domain,contact_page,source,is_webshop,webshop_signals,webshop_debug,debug,county,municipality,revenue_sek,revenue_year,revenue_tier,in_revenue_band,employees,webshop_platform,product_count_estimate,seo_pages_sampled,seo_avg_title_len,seo_avg_desc_len,seo_missing_meta_desc_pct,seo_missing_h1_pct,seo_duplicate_title_pct,seo_avg_alt_coverage_pct,seo_avg_product_desc_words,seo_jsonld_product_pct,seo_gap_score,uses_clerk_io,clerk_io_evidence,lead_score,lead_reasons
559180-1674,http://www.radicalsweden.nu,Vortex Performance AB,Vortex Performance AB,47.8 | 46.7,Detaljhandel med personbilar och lätta motorfordon,Detaljhandel med personbilar och lätta motorfordon; Annan sportverksamhet; Partihandel med reservdelar och tillbehör till motorfordon,Ljungbyhed,264 51,Thulinvägen 23,,,ACTIVE,,,https://www.allabolag.se/foretag/vortex-performance-ab/klippan/-/5591801674,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/vortex+performance+ab/ljungbyhed/npuhmudhi | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Skåne,Klippan,22319000,2024,in_band,true,3,,,,,,,,,,,,,,,,
556514-8383,http://www.xlbyggnybergsed.se,L Nybergs Bygg och Entreprenad AB,L Nybergs Bygg och Entreprenad AB,47.5,Byggande av bostadshus och andra byggnader,Byggande av bostadshus och andra byggnader; Annan övrig specialiserad bygg- och anläggningsverksamhet; Detaljhandel med virke och byggvaror; Detaljhandel med järn- och VVS-varor,Ed,668 32,Jordbrovägen 18,,,ACTIVE,,,https://www.allabolag.se/foretag/l-nybergs-bygg-och-entreprenad-ab/dals-ed/-/5565148383,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/l+nybergs+bygg+och+entreprenad+ab/ed/ngufcorv | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Västra Götaland,Dals-Ed,22302000,2024,in_band,true,6,,,,,,,,,,,,,,,,
559120-3376,https://gustavssons-koek-and-restaurang-ab.jimdosite.com/,Gustavsson Restauranggrossist AB,Gustavsson Restauranggrossist AB,46.3,Partihandel med kött och köttvaror,Partihandel med kött och köttvaror; Partihandel med fisk- och fiskprodukter,Hovås,436 53,Berguven 22,,,ACTIVE,,,https://www.allabolag.se/foretag/gustavsson-restauranggrossist-ab/goteborg/-/5591203376,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/gustavsson+restauranggrossist+ab/hov%C3%A5s/kqzzdfcmn | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Västra Götaland,Göteborg,22291000,2024,in_band,true,4,,,,,,,,,,,,,,,,
559115-7960,https://www.solaredge.com/swe,SolarEdge Technologies (Sweden) AB,SolarEdge Technologies (Sweden) AB,46.5,Partihandel med elektronikkomponenter,Partihandel med elektronikkomponenter,Falun,791 27,"c/o Svenska Standardbolag AB, Box 292",,,ACTIVE,,,https://www.allabolag.se/foretag/solaredge-technologies-sweden-ab/falun/-/5591157960,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/solaredge+technologies+(sweden)+ab/v%C3%A4ster%C3%A5s/igvhngvx | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Dalarna,Falun,22289000,2024,in_band,true,10,,,,,,,,,,,,,,,,
559144-4210,https://yamahastoremora.se/,Mora Motorcenter Fritid AB,Mora Motorcenter Fritid AB,47.6 | 47.8,Detaljhandel med personbilar och lätta motorfordon,Detaljhandel med personbilar och lätta motorfordon; Detaljhandel med båtar; Reparation och underhåll av motorcyklar,Färnäs,792 75,Hindrikesvägen 5,,,ACTIVE,,,https://www.allabolag.se/foretag/mora-motorcenter-fritid-ab/mora/-/5591444210,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/yamaha+store+mora/f%C3%A4rn%C3%A4s/igpvdhcop | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Dalarna,Mora,22269000,2024,in_band,true,5,,,,,,,,,,,,,,,,
556422-3484,https://www.cadstudion.se,CAD Studion i Skåne AB,CAD Studion i Skåne AB,46.5,Teknisk konsultverksamhet inom bygg- och anläggningsteknik,Teknisk konsultverksamhet inom bygg- och anläggningsteknik; Partihandel med datorer och kringutrustning samt programvara; samt annan kontorsutrustning,Malmö,211 25,Östergatan 18,,,ACTIVE,,,https://www.allabolag.se/foretag/cad-studion-i-skane-ab/malmo/-/5564223484,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/cad+studion+i+sk%C3%A5ne+ab/malm%C3%B6/aamnsdctu | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Skåne,Malmö,22261000,2025,in_band,true,11,,,,,,,,,,,,,,,,
559060-8732,http://www.onestepit.se,One Strategic Partner in Sweden AB,One Strategic Partner in Sweden AB,46.5,Datordrifttjänster,Datordrifttjänster; Partihandel med datorer och kringutrustning samt programvara; samt annan kontorsutrustning,Karlstad,652 21,Gjuterigatan 26,,,ACTIVE,,,https://www.allabolag.se/foretag/one-strategic-partner-in-sweden-ab/karlstad/-/5590608732,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/onestep-it-ab/karlskoga/inoxyhcpq | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Värmland,Karlstad,22255000,2025,in_band,true,14,,,,,,,,,,,,,,,,
556354-7883,https://skinnarnas.nu/,Skinnarnas Blommor och Trädgård AB,Skinnarnas Blommor och Trädgård AB,47.7,Odling av prydnadsväxter i växthus,"Odling av prydnadsväxter i växthus; Odling av plantskoleväxter i växthus; Detaljhandel med blommor och andra växter, frön och gödselmedel",Ljungby,341 42,Skinnarevägen 2,,,ACTIVE,,,https://www.allabolag.se/foretag/skinnarnas-blommor-och-tradgard-ab/ljungby/-/5563547883,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/skinnarnas-blommor-och-tradgard/ljungby/jkcosxang | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,butik@skinnarna.se,,skinnarnas.nu,https://skinnarnas.nu,browser,no,,main@https://skinnarnas.nu/:samplingRan(sampled=0),,Kronoberg,Ljungby,22247000,2024,in_band,true,11,,,,,,,,,,,,,no,,0,not_webshop
559169-4517,http://www.olbryggning.se,Ölbryggning Sverige AB,Ölbryggning Sverige AB,47.1,Detaljhandel via internet eller postorder med brett sortiment,Detaljhandel via internet eller postorder med brett sortiment,Örebro,702 27,Aspholmsvägen 4,,,ACTIVE,,,https://www.allabolag.se/foretag/olbryggning-sverige-ab/orebro/-/5591694517,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/%C3%B6lbryggning+sverige+ab/%C3%B6rebro/kobfmpve | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Örebro,Örebro,22240000,2024,in_band,true,6,,,,,,,,,,,,,,,,
556082-4442,https://www.grustenius.com,Grustenius Aktiebolag,Grustenius Aktiebolag,46.6,"Partihandel med gruv-, bygg- och anläggningsmaskiner","Partihandel med gruv-, bygg- och anläggningsmaskiner",Blentarp,275 64,Slimmingevägen 118,,,ACTIVE,,,https://www.allabolag.se/foretag/grustenius-aktiebolag/sjobo/-/5560824442,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/grustenius+ab/blentarp/ccsvdlngo | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Skåne,Sjöbo,22224000,2025,in_band,true,3,,,,,,,,,,,,,,,,
556242-2096,https://malarboden.nu,Målarboden i Södertälje Aktiebolag,Målarboden i Södertälje Aktiebolag,47.5,"Detaljhandel med färger, fernissor och lacker","Detaljhandel med färger, fernissor och lacker",Södertälje,152 42,Bergaholmsvägen 9,,,ACTIVE,,,https://www.allabolag.se/foretag/malarboden-i-sodertalje-aktiebolag/sodertalje/-/5562422096,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:malarboden.nu(score=12),,,,,,,,,,Stockholm,Södertälje,22199000,2024,in_band,true,5,,,,,,,,,,,,,,,,
556944-5850,https://www.padelcenter.se/,Padel Center Göteborg AB,Padel Center Göteborg AB,47.6,"Drift av sporthallar, idrottsplatser och andra sportanläggningar","Drift av sporthallar, idrottsplatser och andra sportanläggningar; Detaljhandel med sport- och fritidsartiklar utom cyklar och båtar; Restaurangverksamhet; Arrangemang av kongresser och mässor",Stockholm,115 56,Palermogatan 40,,,ACTIVE,,,https://www.allabolag.se/foretag/padel-center-goteborg-ab/stockholm/-/5569445850,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/padel+center+g%C3%B6teborg+ab/v%C3%A4stra+fr%C3%B6lunda/nrvemoxd | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Stockholm,Stockholm,22180000,2024,in_band,true,5,,,,,,,,,,,,,,,,
556975-9185,https://rattviksglass.se,Rättviksglass AB,Rättviksglass AB,46.3,Tillverkning av glassvaror,"Tillverkning av glassvaror; Partihandel med socker, choklad- och sockerkonfektyrer",Rättvik,795 32,Torpvägen 3,,,ACTIVE,,,https://www.allabolag.se/foretag/rattviksglass-ab/rattvik/-/5569759185,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:rattviksglass.se(score=22),,,,,,,,,,Dalarna,Rättvik,22180000,2025,in_band,true,13,,,,,,,,,,,,,,,,
556823-4933,https://sikoauktioner.se,SIKÖ Auktioner AB,SIKÖ Auktioner AB,47.9,Förmedling avseende icke-specialiserad detaljhandel,Förmedling avseende icke-specialiserad detaljhandel,Kristianstad,291 62,Alevägen 1,,,ACTIVE,,,https://www.allabolag.se/foretag/siko-auktioner-ab/kristianstad/-/5568234933,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:11 | ddg_picked:sikoauktioner.se(score=22),,,,,,,,,,Skåne,Kristianstad,22155000,2024,in_band,true,27,,,,,,,,,,,,,,,,
556757-3760,https://stjarnafyrkant.se/sundsvall-ortviksv/,ESP Kommunikation AB,ESP Kommunikation AB,46.5,Partihandel med telekommunikationsutrustning,Partihandel med telekommunikationsutrustning,Sundsvall,856 33,Ortviksvägen 8,,,ACTIVE,,,https://www.allabolag.se/foretag/esp-kommunikation-ab/sundsvall/-/5567573760,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/stj%C3%A4rnafyrkant+sundsvall/sundsvall/mmtzzllmn | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Västernorrland,Sundsvall,22146000,2025,in_band,true,11,,,,,,,,,,,,,,,,
559101-6307,https://www.lyftbolaget.se,Lyftbolaget Nerike AB,Lyftbolaget Nerike AB,46.6,Uthyrning och leasing av bygg- och anläggningsmaskiner,Uthyrning och leasing av bygg- och anläggningsmaskiner; Partihandel med diverse andra maskiner och diverse annan utrustning,Kumla,692 34,Marsvägen 2 b,,,ACTIVE,,,https://www.allabolag.se/foretag/lyftbolaget-nerike-ab/kumla/-/5591016307,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:lyftbolaget.se(score=14),,,,,,,,,,Örebro,Kumla,22122000,2025,in_band,true,2,,,,,,,,,,,,,,,,
556214-1845,https://dackilomma.se,"Lomma Däckservice, Däckmäster, Aktiebolag","Lomma Däckservice, Däckmäster, Aktiebolag",47.8,Däckservice,Däckservice; Detaljhandel med reservdelar och tillbehör till motorfordon,Lomma,234 37,Siriusgatan 25,,,ACTIVE,,,https://www.allabolag.se/foretag/lomma-dackservice-dackmaster-aktiebolag/lomma/-/5562141845,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:12 | ddg_picked:dackilomma.se(score=14),,,,,,,,,,Skåne,Lomma,22113000,2024,in_band,true,9,,,,,,,,,,,,,,,,
559464-0087,https://www.sedinsbil.se,SEDINS BIL AB,SEDINS BIL AB,47.8,Detaljhandel med personbilar och lätta motorfordon,Detaljhandel med personbilar och lätta motorfordon,Staffanstorp,245 43,Havrevägen 6,,,ACTIVE,,,https://www.allabolag.se/foretag/sedins-bil-ab/staffanstorp/-/5594640087,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:sedinsbil.se(score=22),,,,,,,,,,Skåne,Staffanstorp,22112000,2024,in_band,true,1-4,,,,,,,,,,,,,,,,
556809-8221,https://www.riktiga.se,RIKTIG AB,RIKTIG AB,46.3,Partihandel med drycker,Partihandel med drycker,Stockholm,112 41,Sysslomansgatan 14,,,ACTIVE,,,https://www.allabolag.se/foretag/riktig-ab/stockholm/-/5568098221,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:riktiga.se(score=22),,,,,,,,,,Stockholm,Stockholm,22109000,2025,in_band,true,2,,,,,,,,,,,,,,,,
556972-6663,https://www.telpartner.se,Telpartner Sverige AB,Telpartner Sverige AB,46.5,Partihandel med telekommunikationsutrustning,Partihandel med telekommunikationsutrustning,Kista,164 40,Isafjordsgatan 32 c 5 Tr,,,ACTIVE,,,https://www.allabolag.se/foretag/telpartner-sverige-ab/stockholm/-/5569726663,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:telpartner.se(score=14),,,,,,,,,,Stockholm,Stockholm,22099000,2025,in_band,true,3,,,,,,,,,,,,,,,,
556973-2281,https://pharmaprim.com,Pharmaprim AB,Pharmaprim AB,46.4,Partihandel med medicinsk utrustning och apoteksvaror,Partihandel med medicinsk utrustning och apoteksvaror,Stockholm,111 45,Birger Jarlsgatan 27,,,ACTIVE,,,https://www.allabolag.se/foretag/pharmaprim-ab/stockholm/-/5569732281,brave,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_candidates:51 | brave_picked:pharmaprim.com(score=20),,,,,,,,,,Stockholm,Stockholm,22090000,2024,in_band,true,0,,,,,,,,,,,,,,,,
556374-2765,https://swedishgamefair.se,Swedish Fair Force AB,Swedish Fair Force AB,46.9,Logistikverksamhet,Logistikverksamhet; Icke-specialiserad partihandel; Förmedling avseende godstransport,Göteborg,411 16,Vallgatan 8,,,ACTIVE,,,https://www.allabolag.se/foretag/swedish-fair-force-ab/goteborg/-/5563742765,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_failed:HTTP 429 for https://search.brave.com/search?q=Swedish%20Fair%20Force%20AB%20hemsida | ddg_candidates:10 | ddg_picked:swedishgamefair.se(score=14),,,,,,,,,,Västra Götaland,Göteborg,22076000,2025,in_band,true,3,,,,,,,,,,,,,,,,
556425-5924,http://www.z-reklam.se/,Z-Reklam i Falköping Aktiebolag,Z-Reklam i Falköping Aktiebolag,46.4,Grafiska tjänster före tryckning (prepress/premedia),Grafiska tjänster före tryckning (prepress/premedia); Diverse övrig tillverkning; Partihandel med övriga hushållsvaror,Falköping,521 30,Göteborgsvägen 2,,,ACTIVE,,,https://www.allabolag.se/foretag/z-reklam-i-falkoping-aktiebolag/falkoping/-/5564255924,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/z+reklam+i+falk%C3%B6ping+ab/falk%C3%B6ping/mgbdknqst | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Västra Götaland,Falköping,22063000,2024,in_band,true,11,,,,,,,,,,,,,,,,
556155-2257,https://lundinskok.se,Lundins Snickerifabrik i Hestra Aktiebolag,Lundins Snickerifabrik i Hestra Aktiebolag,47.5,Tillverkning av köksinredningar,Tillverkning av köksinredningar; Detaljhandel med virke och byggvaror,Hestra,335 71,Mogatan 21,,,ACTIVE,,,https://www.allabolag.se/foretag/lundins-snickerifabrik-i-hestra-aktiebolag/gislaved/-/5561552257,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:lundinskok.se(score=14),,,,,,,,,,Jönköping,Gislaved,22056000,2025,in_band,true,10,,,,,,,,,,,,,,,,
556474-4851,http://www.bilkompaniet.eu/,Bilkompaniet i Tråvad AB,Bilkompaniet i Tråvad AB,47.9 | 46.1 | 46.7,Detaljhandel med personbilar och lätta motorfordon,"Detaljhandel med personbilar och lätta motorfordon; Detaljhandel med båtar; Provisionshandel med motorfordon, och reservdelar och tillbehör till motorfordon; Partihandel med personbilar och lätta motorfordon; Förmedling avseende specialiserad detaljhandel",Vara,534 91,Längjum Stenhaga Gård,"Bolaget skall idka handel med bilar och andra motorfordon, äga och förvalta värdepapper samt därmed förenlig verksamhet.",1993-10-13,ACTIVE,,,https://www.allabolag.se/foretag/bilkompaniet-i-travad-ab/vara/-/5564744851,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/bilkompaniet+i+tr%C3%A5vad+ab/vara/ccgggouuv | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Västra Götaland,Vara,22028000,2024,in_band,true,2,,,,,,,,,,,,,,,,
559191-9443,https://tjelvling.se,Tjelvling Funfood AB,Tjelvling Funfood AB,46.3 | 46.6,"Icke-specialiserad partihandel med livsmedel, drycker och tobak","Icke-specialiserad partihandel med livsmedel, drycker och tobak; Partihandel med socker, choklad- och sockerkonfektyrer; Partihandel med diverse andra maskiner och diverse annan utrustning",Skogås,142 50,Betongvägen 2 Port 12,,,ACTIVE,,,https://www.allabolag.se/foretag/tjelvling-funfood-ab/huddinge/-/5591919443,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:tjelvling.se(score=14),,,,,,,,,,Stockholm,Huddinge,22018000,2025,in_band,true,4,,,,,,,,,,,,,,,,
556442-8893,http://berglundsfrukt.se/,B Berglunds Frukt- och Partiaffär AB,B Berglunds Frukt- och Partiaffär AB,46.3,Partihandel med frukt och grönsaker,Partihandel med frukt och grönsaker,Rättvik,795 33,Hellebergs Väg 40,"Bolaget skall bedriva partihandel med storköksprodukter, äga och förvalta värdepapper, samt därmed förenlig verksamhet.",1992-02-06,ACTIVE,,,https://www.allabolag.se/foretag/b-berglunds-frukt-och-partiaffar-ab/rattvik/-/5564428893,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/b+berglunds+frukt+och+partiaff%C3%A4r+ab/r%C3%A4ttvik/ccgrsyhj | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Dalarna,Rättvik,22018000,2025,in_band,true,7,,,,,,,,,,,,,,,,
556665-2417,https://i-gunnarsson-bil-traktor-ab.webnode.se,I Gunnarsson Bil & Traktor AB,I Gunnarsson Bil & Traktor AB,46.6,Partihandel med diverse andra maskiner och diverse annan utrustning,Partihandel med diverse andra maskiner och diverse annan utrustning; Däckservice,Malmbäck,571 69,Knutstorp,,,ACTIVE,,,https://www.allabolag.se/foretag/i-gunnarsson-bil-och-traktor-ab/nassjo/-/5566652417,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:11 | ddg_picked:i-gunnarsson-bil-traktor-ab.webnode.se(score=22),,,,,,,,,,Jönköping,Nässjö,21987000,2025,in_band,true,4,,,,,,,,,,,,,,,,
556181-6827,https://www.bindomatic.com,Bindomatic Aktiebolag,Bindomatic Aktiebolag,46.5,Partihandel med andra insatsvaror,"Partihandel med andra insatsvaror; Tillverkning av lim; Partihandel med kontorsförbrukningsvaror; Partihandel med datorer och kringutrustning samt programvara; samt annan kontorsutrustning; Uthyrning och leasing av kontorsmaskiner, kontorsutrustning och datorer",Stockholm,118 60,"c/o Lamooi Accounting AB, Ringvägen 100",,,ACTIVE,,,https://www.allabolag.se/foretag/bindomatic-aktiebolag/stockholm/-/5561816827,ddg,medium,hitta_orgnr:hitta_no_next_data | hitta_name:hitta_no_url_found | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:bindomatic.com(score=20),,,,,,,,,,Stockholm,Stockholm,21980000,2024,in_band,true,1,,,,,,,,,,,,,,,,
556354-8634,https://www.totalcom.se,Totalcom Svenska AB,Totalcom Svenska AB,47.4,Detaljhandel med telekommunikationsutrustning,Detaljhandel med telekommunikationsutrustning,Uppsala,754 50,Stålgatan 8,,,ACTIVE,,,https://www.allabolag.se/foretag/totalcom-svenska-ab/uppsala/-/5563548634,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:totalcom.se(score=14),,,,,,,,,,Uppsala,Uppsala,21979000,2024,in_band,true,3,,,,,,,,,,,,,,,,
559361-9744,https://toppowernordic.se,TopPower AB,TopPower AB,46.5,Partihandel med elektronikkomponenter,Partihandel med elektronikkomponenter,Bålsta,746 52,Danavägen 2,,,ACTIVE,,,https://www.allabolag.se/foretag/toppower-ab/habo/-/5593619744,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:toppowernordic.se(score=22),,,,,,,,,,Uppsala,Håbo,21978000,2025,in_band,true,4,,,,,,,,,,,,,,,,
556664-4869,https://realisera.se,Realisera ID Sweden AB,Realisera ID Sweden AB,46.4,Partihandel med kontorsmöbler,Partihandel med kontorsmöbler; Tillverkning av kontors- och butiksinredningar,Spånga,163 53,Domnarvsgatan 2 f,,,ACTIVE,,,https://www.allabolag.se/foretag/realisera-id-sweden-ab/stockholm/-/5566644869,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:realisera.se(score=14),,,,,,,,,,Stockholm,Stockholm,21966000,2024,in_band,true,6,,,,,,,,,,,,,,,,
559271-7903,https://robindelseliusbageri.se,Robin Delselius i Sickla AB,Robin Delselius i Grisslinge AB,47.2,Detaljhandel med bröd och konditorivaror,Detaljhandel med bröd och konditorivaror,Enskede,122 60,Stora Gungans Väg 2,,,ACTIVE,,,https://www.allabolag.se/foretag/robin-delselius-i-grisslinge-ab/stockholm/-/5593636623,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:robindelseliusbageri.se(score=14),info@robindelseliusbageri.se,+46 8 408 016 15,robindelseliusbageri.se,https://robindelseliusbageri.se,browser,no,,,"src:mailto_main,main_email_ranked,main_phone",Stockholm,Stockholm,21930000,2024,in_band,true,10,,,,,,,,,,,,,,,,
556781-1129,https://www.pnrnordic.se,PNR Nordic AB,PNR Nordic AB,46.6,Partihandel med diverse andra maskiner och diverse annan utrustning,Partihandel med diverse andra maskiner och diverse annan utrustning,Gustavsberg,134 27,Box 1006,,,ACTIVE,,,https://www.allabolag.se/foretag/pnr-nordic-ab/varmdo/-/5567811129,ddg,medium,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:pnrnordic.se(score=22),,,,,,,,,,Stockholm,Värmdö,21917000,2025,in_band,true,2,,,,,,,,,,,,,,,,
559024-5063,https://www.nordicradiator.se/,Nordic Radiator Aktiebolag,Nordic Radiator Aktiebolag,47.5,Detaljhandel med järn- och VVS-varor,Detaljhandel med järn- och VVS-varor,Kävlinge,244 93,Företagshusvägen 2,,,ACTIVE,,,https://www.allabolag.se/foretag/nordic-radiator-aktiebolag/kavlinge/-/5590245063,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/nordic+radiator+ab/-/kpqszdlop | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Skåne,Kävlinge,21913000,2023,in_band,true,3,,,,,,,,,,,,,,,,
559446-5774,https://www.uppsalafritid.se/,Uppsala Fritid Uppland AB,Uppsala Fritid Uppland AB,47.6,Reparation och underhåll av motorcyklar,Reparation och underhåll av motorcyklar; Allmän service och reparation av motorfordon utom motorcyklar; Byggande av fritidsbåtar; Detaljhandel med båtar; Reparation och underhåll av civila fartyg och båtar,Almunge,741 97,Näsby 16,,,ACTIVE,,,https://www.allabolag.se/foretag/uppsala-fritid-uppland-ab/uppsala/-/5594465774,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/uppsala+fritid+uppland+ab/almunge/fnuemorb | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Uppsala,Uppsala,21913000,2025,in_band,true,2,,,,,,,,,,,,,,,,
556327-5402,http://unicar.se/,Unicar Bilservice i Kungälv Aktiebolag,Unicar Bilservice i Kungälv Aktiebolag,47.8,Allmän service och reparation av motorfordon utom motorcyklar,Allmän service och reparation av motorfordon utom motorcyklar; Detaljhandel med personbilar och lätta motorfordon,Kungälv,442 40,Bultgatan 20,,,ACTIVE,,,https://www.allabolag.se/foretag/unicar-bilservice-i-kungalv-aktiebolag/kungalv/-/5563275402,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/unicar+bilservice+ab/kung%C3%A4lv/lrxefnsde | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,,,,,,,,,,Västra Götaland,Kungälv,21882000,2025,in_band,true,9,,,,,,,,,,,,,,,,
556018-5158,https://www.sormlandsbostadsbyra.se,Sörmlands Bo Handelsfastighet AB,Sörmlands Bo Handelsfastighet AB,47.5,Detaljhandel med möbler,Detaljhandel med möbler,Gävle,801 39,"c/o Fastighetssnabben AB, Box 1449",,,ACTIVE,,,https://www.allabolag.se/foretag/sormlands-bo-handelsfastighet-ab/gavle/-/5560185158,ddg,low,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data | mojeek_skipped_rate_limited | brave_skipped_rate_limited | ddg_candidates:10 | ddg_picked:sormlandsbostadsbyra.se(score=14),,,,,,,,,,Gävleborg,Gävle,21880000,2024,in_band,true,0,,,,,,,,,,,,,,,,
