domain,company_name,orgnr,email,phone,contact_page,source,is_webshop,webshop_signals,webshop_debug,debug
,Din CD i Sverige Aktiebolag,556506-0414,,,,,,,,
,Kebne Fastigheter AB,556508-9694,,,,,,,,
,Almskoug Golf Aktiebolag,556485-7513,,,,,,,,
,Örjans Jeans & Kläder i Boden Aktiebolag,556472-2287,,,,,,,,
,Witting Materialhantering XYZ Aktiebolag,556459-2466,,,,,,,,
,Skärgårdsskatten Aktiebolag,556461-9921,,,,,,,,
,Swedendro Aktiebolag,556473-8234,,,,,,,,
,Anders Nyström i Malå Aktiebolag,556327-3373,,,,,,,,
,Galleri Kråkeslätt Aktiebolag,556327-4819,,,,,,,,
,Naturlig Hälsa o Skönhet i Blekinge AB,556476-8090,,,,,,,,
,Spanjoletten AB,556333-0959,,,,,,,,
,Sjöbackens Ur AB,556478-3883,,,,,,,,
,Börjesson Ahlström Food Aktiebolag,556450-6763,,,,,,,,
frejablommor.se,Freja blommor,,freja@frejablommor.se,+46 31 25 86 80,https://frejablommor.se/om-oss,browser,no,checkout_provider; product_cards; sampled_3; sample_addtocart_1; provider:woocommerce,main@https://frejablommor.se/:providers(woocommerce) | main@https://frejablommor.se/:productCards(4) | main@https://frejablommor.se/:samplingRan(sampled=3) | sampleURL@https://frejablommor.se/inspiration/:status=200 | sampleURL@https://frejablommor.se/begravning/:status=200 | sampleURL@https://frejablommor.se/uppvaktning/:status=200:ATC | contact_like@https://frejablommor.se/kontakta-oss/:providers(woocommerce) | contact_like@https://frejablommor.se/om-freja-blommor/:providers(woocommerce),
station2000.se,,,,,https://station2000.se,browser,no,,,HTTP 404 | method:browser
,Wahlstedt Livs Aktiebolag,556485-3769,,,,,,,,
,Rotor Konsult i Borlänge Aktiebolag,556342-7094,,,,,,,,
,Adept Collection Aktiebolag,556497-4938,,,,,,,,
,Ö.Vattenkvalité AB,556501-7745,,,,,,,,
,Kruge Sverige AB,556485-3116,,,,,,,,
,Foodimpex International Aktiebolag,556458-5494,,,,,,,,
,Filippa K Aktiebolag,556469-8586,,,,,,,,
,DMC kvalitetssystem Aktiebolag,556476-9395,,,,,,,,
,Lanek Ekonomi & Juridik Aktiebolag,556460-3636,,,,,,,,
,Kenny Scandinavia Aktiebolag,556478-1259,,,,,,,,
alcadon.se,Alcadon AB,,,,https://alcadon.se,static,yes,cart; checkout; product_cards; priced_cards,static@https://alcadon.se:hasCheckout(uiPhrase) | static@https://alcadon.se:hasCart(uiPhrase) | static@https://alcadon.se:pricedCards(multiPrices) | static@https://alcadon.se:productCards(58) | DECISION@static@https://alcadon.se,
,Granath & Granath Aktiebolag,556488-9102,,,,,,,,
bjarnum.eu,,,,,https://bjarnum.eu,browser,no,,,net::ERR_CONNECTION_CLOSED at https://bjarnum.eu | method:browser
,Worklinq AB,556479-7156,,,,,,,,
,Selmtec AB,556486-4501,,,,,,,,
,Stefans Sport i Skärhamn AB,556496-3576,,,,,,,,
maskincity.se,Maskincity i Motala AB,,info@maskincity.se; service@maskincity.se; ulf@maskincity.se,+46 141 20 22 90,https://maskincity.se,static,no,,,
,THoP Technologies AB,556489-1900,,,,,,,,
,Henneberg Sweden Aktiebolag,556507-9588,,,,,,,,
allbygg.net,,,,,https://allbygg.net,browser,no,,,HTTP 503 | method:browser
,Team Amanda Eriksson AB,556500-3695,,,,,,,,
,DK Company Online AB,556482-7417,,,,,,,,
,Mark- och Miljökontroll i Särö AB,556464-8292,,,,,,,,
,Dana Lim Sverige AB,556245-3786,,,,,,,,
veteranshop.se,,556486-3354,info@veteranshop.se,+46 70 551 40 38,https://veteranshop.se,static,yes,checkout_provider; product_cards; priced_cards; provider:nets,static@https://veteranshop.se:pricedCards(multiPrices) | static@https://veteranshop.se:providers(nets) | static@https://veteranshop.se:productCards(3) | DECISION@static@https://veteranshop.se,
,Nila Fritid i Malå Aktiebolag,556466-7979,,,,,,,,
,Mandelstam Juvel AB,556475-3902,,,,,,,,
,Fina Badrum i Skellefteå AB,556483-3076,,,,,,,,
baltzar.com,Baltzar,,contact@baltzar.com,,https://baltzar.com/om-oss,browser,yes,checkout_provider; product_cards; priced_cards; provider:shopify,main@https://baltzar.com/:pricedCards(multiPrices) | main@https://baltzar.com/:providers(shopify) | main@https://baltzar.com/:productCards(52) | DECISION@main@https://baltzar.com/ | internal@https://baltzar.com/en-se/pages/stores:providers(shopify) | DECISION@internal@https://baltzar.com/en-se/pages/stores | contact_like@https://baltzar.com/en-se/policies/terms-of-service:providers(shopify) | DECISION@contact_like@https://baltzar.com/en-se/policies/terms-of-service | contact_like@https://baltzar.com/kontakta-oss:pricedCards(multiPrices) | contact_like@https://baltzar.com/kontakta-oss:providers(shopify) | contact_like@https://baltzar.com/kontakta-oss:productCards(52) | DECISION@contact_like@https://baltzar.com/kontakta-oss | contact_like@https://baltzar.com/contact:providers(shopify) | DECISION@contact_like@https://baltzar.com/contact | contact_like@https://baltzar.com/contact-us:pricedCards(multiPrices) | contact_like@https://baltzar.com/contact-us:providers(shopify) | contact_like@https://baltzar.com/contact-us:productCards(52) | DECISION@contact_like@https://baltzar.com/contact-us | contact_like@https://baltzar.com/om-oss:pricedCards(multiPrices) | contact_like@https://baltzar.com/om-oss:providers(shopify) | contact_like@https://baltzar.com/om-oss:productCards(52) | DECISION@contact_like@https://baltzar.com/om-oss,
,Provestor Industri & Handel Aktiebolag,556474-6948,,,,,,,,
,Helmerverken Holding AB,556494-4212,,,,,,,,
,CMS Custom Made Shoes AB,556489-6842,,,,,,,,
,Bywind Sweden AB,556475-3084,,,,,,,,
,Håkan Sandstedt Agenturer Aktiebolag,556476-8645,,,,,,,,
,L o I Zachrissons Livs Aktiebolag,556498-9266,,,,,,,,
,Länna Bilcenter Aktiebolag,556456-5116,,,,,,,,
,Hanataba AB,556478-4907,,,,,,,,
,Jarla Cykel & Sport Aktiebolag,556495-6331,,,,,,,,
,Aquajet Systems Holding AB,556499-1288,,,,,,,,
,Mekonomen Kramfors Aktiebolag,556496-1810,,,,,,,,
,Zebro International Aktiebolag,556488-1570,,,,,,,,
,I.A.C.Komponenter Aktiebolag,556461-2983,,,,,,,,
,Maskingården M& F AB,556464-1313,,,,,,,,
fruktaffaren.se,,,info@fruktaffaren.se,+46 8 650 34 08; +46 70 832 16 85,https://fruktaffaren.se,browser,no,,main@https://www.fruktaffaren.se/:samplingRan(sampled=0),
hunton.se,Hunton Fiber AB,,hunton@hunton.se,+46 40 15 38 00,https://hunton.se,static,no,,,
,Maskinteknik i Ö-vik Aktiebolag,556486-5466,,,,,,,,
,Ink Technology Innovation AB,556471-4011,,,,,,,,
helgeredsror.se,Helgereds rör AB,,info@helgeredsror.se; michael@helgeredsror.se,+46 31 23 49 19,https://helgeredsror.se,static,no,,,
,I'm the bag AB,556480-7666,,,,,,,,
,Energia i Malmö Aktiebolag,556469-8776,,,,,,,,
,Nordic Active Brands Aktiebolag,556471-2924,,,,,,,,
,Diab'Less Fashion Aktiebolag,556473-1767,,,,,,,,
truckreparatoren.com,,,,,https://truckreparatoren.com,browser,no,,,net::ERR_CONNECTION_CLOSED at https://truckreparatoren.com | method:browser
,Sibre Scandinavia AB,556474-8142,,,,,,,,
,Bike Industries Sweden AB,556481-7160,,,,,,,,
amtech.se,Amtech AB,,info@amtech.se,+46 250 150 95,https://amtech.se,static,yes,checkout_provider; checkout; product_cards; priced_cards; provider:woocommerce,static@https://amtech.se:hasCheckout(uiPhrase) | static@https://amtech.se:pricedCards(multiPrices) | static@https://amtech.se:providers(woocommerce) | static@https://amtech.se:productCards(33) | DECISION@static@https://amtech.se,
,Mackfanér Trading AB,556491-4702,,,,,,,,
,Hamm & Nilsson Musik AB,556484-0964,,,,,,,,
,Annika Bergfjord AB,556493-8321,,,,,,,,
,Svenska Handelskompaniet AB,556507-9612,,,,,,,,
,PMJ Invest AB,556239-0210,,,,,,,,
assesonsmobler.se,Assesons Möbler AB,,,+46 72 251 04 99,https://assesonsmobler.se,static,no,checkout; product_cards,static@https://assesonsmobler.se:hasCheckout(uiPhrase) | static@https://assesonsmobler.se:productCards(7),
,Emma Engelbert AB,556514-1206,,,,,,,,
,Carl Lind & Co Aktiebolag,556458-6328,,,,,,,,
,Magrab Aktiebolag,556465-8036,,,,,,,,
,Compict AB,556487-7883,,,,,,,,
,Klas A Möbler Aktiebolag,556478-3222,,,,,,,,
,Verktygsmännen i Osby Aktiebolag,556471-6487,,,,,,,,
,Långhalsvikens Förvaltning AB,556493-5574,,,,,,,,
,R-K Verktyg AB,556494-1556,,,,,,,,
,Primulator AB,556489-5430,,,,,,,,
,MAGUNO Aktiebolag,556475-6004,,,,,,,,
,Quiet Village AB,556451-3785,,,,,,,,
,JB Dressing Room AB,556500-9981,,,,,,,,
orsa.happyhomes.se,,,,,https://orsa.happyhomes.se,browser,no,,,net::ERR_CERT_COMMON_NAME_INVALID at https://orsa.happyhomes.se | method:browser
,Aktiebolaget Talleborg,556503-6760,,,,,,,,
,Lisa Edoff Design AB,556478-5730,,,,,,,,
,Run-Trä Aktiebolag,556226-9240,,,,,,,,
,Koscher Delikatesser Malmö Aktiebolag,556229-9809,,,,,,,,
,Kiefer Systemtools AB,556490-4661,,,,,,,,
,Furnissör i Höllviken AB,556498-3632,,,,,,,,
,Araby Entreprenad AB,556499-7087,,,,,,,,
elon.se,Integritetspolicy Elon Group AB,556654-6213; 556857-5525,kundservice@elon.se; gdpr@elon.se,+46 10 220 40 00,https://www.elon.se/kundtjanst/,browser,yes,cart; checkout; product_cards,main@https://www.elon.se/:hasCheckout(urlPath:/checkout) | main@https://www.elon.se/:hasCart(urlPath:/cart) | main@https://www.elon.se/:productCards(148) | DECISION@main@https://www.elon.se/ | contact_like@https://www.elon.se/kundtjanst:hasCheckout(urlPath:/checkout) | contact_like@https://www.elon.se/kundtjanst:hasCart(urlPath:/cart) | DECISION@contact_like@https://www.elon.se/kundtjanst | internal@https://www.elon.se/integritetspolicy:hasCheckout(urlPath:/checkout) | internal@https://www.elon.se/integritetspolicy:hasCart(urlPath:/cart) | DECISION@internal@https://www.elon.se/integritetspolicy,
,Bengt Stålnacke Trading Aktiebolag,556468-2580,,,,,,,,
,NYTEMA Maskin Aktiebolag,556248-7230,,,,,,,,
,Anne Barn & Tonår i Luleå AB,556438-3445,,,,,,,,
,G-Force AB,556488-0549,,,,,,,,
,Move Aktiebolag,556489-0977,,,,,,,,
,Kontorsspecial Förbrukning Småland AB,556477-3397,,,,,,,,
,RC Hisservice AB,556461-0821,,,,,,,,
,Hammargrens Ur & Optik AB,556469-8768,,,,,,,,
,Sandviks livs Aktiebolag,556475-6046,,,,,,,,
,Kellfri AB,556471-9101,,,,,,,,
,Brovägens Livs AB,556482-8829,,,,,,,,
,SN Bilservice Aktiebolag,556499-5313,,,,,,,,
,Grafik & Data i Sverige Aktiebolag,556501-8347,,,,,,,,
,Handelshuset i Kristianstad AB,556503-9442,,,,,,,,
,Teknosvets Aktiebolag,556496-2115,,,,,,,,
,voestalpine High Performance Metals Sweden AB,556232-3146,,,,,,,,
,Arctica Design Aktiebolag,556500-3034,,,,,,,,
,Body Safe of Sweden Aktiebolag,556483-0577,,,,,,,,
,Växt & Miljödesign i Gävle AB,556508-6930,,,,,,,,
hemkop.se,,,,,https://hemkop.se,browser,yes,sampled_3; sample_pdp_1; sample_addtocart_3,main@https://www.hemkop.se/:samplingRan(sampled=3) | sampleURL@https://hemkop.se/artikel/tillganglighetsredogorelse:status=200:ATC | sampleURL@https://hemkop.se/artikel/inspiration:status=200:ATC | sampleURL@https://hemkop.se/artikel/billiga-veckan:status=200:PDP+ATC | DECISION@sample (confirmed) | DECISION@main@https://www.hemkop.se/,
,Xiling i Söderhamn Aktiebolag,556500-0063,,,,,,,,
,Bäne Beslag Aktiebolag,556504-2107,,,,,,,,
hakansradio.se,,,,,https://hakansradio.se,browser,no,,,net::ERR_CONNECTION_CLOSED at https://hakansradio.se | method:browser
,Colly Flowtech AB,556506-7948,,,,,,,,
villafonster.se,,556501-3546,info@villafonster.se,+46 77 169 06 90,https://villafonster.se,static,yes,checkout_provider; cart; checkout; product_cards; priced_cards; provider:klarna,static@https://villafonster.se:hasCheckout(urlPath:/kassa) | static@https://villafonster.se:hasCart(uiPhrase) | static@https://villafonster.se:pricedCards(multiPrices) | static@https://villafonster.se:providers(klarna) | static@https://villafonster.se:productCards(5) | DECISION@static@https://villafonster.se,
,Nehro & Nadea AB,556514-7310,,,,,,,,
autoexperten.se,,,kundservice@autoexperten.se,+46 8 92 33 34,https://www.autoexperten.se/kundservice/,browser,yes,checkout_provider; product_cards; checkout; provider:stripe,main@https://www.autoexperten.se/:providers(stripe) | main@https://www.autoexperten.se/:productCards(10) | main@https://www.autoexperten.se/:samplingRan(sampled=0) | internal@https://www.autoexperten.se/bilverkstad/:hasCheckout(uiPhrase) | internal@https://www.autoexperten.se/bilverkstad/:providers(stripe) | internal@https://www.autoexperten.se/bilverkstad/:productCards(14) | DECISION@internal@https://www.autoexperten.se/bilverkstad/ | contact_like@https://www.autoexperten.se/avtalskund/serviceavtal/:providers(stripe) | contact_like@https://www.autoexperten.se/avtalskund/serviceavtal/:productCards(4) | contact_like@https://www.autoexperten.se/kundservice/:hasCheckout(uiPhrase) | contact_like@https://www.autoexperten.se/kundservice/:providers(stripe) | contact_like@https://www.autoexperten.se/kundservice/:productCards(4) | DECISION@contact_like@https://www.autoexperten.se/kundservice/,
bukowskis.com,Bukowski Auktioner AB,,,,https://bukowskis.com,static,no,,,
,Nygårds Anna Bengtsson Aktiebolag,556477-9436,,,,,,,,
,Sven Hansson & Co Aktiebolag,556486-3339,,,,,,,,
,Urgentum Förvaltning AB,556480-6866,,,,,,,,
,Nielsen Försäljning i Osby Aktiebolag,556481-1270,,,,,,,,
,Villa Invest i Halland Aktiebolag,556478-9401,,,,,,,,
,Miriam Holding AB,556325-6261,,,,,,,,
,Kristoffersson & Bobeck Aktiebolag,556471-4441,,,,,,,,
,Stefan Lindström Consulting & Trading AB,556493-7653,,,,,,,,
,Streco Orientmattor Aktiebolag,556484-4644,,,,,,,,
,Gillöga Datalogi Aktiebolag,556485-5228,,,,,,,,
,Checkpoint Charlie AB,556495-5747,,,,,,,,
,Radiobolaget Karlskrona Aktiebolag,556484-7241,,,,,,,,
jifab.com,,,info@jifab.com,+46 73 554 69 79,https://www.jifab.com/kontakt,browser,no,,,
segagubben.se,,,kontakt@segagubben.se,+46 31 13 89 14,https://segagubben.se/kontakt,browser,no,sampled_2; sample_addtocart_1,main@https://segagubben.se/:samplingRan(sampled=2) | sampleURL@https://segagubben.se/pask/:status=200 | sampleURL@https://segagubben.se/jul/:status=200:ATC,
,Radiocentralen RC Ljud & Bild Aktiebolag,556230-2330,,,,,,,,
,Foder o Spannmål i Helsingborg och Åhus Aktiebolag,556488-5076,,,,,,,,
,Johans MC-service Aktiebolag,556232-8483,,,,,,,,
,Kristianstad Allfoto Aktiebolag,556489-5919,,,,,,,,
stalands.se,,556244-8356,info@stalands.se; webbutiken@stalands.se,+46 8 556 505 58; +46 250 926 11,https://stalands.se/kundservice/kopvillkor/,browser,yes,checkout_provider; checkout; product_cards; provider:klarna,main@https://stalands.se/:hasCheckout(urlPath:/kassa) | main@https://stalands.se/:providers(klarna) | main@https://stalands.se/:productCards(2) | DECISION@main@https://stalands.se/ | contact_like@https://stalands.se/kundservice/:hasCheckout(urlPath:/kassa) | contact_like@https://stalands.se/kundservice/:providers(klarna) | DECISION@contact_like@https://stalands.se/kundservice/ | contact_like@https://stalands.se/kundservice/kopvillkor/:hasCheckout(urlPath:/kassa) | contact_like@https://stalands.se/kundservice/kopvillkor/:providers(klarna) | DECISION@contact_like@https://stalands.se/kundservice/kopvillkor/,
,Pers Gårdar AB,556249-2537,,,,,,,,
,Bara Bensinservice Aktiebolag,556249-7320,,,,,,,,
,Comet AB,556450-0790,,,,,,,,
,Harjak & Månsson AB,556466-0040,,,,,,,,
,uhlsport Scandinavia AB,556464-6114,,,,,,,,
,Quality House MMV Aktiebolag,556476-4842,,,,,,,,
,Distrupol Nordic Aktiebolag,556489-2189,,,,,,,,
,Astromedia Aktiebolag,556325-7392,,,,,,,,
elon.se,Integritetspolicy Elon Group AB,556654-6213; 556857-5525,kundservice@elon.se; gdpr@elon.se,+46 10 220 40 00,https://www.elon.se/kundtjanst/,browser,yes,cart; checkout; product_cards,main@https://www.elon.se/:hasCheckout(urlPath:/checkout) | main@https://www.elon.se/:hasCart(urlPath:/cart) | main@https://www.elon.se/:productCards(148) | DECISION@main@https://www.elon.se/ | contact_like@https://www.elon.se/kundtjanst:hasCheckout(urlPath:/checkout) | contact_like@https://www.elon.se/kundtjanst:hasCart(urlPath:/cart) | DECISION@contact_like@https://www.elon.se/kundtjanst | internal@https://www.elon.se/integritetspolicy:hasCheckout(urlPath:/checkout) | internal@https://www.elon.se/integritetspolicy:hasCart(urlPath:/cart) | DECISION@internal@https://www.elon.se/integritetspolicy,
,Hermex Aktiebolag,556471-5893,,,,,,,,
,Nordlignum Aktiebolag,556447-0176,,,,,,,,
,YASK Systemkonsult Aktiebolag,556487-0284,,,,,,,,
,HHE Store & Food AB,556482-1840,,,,,,,,
dackspecialistenhaninge.se,,,,,https://dackspecialistenhaninge.se,browser,no,,,net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https://dackspecialistenhaninge.se | method:browser
,Svensk Hård Sten AB,556487-5200,,,,,,,,
,AddLife Development AB,556490-8373,,,,,,,,
,Norberg & Co i Piteå Aktiebolag,556511-6984,,,,,,,,
lantzmetall.se,Lantz Metall AB,556497-5224,info@lantzmetall.se,+46 8 444 30 00,https://lantzmetall.se,static,no,,,
byreus.se,,,,,https://byreus.se,browser,no,,,net::ERR_CERT_COMMON_NAME_INVALID at https://byreus.se | method:browser
,West Team Konsult Aktiebolag,556505-8251,,,,,,,,
,Sennen AB,556512-0762,,,,,,,,
,Hagbergs Bil Aktiebolag,556243-7631,,,,,,,,
kinnarps.se,,,info@kinnarps.se,+46 515 380 00,https://www.kinnarps.se/kontakt,browser,no,sampled_3,main@https://www.kinnarps.se/:samplingRan(sampled=3) | sampleURL@https://kinnarps.se/produkter/kontor/:status=200 | sampleURL@https://kinnarps.se/produkter/skola/:status=200 | sampleURL@https://kinnarps.se/produkter/omsorg/:status=200,
,KAAB Kommunadministrativa Datasystem Aktiebolag,556247-3784,,,,,,,,
mateus.se,Mateus Stock AB,,customercare@mateuscollection.com,,https://mateus.se,static,yes,checkout_provider; cart; provider:shopify,static@https://mateus.se:hasCart(urlPath:/cart) | static@https://mateus.se:providers(shopify) | DECISION@static@https://mateus.se,
,Lagenes Fashion Aktiebolag,556484-7985,,,,,,,,
,Wilfa Sverige AB,556490-0081,,,,,,,,
,Renten AB,556467-7317,,,,,,,,
,Skin Concept i Stockholm AB,556325-8705,,,,,,,,
,KACAB Teknik AB,556477-8818,,,,,,,,
,Vendibilia Aktiebolag,556478-0186,,,,,,,,
teuber.se,Teuber & Blomdahl AB,,info@teuber.se,+46 31 20 69 60,https://teuber.se,static,no,cart; product_cards,static@https://teuber.se:hasCart(uiPhrase) | static@https://teuber.se:productCards(3),
,TE Agency AB,556467-9479,,,,,,,,
,Radiosystem Bertil Åhs Aktiebolag,556489-8939,,,,,,,,
,Johnssons Bensinservice Aktiebolag,556493-6903,,,,,,,,
,Skandinaviska Pol Salt Aktiebolag,556501-1797,,,,,,,,
,Nacka-Värmdö Däckdepå AB,556477-9246,,,,,,,,
,Arvid Nilsson Sverige Aktiebolag,556451-5335,,,,,,,,
,Galleri Gösta Bergman AB,556495-8170,,,,,,,,
storkagetrask.se,,,,,https://storkagetrask.se,browser,no,,,net::ERR_CONNECTION_CLOSED at https://storkagetrask.se | method:browser
,Hofors Sparköp Aktiebolag,556460-4295,,,,,,,,
,Barnaffär G-knapp Aktiebolag,556495-0896,,,,,,,,
,SVEMAX Konsult Aktiebolag,556489-9283,,,,,,,,
dinsyn.se,,,ekerooptik@dinsyn.se; sigtunaoptik@dinsyn.se; soderoptik@dinsyn.se,+46 8 560 313 10; +46 158 360 05; +46 8 653 65 65,https://www.dinsyn.se/kontakta-oss,browser,no,checkout,main@https://www.dinsyn.se/:hasCheckout(uiPhrase) | main@https://www.dinsyn.se/:samplingRan(sampled=0),
,Optima Support AB,556495-0052,,,,,,,,
,GVB i Norrland Aktiebolag,556507-9554,,,,,,,,
,Hagelins Antik Karlavägen Aktiebolag,556466-2178,,,,,,,,
,OM Bäckmans Maskin & Trädgård AB,556495-5408,,,,,,,,
blickpunkten.se,,,,,https://blickpunkten.se,browser,no,,,HTTP 403 | method:browser
elinedalsbil.se,Elinedals Bil AB,,elinedalsbil@telia.com; karol.elinedalsbil@gmail.com,+46 70 840 57 10; +46 70 840 57 95,https://elinedalsbil.se/contact,browser,no,,,
,Elofsson & Winberg AB,556510-7173,,,,,,,,
,Kvibergs Överskottslager Aktiebolag,556504-2057,,,,,,,,
,Concept Träningsredskap AB,556464-8698,,,,,,,,
,Scorocco AB,556435-4784,,,,,,,,
,SefinOptik i Kil AB,556479-4302,,,,,,,,
,Vadicia Aktiebolag,556468-2606,,,,,,,,
,Oceanet Aktiebolag,556473-7525,,,,,,,,
,Ultimate Sound & Music USM Aktiebolag,556476-7514,,,,,,,,
,Diverse Gabrielsson AB,556484-6201,,,,,,,,
,Rosen Foto & Ur AB,556480-1818,,,,,,,,
,Kristianstad Stormarknad AB,556495-8949,,,,,,,,
,Textilgrossisten Hefa AB,556485-2126,,,,,,,,
nygas.nu,,,,,https://nygas.nu,browser,no,,,net::ERR_CERT_COMMON_NAME_INVALID at https://nygas.nu | method:browser
,Alldental Q & Co Aktiebolag,556224-5190,,,,,,,,
vfo.se,,,webshop@vfo.se,+46 151 75 00 75; +46 70 774 39 09; +46 151 75 00 11,https://www.vfo.se/kontakta-oss,browser,yes,cart; product_cards; priced_cards,main@https://www.vfo.se/:hasCart(uiPhrase) | main@https://www.vfo.se/:pricedCards(multiPrices) | main@https://www.vfo.se/:productCards(165) | DECISION@main@https://www.vfo.se/ | contact_like@https://www.vfo.se/saljservice-via-videosamtal:hasCart(uiPhrase) | contact_like@https://www.vfo.se/saljservice-via-videosamtal:pricedCards(multiPrices) | contact_like@https://www.vfo.se/saljservice-via-videosamtal:productCards(73) | DECISION@contact_like@https://www.vfo.se/saljservice-via-videosamtal | contact_like@https://www.vfo.se/support-hero:hasCart(uiPhrase) | contact_like@https://www.vfo.se/support-hero:samplingRan(sampled=0) | contact_like@https://www.vfo.se/kontakta-oss:hasCart(uiPhrase) | contact_like@https://www.vfo.se/kontakta-oss:pricedCards(multiPrices) | contact_like@https://www.vfo.se/kontakta-oss:productCards(73) | DECISION@contact_like@https://www.vfo.se/kontakta-oss,
,NordyLook AB,556500-0378,,,,,,,,
,Divine Livs AB,556507-9992,,,,,,,,
,Wihlborgs Musköten 19 AB,556245-7357,,,,,,,,
,Countermine Operations AB,556505-9846,,,,,,,,
,Audio Pro Aktiebolag,556250-5916,,,,,,,,
holmgrenschark.se,,,info@holmgrenschark.se; fabriken@holmgrenschark.se,+46 60 013 30; +46 46 211 15 44; +46 46 15 79 90,https://www.holmgrenschark.se/kontakt,browser,no,,main@https://www.holmgrenschark.se/:samplingRan(sampled=0),
,Akvarievärlden Stockholm Aktiebolag,556483-3258,,,,,,,,
loukku.se,,,,,https://loukku.se,browser,no,,,net::ERR_CONNECTION_CLOSED at https://loukku.se | method:browser
warholmtrading.se,,,,,https://warholmtrading.se,browser,no,,,net::ERR_CONNECTION_CLOSED at https://warholmtrading.se | method:browser
,PHARABI Aktiebolag,556485-8792,,,,,,,,
,Fastighetskonsult Thomas Lindberg Aktiebolag,556482-6641,,,,,,,,
,SafeLink Datacom Aktiebolag,556480-4267,,,,,,,,
,Promet Precision AB,556467-8877,,,,,,,,
,Lindehallen AB,556475-8679,,,,,,,,
,Svenska Kakel AB,556478-1408,,,,,,,,
,Publica Design Aktiebolag,556337-3686,,,,,,,,
,C Vallin Arkitekter AB,556488-9144,,,,,,,,
,Finspångs Verktygsmaskiner Aktiebolag,556489-0068,,,,,,,,
collection12.se,Collection12,,info@collection12.se; simon@collection12.se; michael@collection12.se,+46 8 556 308 00; +46 8 556 308 09,https://collection12.se/kontakt,browser,no,sampled_3,main@https://collection12.se/:samplingRan(sampled=3) | sampleURL@https://collection12.se/produkter/:status=200 | sampleURL@https://collection12.se/leverantoerer/:status=200 | sampleURL@https://collection12.se/vara-kunder/:status=200,
,Causidicus konsult AB,556492-0915,,,,,,,,
facebook.com,,,dev7561@gmail.com; kundansvarig@studioexpress.se,,https://www.facebook.com/kundtjanst,browser,yes,checkout_provider; checkout; provider:adyen,main@https://www.facebook.com/:samplingRan(sampled=0) | contact_like@https://www.meta.com/en-gb/about/?utm_source=about.facebook.com&utm_medium=redirect:hasCheckout(urlPath:/order) | contact_like@https://www.meta.com/en-gb/about/?utm_source=about.facebook.com&utm_medium=redirect:providers(adyen) | DECISION@contact_like@https://www.meta.com/en-gb/about/?utm_source=about.facebook.com&utm_medium=redirect,
,MJ Konsult i Köping Aktiebolag,556492-2630,,,,,,,,
,DeskNet Datateknik Aktiebolag,556489-3492,,,,,,,,
,Skillingen Livs AB,556507-2526,,,,,,,,
,Södertälje Lotteri & Idrottsprodukter Aktiebolag,556465-8465,,,,,,,,
mekwood.se,,,,,https://mekwood.se,browser,no,,,net::ERR_CERT_COMMON_NAME_INVALID at https://mekwood.se | method:browser
,CoatEx AB,556503-0557,,,,,,,,
,Biskopsuddens Båtförmedling Aktiebolag,556487-2710,,,,,,,,
,Vadeco Fashion Aktiebolag,556466-4307,,,,,,,,
,Kanwar Textilegroup AB,556479-4518,,,,,,,,
,Hans Brännman Livs Aktiebolag,556468-2630,,,,,,,,
,Texpart Svenska Aktiebolag,556469-4866,,,,,,,,
,Airwheel Mobility AB,556479-4559,,,,,,,,
cumatix.se,Cumatix AB,,info@pwrd.se,+46 8 446 56 00,https://cumatix.se,static,no,,,
,CSR LeKsaKer i Malmö AB,556509-0262,,,,,,,,
,Carl Hoff AB,556491-2524,,,,,,,,
,R.S. Miljö & Återvinning AB,556521-1991,,,,,,,,
kontorab.se,Kontorab AB,,order@kontorab.se,+46 11 440 15 15; +46 1061195; +46 21 220 01 14,https://kontorab.se,static,yes,cart; checkout,static@https://kontorab.se:hasCheckout(urlPath:/kassa) | static@https://kontorab.se:hasCart(uiPhrase) | DECISION@static@https://kontorab.se,
,Luthagens Livs AB,556526-9015,,,,,,,,
,TotalEnergies Marketing Sweden AB,556498-4218,,,,,,,,
voctec.se,,,,,https://voctec.se,browser,no,,,net::ERR_CONNECTION_CLOSED at https://voctec.se | method:browser
,AJ Sverige Aktiebolag,556518-8322,,,,,,,,
,Sievi Aktiebolag,556243-7755,,,,,,,,
,COBS Aktiebolag,556524-3788,,,,,,,,
brandmarks.se,,,,,https://brandmarks.se,browser,no,,,net::ERR_CONNECTION_CLOSED at https://brandmarks.se | method:browser
,MLT CONSULT AB,556436-5442,,,,,,,,
,LTG Display Aktiebolag,556495-0029,,,,,,,,
,Alina Service AB,556438-4260,,,,,,,,
,Trivec Systems Aktiebolag,556524-8571,,,,,,,,
,Vectrotec Aktiebolag,556479-3197,,,,,,,,
,Mötteruds Bilskrotning Aktiebolag,556449-2352,,,,,,,,
,KassaTech AB,556454-0226,,,,,,,,
,Sondopac Aktiebolag,556456-7765,,,,,,,,
,Crafoord Auktioner i Lund AB,556489-5364,,,,,,,,
,OptiCal i Linköping Aktiebolag,556492-8447,,,,,,,,
,Nordisk Interntelevision Nordvision AB,556513-6669,,,,,,,,
,ALFAB Pr i Malmö AB,556515-4902,,,,,,,,
