orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,email,phone,resolve_debug,domain,contact_page,source,is_webshop,webshop_signals,webshop_debug,debug
556527-4130,Tians Taxi & Buss AB,Tians Taxi & Buss AB,49330,,49330; 77110; 68203,ROBERTSFORS,91531,STANTORSGATAN 1,Bolaget skall bedriva taxitrafik samt idka därmed förenlig verksamhet.,1995-11-16,active,,,http://www.tianstaxi.nu/,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/tians+taxi+och+buss+ab/robertsfors/jkkobxej | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,tianstaxi.nu,https://www.tianstaxi.se/customer-service,browser,no,,,
556546-7841,Clarence Paulson System AB,Clarence Paulson System AB,70200,,70200,SEGELTORP,14173,LÖVDALSVÄGEN 69,Bolaget skall bedriva verksamhet inom områdena Projekt- och Kvalitetsledning samt metodutveckling och utbildning inom dessa områden. Därutöver kommer bolaget att bedriva handel med material och programvara samt värdepapper och därmed förenlig verksamhet.,1997-11-14,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556560-2009,The Finishing Touch Aktiebolag,The Finishing Touch Aktiebolag,43222,,43222; 71129; 43221; 46460; 43320,STOCKHOLM,11157,SERGELGATAN 11,"Bolaget skall bedriva byggverksamhet såsom avlopp, VVS, plåt samt specialiserad inom installation och service av ventilationsanläggningar, fastighetsförvaltning, konsult- verksamhet och bemanning av personal. Vidare skall del av bolaget handa service av medicinsk utrustning samt specialiserad inom arbetsskyddsfrågor och smittrisk och därmed förenlig verksamhet.",1998-10-05,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556547-3351,Nordic Flow Group AB,Nordic Flow Group AB,70200,,70200,STOCKHOLM,10440,BOX 14229,"Föremålet för bolagets verksamhet är att bedriva tillverkning, utveckling och försäljning av pumpar med tillbehör, därtill hörande konsulting samt därmed förenlig verksamhet.",1997-11-03,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556541-8166,Åke Back Målare Aktiebolag,Åke Back Målare Aktiebolag,43341,,43341,TÄBY,18766,MALLSLINGAN 4,Bolaget skall idka måleriverksamhet och därmed förenlig verksamhet.,1997-06-06,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556551-5441,Thomas Landin i Helsingborg AB,Thomas Landin i Helsingborg AB,43210,,43210; 69201,HELSINGBORG,25444,GRUBBAGATAN 12 B,Bolaget skall förvalta fast och lös egendom och därmed förenlig verksamhet.,1998-01-23,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556552-7842,SM Gräv AB,SM Gräv AB,43120,,43120,SVANESUND,47294,BURÅS 355,"Bolaget skall bedriva entreprenadverksamhet och försäljning av material inom vägarbeten, byggnation, övrig verksamhet gällande mark och grunder. Rep.maskiner och bilar och därmed förenlig verksamhet.",1998-02-20,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556549-3409,Arnekvist Fruit & Craft AB,Arnekvist Fruit & Craft AB,69201,,69201; 59110,DONSÖ,43082,GRYTEFOTSVÄGEN 23,Bolaget ska bedriva import och export samt handel med jordbruks- produkter och konsthantverk från Afrika och Asien. Aktiebolaget ska också investera i och utveckla projekt inom jordbruk och turism. Aktiebolaget ska äga och förvalta dotterbolag.,1997-12-02,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556544-4956,NAGLO Invest AB,NAGLO Invest AB,70200,,70200,STOCKHOLM,11825,TIMMERMANSGATAN 12,Konsultverksamhet avseende företagsorganisation inom restaurang samt därmed förenlig verksamhet.,1997-07-24,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556535-8685,Hans-Erik Heléns Transport AB,Hans-Erik Heléns Transport AB,49410,,49410,BASTUTRÄSK,93570,SLÖJDGATAN 26,Bolaget skall bedriva åkeriverksamhet samt därmed förenlig verksamhet.,1996-11-14,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556503-2413,Werntoft Consulting AB,Werntoft Consulting AB,70200,,70200; 62100; 73111,FALUN,79127,BOX 292,"Bolaget skall bedriva konsultationer inom strategi, styrning, organisation samt bolagsledning och bolagsutveckling samt förenlig verksamhet. Bolaget skall även bedriva byggverksamhet samt därmed förenlig verksamhet.",1994-12-29,active,,,,,not_found,,,,hitta_orgnr:hitta_search_failed:HTTP 404 for https://www.hitta.se/undefined/- | hitta_name:hitta_no_next_data,,,,,,,
556505-7758,Hogia Support Service AB,Hogia Support Service AB,70200,,70200; 73300,STENUNGSUND,44447,HAKENÄS,Bolagets verksamhet ska vara försäljning av konsulttjänster och kundsupport avseende programvaror samt därmed förenlig verksamhet.,1995-01-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556506-2212,Gamlestadens Elservice AB,Gamlestadens Elservice AB,43210,,43210,GÖTEBORG,41522,FÄNRIKSGATAN 12,"Bolaget skall bedriva installations- och servicearbeten inom den elektriska branschen, försäljning av elmaterial samt därmed förenlig verksamhet.",1995-01-09,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556509-9248,R. Grips Åkeri AB,R. Grips Åkeri AB,49410,,49410,SVEG,84233,HÄRJEDALSGATAN 53 A,Bolaget skall driva åkeri och anläggningsentreprenader samt därmed förenlig verksamhet.,1995-02-27,active,,,http://www.gripsakeri.se/,,hitta_orgnr,high,info@gripsakeri.se,+46706948336,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/r.+grips+%C3%A5keri+ab/sveg/nqseejox | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment | hitta_orgnr:phone_in_segment,gripsakeri.se,,,,,,
556511-7222,Hartellen Konsult AB,Hartellen Konsult AB,69201,,69201,STOCKHOLM,12022,BOX 90155,Bolaget ska direkt eller indirekt bedriva rådgivning inom området ekonomi samt därmed förenlig verksamhet.,1995-04-11,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556497-7816,Göran Nylund Schakt Aktiebolag,Göran Nylund Schakt Aktiebolag,43120,,43120,ÄLVDALEN,79630,MÄSSVÄGEN 50,"Bolaget skall bedriva gräv- och schaktningsarbeten, samt därmed förenlig verksamhet.",1994-11-07,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556514-2311,Nordborn Consulting Aktiebolag,Nordborn Consulting Aktiebolag,70200,,70200,ILSBO,82991,BERGVÄGEN 15,"Aktiebolaget ska erbjuda konsulttjänster åt företag och organisationer vid import från och export till i huvudsak tysktalande länder, ex.vis marknadsundersökningar, bolagsetableringar, organisation och distribution, marketing sales, produktsupport, europanormer och därmed förenlig verksamhet.",1995-07-07,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556523-6915,Håkan Grimhags Transport AB,Håkan Grimhags Transport AB,49410,,49410,VÄSTRA FRÖLUNDA,42169,SJÖMILSGATAN 12,"Bolaget skall bedriva transportverksamhet, ävensom idka därmed förenlig verksamhet.",1995-07-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556523-7459,EuroBoard Management Consulting AB,EuroBoard Management Consulting AB,70200,,70200,VÄSTRA FRÖLUNDA,42672,TOREDAMMEN 14,"Aktiebolaget ska bedriva affärs- och organisationsutveckling, management samt förvaltning av fast egendom och värdepapper, ävensom idka därmed förenlig verksamhet.",1995-07-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556524-2079,AB Surditet,AB Surditet,71121,,71121,FALUN,79137,VILLAVÄGEN 13 B,Bolaget skall bedriva konsultverksamhet avseende företagsstyrning samt handel med värdepapper och därmed förenlig verksamhet.,1995-07-28,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556524-3929,Haga Mark & Anläggning AB,Haga Mark & Anläggning AB,43120,,43120,VÅRBY,14332,Masmovägen 21 B,"Bolaget skall bedriva byggnadsverksamhet i form av anläggningsverksamhet, handel med och förvaltning av fast egendom och värdepapper ävensom idka därmed förenlig verksamhet.",1995-07-28,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556524-3879,Teklink Engineering AB,Teklink Engineering AB,71124,,71124,VÄSTERÅS,72245,BJÖRNSKINNSVÄGEN 3,"Bolaget skall utföra tekniska konsulttjänster inom energiteknik, utföra tekniska och ekonomiska utredningar, samt kontroll och projektledning av produktionsanläggningar, distributionssystem och anläggningar inom energibranschen, äga och förvalta fast och lös egendom och därmed förenlig verksamhet.",1995-07-28,active,,,,,not_found,,,,hitta_orgnr:hitta_search_failed:HTTP 404 for https://www.hitta.se/undefined/- | hitta_name:hitta_no_url_found,,,,,,,
556525-3274,MISSIONARY MANAGEMENT AB,MISSIONARY MANAGEMENT AB,70200,,70200,LIMHAMN,21611,RORSMANSGATAN 45,"Bolaget skall bedriva rådgivning och utbildning inom företagsekonomi, ledarskap och företagsstyrning.",1995-08-01,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556535-8305,Storudden Aktiebolag,Storudden Aktiebolag,70200,,70200,SOLLENTUNA,19147,MERKURIGRÄND 8,"Bolaget skall dels driva konsultverksamhet, företrädesvis inom företagsledningsfrågor, dels förvärva och förvalta fast och lös egendom samt därmed förenlig verksamhet.",1996-11-12,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556538-7106,BRÅKAR Aktiebolag,BRÅKAR Aktiebolag,42110,,42110,ARVIDSJAUR,93331,VÄSTRA SKOLGATAN 19,"Bolaget skall bedriva förvaltning av fastigheter, asfaltfräsning, caférörelse ävensom idka därmed förenlig verksamhet.",1997-02-03,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556523-8887,Frenia Bygg AB,Frenia Bygg AB,41000,,41000,VARBERG,43247,TRÖNNINGE BYVÄG 5,"Bolaget skall bedriva nyproduktion, reparationer och underhåll av fastigheter ävensom idka därmed förenlig verksamhet.",1995-07-27,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556538-4046,Primotjänst i Nyköping Aktiebolag,Primotjänst i Nyköping Aktiebolag,70200,,70200,NYKÖPING,61145,GRÖNSAKSVÄGEN 119,"Föremålet för bolagets verksamhet skall vara att på konsultbasis bedriva administrativ utveckling beträffande hälso- och sjukvård, dietik och kostekonomi samt idka annan därmed förenlig verksamhet.",1997-02-04,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556539-5919,F Johnsson Mur & Hantverk AB,F Johnsson Mur & Hantverk AB,41000,,41000; 43999,YSTAD,27146,TILLUFSGRÄND 1 A,Bolaget ska bedriva renovering och nybyggnad inom murning och snickeri och därmed förenlig verksamhet.,1997-03-07,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556544-2802,ARSIA AB,ARSIA AB,70200,,70200; 64993; 85522; 90110; 90200,STOCKHOLM,11640,NYTORGET 6,"Bolaget bedriver konsult och utbildningsverksamhet inom ledarskap och organisationsutveckling samt coaching och terapeutiskt vägledning. Använder beprövade metoder baserat på neuroforskning, beteendevetenskap, psykologi och fysiologi i engenskap av led. fysioterapeut med specialkompetens inom Psykomotorisk fysio- terapi (PMF), kropps-, rörelse- och traumaterapeut. Mindfulnessinstruktör och utbildare inom metoden. Föreläsningar, workshops, onlinekurser och litteratur inom alla ovanstående områden samt förvaltar bolagets eget kapital och därmed förenlig verksamhet.",1997-07-02,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556557-5874,Momskonsulterna HRK Aktiebolag,Momskonsulterna HRK Aktiebolag,69201,,69201,TÄBY,18729,BOX 2933,Bolaget skall bedriva konsultativ verksamhet inom tull- och mervärdeskatteområdet ävensom idka därmed förenlig verksamhet.,1998-06-30,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556316-7989,Docere Intelligence Aktiebolag,Docere Intelligence Aktiebolag,70200,,70200,STOCKHOLM,10139,BOX 1070,"Bolaget skall inhämta, bearbeta och förmedla information med hjälp av databaser och eget världsomspännande kontaktnät samt bedriva konsultativ verksamhet inom området Business Intelligence. Bolaget skall även driva ett nätverk av människor inom området Business Intelligence samt idka därmed jämförlig verksamhet.",1988-01-20,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556558-4447,Gocel Consulting AB,Gocel Consulting AB,70200,,70200,PARTILLE,43332,RÄCKVÄGEN 11,"Bolaget skall bedriva konsultverksamhet inom företagsutveckling, äga och förvalta värdepapper samt därmed förenlig verksamhet.",1998-08-06,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556560-0508,Finnveden Advokatbyrå AB,Finnveden Advokatbyrå AB,69101,,69101,ANDERSTORP,33433,NYGATAN 15,Bolaget skall uteslutande under förutsättning av medgivande från Sveriges Advokatsamfunds styrelse bedriva advokatverksamhet.,1998-09-18,active,,,https://finnvedenlaw.se/,,hitta_orgnr,high,ers@finnvedenlaw.se; cf@finnvedenlaw.se; uj@finnvedenlaw.se,+46 70 312 88 78,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/finnveden+advokatbyr%C3%A5+ab/v%C3%A4rnamo/ilselgoop | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,finnvedenlaw.se,https://finnvedenlaw.se/om-oss,browser,no,,,
556553-1794,Borgeby El Aktiebolag,Borgeby El Aktiebolag,43210,,43210,SUNNE,68691,SÖDRA BORGEBY 96,Föremålet för bolagets verksamhet är att utföra tjänster inom el och telebranschen samt äga och förvalta värdepapper och därmed förenlig verksamhet.,1998-03-06,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556560-9715,Visby Hyresmaskiner AB,Visby Hyresmaskiner AB,43991,,43991; 46630,VISBY,62122,BOX 1127,"Bolaget skall driva uthyrning, reparationer och monteringar av bygg- och anläggningsmaskiner, ställningar, lager- och evene- mangshallar samt byggmoduler, försäljning av maskintillbehör, förmedling av arbetskraft inom byggsektorn, samt köpa och för- sälja värdepapper och fastigheter samt uthyrning av lokaler och därmed förenlig verksamhet.",1998-10-15,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556523-8192,Arkotek AB,Arkotek AB,71121,,71121,KUNGSBACKA,43431,SKANSENVÄGEN 11,"Bolaget skall bedriva konsult- och entreprenadverksamhet inom byggsektorn samt äga och förvalta fastigheter och värdepapper, ävensom idka därmed förenlig verksamhet.",1995-07-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556554-0480,FDR Consulting AB,FDR Consulting AB,69201,,69201,HISINGS BACKA,42241,EPILOGGATAN 1,Bolaget skall bedriva konsultverksamhet inom redovisning och ekonomi inom både offentlig och privat sektor som kunder.,1998-03-31,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556562-2684,Byggakademin Sverige AB,Byggakademin Sverige AB,70200,,70200,NACKA STRAND,13152,JAKOBSDALSVÄGEN 19  VÅNING 10,"Bolaget skall bedriva verksamhet inom strategier, förändringsprojekt, kontors- och produktionsrationaliseringar, utbildning, handha administration och projektledning samt försäljning av IT-lösningar, samt annan därmed förenlig verksamhet.",1998-11-23,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556562-2692,PB:s Håltagning Aktiebolag,PB:s Håltagning Aktiebolag,43999,,43999,VÄSTERÅS,72131,Divisionsgatan 5,Bolaget skall bedriva entreprenad inom byggverksamhet och därmed förenlig verksamhet.,1998-11-11,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556552-9004,Samuraj kommunikation AB,Samuraj kommunikation AB,70200,,70200,LULEÅ,97238,RÅDSTUGATAN 7 C,Bolaget skall tillhandahålla lösningar för marknadsföring och därmed förenlig verksamhet.,1998-02-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556511-8758,Norlander Ekonomikonsulter Aktiebolag,Norlander Ekonomikonsulter Aktiebolag,69201,,69201,STOCKHOLM,11327,VIDARGATAN 9,Bolaget skall bedriva försäljning av tjänster inom ekonomi- och redovisningsområdet samt idka därmed förenlig verksamhet. Bolaget ska vidare äga och förvalta fast och lös egendom samt bedriva handel med värdepapper.,1995-05-16,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556515-1932,Tappströms El-Automatik Aktiebolag,Tappströms El-Automatik Aktiebolag,43210,,43210,MÄRSTA,19592,ODENSALA LANDSVÄG 156,Föremålet för bolagets verksamhet är el- och teleinstallationer samt därmed förenlig verksamhet.,1995-07-18,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556501-1854,A-sidan arkitektkontor AB,A-sidan arkitektkontor AB,71110,,71110,UPPSALA,75321,OLOF PALMES PLATS 8,"Bolaget skall driva arkitektverksamhet, byggnadsvård, samhällsplanering och bygg och projektledning samt därmed förenlig verksamhet.",1994-12-23,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556519-0575,RK i Vetlanda Bygg AB,RK i Vetlanda Bygg AB,43320,,43320,VETLANDA,57441,EKVÄGEN 13,Bolaget skall utföra byggnads- och snickeriarbeten samt därmed förenlig verksamhet.,1995-07-12,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556527-7091,Ällmora Bygg o Kakel AB,Ällmora Bygg o Kakel AB,41000,,41000,ÅRSTA,12044,FISKHALLSVÄGEN 16,Bolaget skall bedriva byggnads- och renoveringsarbeten på fastigheter samt transporttjänster och därmed förenlig verksamhet.,1995-12-11,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556526-8025,Kvarnby Åkeri Aktiebolag,Kvarnby Åkeri Aktiebolag,49410,,49410,SVEDALA,23334,MARBÄCKSGATAN 70,Bolaget skall bedriva åkerirörelse jämte därmed förenlig verksamhet.,1995-11-06,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556535-0229,Petuma i Helsingborg Aktiebolag,Petuma i Helsingborg Aktiebolag,43341,,43341,HELSINGBORG,25427,GULKULLAGATAN 26 J,Bolagets verksamhet är måleri- och byggnadsverksamhet. Bolagets verksamhet är att bedriva restaurangverksamhet med inriktning mot det Thailändska kökat och därmed förenlig verksamhet.,1996-10-22,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556522-1255,KSS Klimat- & Styrsystem Aktiebolag,KSS Klimat- & Styrsystem Aktiebolag,43210,,43210; 43222,STOCKHOLM,11259,RÅLAMBSVÄGEN 17  17 TR,"Föremålet för bolagets verksamhet är installationer i fastigheter, företrädesvis ventilation, el och data och därmed förenlig verksamhet.",1995-07-20,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556536-5987,IL Rör Kari Gellersten AB,IL Rör Kari Gellersten AB,43221,,43221,LANDSKRONA,26138,STORMGATAN 6,Bolaget skall bedriva entreprenadverksamhet inom VVS-området samt därmed förenlig verksamhet.,1996-12-06,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556523-9455,Niklas Engman Aktiebolag,Niklas Engman Aktiebolag,70200,,70200; 73111,DJURSHOLM,18254,GAMLA KYRKVÄGEN 39 A,"Bolaget skall bedriva konsultverksamhet inom ekonomi, affärs- utveckling, försäljning och utbildning, investera i anläggnings- tillgångar, bedriva handel med aktier och värdepapper samt idka därmed förenlig verksamhet.",1995-07-27,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556523-9570,CJL Svenska Måleri Aktiebolag,CJL Svenska Måleri Aktiebolag,43341,,43341,SKEPPLANDA,44694,SKÖNNINGARED 445,Bolaget skall utföra byggnadsmålerier samt därmed förenlig verksamhet.,1995-07-27,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556541-7648,Mia Granath Koncept AB,Mia Granath Koncept AB,70100,,70100; 68120; 70200; 68201; 74130,LIDINGÖ,18145,VESSLEVÄGEN 12,"Bolaget ska äga, utveckla och förädla fastigheter och företag. Bedriva konsulttjänster inom inredningsverksamhet, försäljning av inredning och konsulttjänster inom organisationsstruktur. Samt äga fast och lös egendom och därmed förenliga verksamheter.",1997-05-06,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556540-6880,Bredaryds Transport Aktiebolag,Bredaryds Transport Aktiebolag,49410,,49410,BREDARYD,33302,BOX 32,Bolaget skall bedriva åkerirörelse och därmed förenlig verksamhet.,1997-04-29,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556537-4997,Advokat Rolf Seger Aktiebolag,Advokat Rolf Seger Aktiebolag,69101,,69101,HUDDINGE,14140,STATIONSVÄGEN 40,Föremålet för bolagets verksamhet är att driva advokatverksamhet.,1996-12-20,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556546-4145,Sammes Åkeri AB,Sammes Åkeri AB,49410,,49410,BYSKE,93451,RINGVÄGEN 55,Bolaget skall åkerirörelse och uthyrning av chaufförstjänster samt därmed förenlig verksamhet.,1997-09-29,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556549-0991,Lugenda AB,Lugenda AB,69201,,69201,MÖLNDAL,43136,PADDELGATAN 8,"Bolaget skall bedriva revisionsverksamhet, förvaltning av aktier och andelar, fastigheter samt därmed förenlig verksamhet.",1997-11-27,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556539-4417,Stigels Fastighets AB,Stigels Fastighets AB,41000,,41000; 68201,STALLARHOLMEN,64562,HUSBYHOLMSVÄGEN 4 B,"Bolaget skall bedriva fastighetsförvaltning, handel med aktier och värdepapper samt därmed förenlig verksamhet.",1997-02-24,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556540-0016,SanNord AB,SanNord AB,41000,,41000,HUDDINGE,14139,FRÖSÖVÄGEN 16,"Bolaget skall bedriva Internetcafé samt handel med datatillbehör, IT-lösningar och hemelektronik.",1997-03-03,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556527-6259,Anders Larsson Åkeri i Byske Aktiebolag,Anders Larsson Åkeri i Byske Aktiebolag,49410,,49410,BYSKE,93451,TJÄRHOLMSGATAN 16,"Bolaget skall bedriva åkeriverksamhet, försäljning av grus samt bedriva travsportverksamhet och att idka därmed förenlig verksamhet.",1995-12-08,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556515-6915,Företagssupport Christer Pamrin AB,Företagssupport Christer Pamrin AB,70200,,70200,UPPSALA,75324,FURUGATAN 14,"Bolaget skall bedriva konsultverksamhet inom företagsutveckling, produktion, bokföring, kapitalförvaltning samt idka därmed förenlig verksamhet.",1995-08-03,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556552-4534,Wahlström & Steijner Arkitekter AB,Wahlström & Steijner Arkitekter AB,71110,,71110; 74130,GÖTEBORG,41126,ERIK DAHLBERGSGATAN 3,Bolaget skall bedriva arkitektverksamhet och därmed förenlig verksamhet.,1998-02-10,active,,,http://www.wahlstrom-steijner.se/,,hitta_orgnr,high,office@wahlstrom-steijner.se; jurgen@wahlstrom-steijner.se; lena@wahlstrom-steijner.se,+46 31 24 90 50; +46 73 698 09 94; +46 70 562 81 06,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/wahlstr%C3%B6m+och+steijner+arkitekter+ab/g%C3%B6teborg/nnrbhkrrs | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,wahlstrom-steijner.se,https://wahlstrom-steijner.se/kontakt,browser,no,,,
556546-4707,Aktiv Planering Småföretagskonsult Aktiebolag,Aktiv Planering Småföretagskonsult Aktiebolag,69201,,69201; 70200,UPPLANDS VÄSBY,19451,MELLANGÅRDEN 3,"Bolaget skall bedriva redovisnings,-utbildnings- och konsultverksamhet inom ekonomi och företagsledning, förvalta fast och lös egendom ävensom idka därmed förenlig verksamhet.",1997-09-29,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,
556516-7946,Grus- och Byggåtervinning i Gävle AB,Grus- och Byggåtervinning i Gävle AB,43120,,43120; 08120,GÄVLE,80286,ATLASGATAN 10,"Bolaget har till föremål för sin verksamhet att bedriva byggmaterialåtervinning och därmed tillhörande verksamhet samt försäljning av sådan. Likaså att bedriva markentreprenadarbeten och uthyrning av gräv, lastmaskiner och därmed förenlig verksamhet. Därtill idka handel med värdepapper, ädelmetaller och fastigheter, jämte därmed förenlig verksamhet.",1995-09-05,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556551-2786,Bygg i Allt i Hlm AB,Bygg i Allt i Hlm AB,43320,,43320; 47521,SÄLEN,78067,SÄLENVÄGEN 36,"Föremålet för bolagets verksamhet är byggnadsverksmahet, uthyrning av inventarier, restaurang och nattklubbsverksamhet, förvaltning av fast och lös egendom samt uthyrning av fastigheter och därmed förenlig verksamhet.",1998-01-07,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
556546-4616,A K Ekbergs Åkeri AB,A K Ekbergs Åkeri AB,49410,,49410,SÖLVESBORG,29435,LILLEVIKSVÄGEN 2,Bolaget skall idka transportverksamhet ävensom idka därmed förenlig verksamhet.,1997-09-18,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,
