orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,email,phone,resolve_debug
556926-4954,NorthWest Group AB,NorthWest Group AB,47112,,47112,MÄRSTA,19559,SMEDJANS VÄG 28,"Postorderhandel och detaljhandel på internet med hemelektronik, vitvaror, dator, bilreservdelar, trädgårdsvaror. Handel med och service av motorcyklar inklusive reservdelar och tillbehör",2013-03-20,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556927-7584,"Rätt Sadel, Malmqvist Sadeltjänst AB","Rätt Sadel, Malmqvist Sadeltjänst AB",47792,,47792,LANDSKRONA,26191,TULLSTORPSVÄGEN 47,Sadelutprovning samt försäljning av nya och begagnade sadlar,2013-04-05,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556960-7806,Säven Sport AB,Säven Sport AB,46491,,46491; 62201,VÅRGÅRDA,44794,LJUR SÄVSJÖOS 2 A,"Bolaget skall bedriva handel med skor, kläder och artiklar för sport och fritid, konsultverksamhet inom e-handel och internet samt annan därmed förenlig verksamhet.",2014-02-04,active,,,https://sevensports.se/,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/s%C3%A4ven+sport+ab/v%C3%A5rg%C3%A5rda/mprzjkopq | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556920-7540,WCI Retail AB,WCI Retail AB,46433,,46433,VARBERG,43253,SLÄNTSTIGEN 6  LGH 0903,"Föremålet för bolagets verksamhet är handel och import avseende elektronik inom hem- och teleindustrin. Handel och import av presentartiklar, fastighetsförvaltning, handel med värdepapper och därmed förenlig verksamhet.",2013-01-30,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556934-4566,Jonas Wyke Aktiebolag,Jonas Wyke Aktiebolag,47551,,47551; 69201,LAHOLM,31231,DALGÅNGEN 4,"Bolaget ska bedriva detaljhandel i form av butikshandel med möbler, glas och porslin. Samt kundklubb och event i anslutning därtill samt därmed förenlig verksamhet.",2013-06-13,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556935-8970,TaCa AB,TaCa AB,47123,,47123,HÖÖR,24391,STANSTORP GÖINGEVÄGEN 5,Bolaget ska bedriva e-handel med barnkläder samt därmed förenlig verksamhet.,2013-07-01,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556980-6481,Telexia AB,Telexia AB,46503,,46503,VÄSTERÅS,72130,SIGURDSGATAN 20,Aktiebolaget ska bedriva försäljning av produkter och tjänster inom telekom och data.,2014-08-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556971-8447,GREKSSON IMPORT AB,GREKSSON IMPORT AB,47112,,47112; 47122; 46170; 47751,GÖTEBORG,41328,VÄRMLANDSGATAN 20,"Handel med livsmedel. Handel med juice, läsk och vatten inom livsmedelsbranschen. Handel med tvål inom kroppsbehandling.",2014-05-16,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556946-5759,Oskar Norum Motorsport Aktiebolag,Oskar Norum Motorsport Aktiebolag,47820,,47820,BJURHOLM,91691,ÖNSKANÄS 19,"Föremål för bolagets verksamhet är tränings och tävlings- verksamhet inom skotersport och övrig motorsportverksamhet. Handel med skotrar, bilar, 4-hulingar samt tillbehör till dessa. Verkstadsrörelse. Transportverksamhet. Uthyrning av fordon och personal. Förvaltning av värdepapper.",2013-10-28,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556821-6310,Ramhuset Konst & Ram Falun AB,Ramhuset Konst & Ram Falun AB,47692,,47692,FALUN,79162,STUREGATAN 67,Bolaget ska bedriva konsthandel samt därmed förenlig verksamhet.,2010-10-19,active,,,http://www.ramhuset.se,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/ramhuset+konst+och+ram+falun+ab/falun/ntzeflry | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556846-9075,Buami205 AB,Buami205 AB,46433,,46433,UPPLANDS VÄSBY,19491,RUNSAVÄGEN 205,"Bolaget ska bedriva utveckling, tillverkning, försäljning, import och export av elektriska artiklar och material företrädesvis inom installationsområdet, häri inbegriget strömbrytare, vägguttag, uttag för data- och telekommunikation och stickproppar samt tillbehör till dessa, utveckling och licensiering av uppfinningar, bedriva handel med aktier och andra värdepapper samt därmed förenlig verksamhet.",2011-03-22,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556858-0715,Exceptional Home AB,Exceptional Home AB,47123,,47123; 01489; 47272; 62201; 71110,HARMÅNGER,82995,STOCKABY 5,"Bolaget bedriver entreprenad- och anläggningsarbeten inom trädgård, uthyrning av maskiner med och utan förare, samt konsultverksamhet inom IT-arkitektur, trädgårdsarkitektur, biodling, IT-relaterad design och 3D-modellering.",2011-07-01,active,,,http://www.exceptionalhome.se,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/exceptional+home+ab/harm%C3%A5nger/mqsueemp | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556843-3907,DKA by A.M AB,DKA by A.M AB,46491,,46491,STOCKHOLM,11853,SAMARITGRÄND 6,"Bolaget skall bedriva försäljning av artiklar, profilprodukter samt presentartiklar för sport och fritid samt därmed förenlig verksamhet.",2011-02-24,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556858-8148,Sama Optik AB,Sama Optik AB,47742,,47742; 70200,STOCKHOLM,12062,KONVOJGATAN 1  6TR,"Bolaget ska bedriva synundersökningar, optikerverksamhet, visuell träning samt därmed förenlig verksamhet.",2011-07-06,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556826-9624,Eva-Lena Thunberg AB,Eva-Lena Thunberg AB,47122,,47122; 85599,GÄVLE,80645,RÖSGATAN 18,"Bolaget ska bedriva verksamhet inom området mat, miljö och hälsa, bedriva utbildning, försäljning och konsultverksamhet i anslutning härtill samt därmed förenlig verksamhet.",2010-11-22,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556851-4615,Gaxte Handel AB,Gaxte Handel AB,47300,,47300; 47112,ARVIDSJAUR,93399,TALLBERG 3,Bolaget ska bedriva bensinstation samt därmed förenlig verksamhet.,2011-05-03,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556863-0403,Broarne AB,Broarne AB,47553,,47553; 85594; 01489; 16250,SALA,73395,LÖVÅSEN 142,"Aktiebolaget ska bedriva e-handel med inredningsdetaljer. Grossistverksamhet och egendesign av inredningsdetaljer. Utbildning. Konstnärlig verksamhet - design, djurhållning fjäderfä, katteri, musikproduktion.",2011-08-31,active,,,https://broarne.se,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/broarne+ab/sala/knnvbiox | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556864-3760,Vitra AB,Vitra AB,46472,,46472; 47123,STOCKHOLM,11633,BONDEGATAN 21,"Bolaget ska förmedla leverans- och planeringsuppdrag för kontorsinredning, vardagsstolar och -möbler, lampor och lyktor samt bedriva därmed förenlig verksamhet.",2011-09-13,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556852-3152,Rosebud Trading AB,Rosebud Trading AB,47811,,47811; 70200,SPARSÖR,51350,LOTTELIAS VÄG 1,"Bolaget ska bedriva partihandel med varor, t ex båtar, bilar och motorcyklar. Bolaget ska även tillhandahålla konsulttjänster inom säljbranschen, idka handel med värdepapper, äga och förvalta fast och lös egendom samt därmed förenlig verksamhet.",2011-05-10,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556864-6649,Kungshamnsfiskarna AB,Kungshamnsfiskarna AB,46810,,46810; 68202; 52100; 68203; 10890,KUNGSHAMN,45631,HAMNGATAN 6,"Bolaget ska bedriva frysverksamhet, istillverkning, handel med förnödenheter för fisket, oljehandel samt fastighetsförvaltning och därmed förenlig verksamhet.",2011-09-15,active,,,https://www.kungshamnsfiskarna.se,,hitta_orgnr,high,,+4652318888,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/kungshamnsfiskarna-ab/kungshamn/kpxemmnrs | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:phone_in_segment
556865-4015,Westbo of Sweden AB,Westbo of Sweden AB,46499,,46499,REFTELE,33375,INDUSTRIGATAN 8,"Bolaget skall bedriva försäljning av gjutjärnsspisar och tillbehör i gjutjärn, samt därmed förenlig verksamhet.",2011-09-23,active,,,http://www.westbo-of-sweden.com/,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/westbo+of+sweden+ab/reftele/jnosssuyz | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556865-8297,Ingenjörsfirma Håkan Mörk AB,Ingenjörsfirma Håkan Mörk AB,47402,,47402,SPÅNGA,16341,BÅTSMAN STENS VÄG 67,"Bolaget skall bedriva utveckling, tillverkning och försäljning av telecommaterial, samt därmed förenlig verksamhet.",2011-09-27,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556866-1317,KONDITORI REGEMENT AB,KONDITORI REGEMENT AB,47241,,47241,MALMÖ,21751,REGEMENTSGATAN 86,Bageri och försäljning av bröd och konditorivaror.,2011-10-03,active,,,http://www.regementkonditori.se/,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/konditori+regement+ab/malm%C3%B6/ctfmuxhij | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556873-9915,Hedbacken Handel AB,Hedbacken Handel AB,47112,,47112; 10710,SKELLEFTEÅ,93176,VARUGATAN 28,Bolaget har till föremål för sin verksamhet att bedriva detaljhandelsrörelse med dagligvaror inom ICA-verksamhet i Sverige och annan därmed förenlig verksamhet.,2011-12-01,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556854-4778,Hydrographic & Offshore Sweden AB,Hydrographic & Offshore Sweden AB,46189,,46189,NACKA,13137,GAMLA VÄRMDÖVÄGEN 2,Företaget ska bedriva konsultation inom den marina offshore industrin och den hydrografiska marknaden och därtill närliggande verksamhet,2011-05-30,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556867-8675,Värmekabelspecialisten VKS AB,Värmekabelspecialisten VKS AB,46831,,46831; 71123,STOCKHOLM,12030,VIRKESVÄGEN 26 C,Aktiebolaget ska bedriva konsultverksamhet och grossist- försäljning för el-installation och byggbransch samt till- verkningsindustri.,2011-10-14,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556861-5917,Skibahnhof Aktiebolag,Skibahnhof Aktiebolag,47634,,47634,VÄSTERÅS,72470,GRÖNFINKSVÄGEN 3,Föremålet för bolagets verksamhet är att bedriva import och försäljning av alpin skidutrustning såsom skidor pjäxor hjälmar bindningar stavar samt idka därmed förenlig verksamhet,2011-08-17,active,,,https://skibahnhof.se/,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/skibahnhof+ab/v%C3%A4ster%C3%A5s/jpyyyyjgo | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556855-3878,Lilino AB,Lilino AB,47712,,47712,BORÅS,50439,PARKGATAN 13,Försäljning av kläder,2011-06-09,active,,,http://www.lilino.se/,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/lilino+ab/bor%C3%A5s/aqtvyefhi | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556609-5328,Flirt Fashion Aktiebolag,Flirt Fashion Aktiebolag,47711,,47711,STOCKHOLM,11360,DROTTNINGGATAN 110  INNEPÅ GÅRD,"Aktiebolagets verksamhet ska vara att bedriva design av kläder, partihandel och detaljhandel, export, import av kläder, skor, accessoarer, presentartiklar, leksaker, hudvårdsprodukter, multimedia och heminredning samt personaluthyrning för entertainmentändamål tex mässvärdar eller värdinnor till, restauranger, fester, kick-off, musikvideos, showdans, byggverksamhet, samt transporter inom reklambranchen. Vi skall även bedriva produktion inom underhållningsbranchen, cafè- restaurang-och nattklubbsverksamhet samt teater avseende föreställningar och uppträdanden inom stand-up, dans, akrobatik och burlesk, uthyrning av lokaler och showkläder till teatrar, TV och artister samt idka därmed förenlig verksamhet.",2001-05-02,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556610-5002,WSL Svenska AB,WSL Svenska AB,46841,,46841,VÄSTERVIK,59338,KAROSSERIVÄGEN 8,"Föremålet för bolagets verksamhet är att bedriva produktion och försäljning av slipmaterial samt försäljning av tejp, borr och sågklingor för \gör-det-självare\, och därmed förenlig verksamhet.",2001-04-27,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556869-1694,Proper Gadget Concept AB,Proper Gadget Concept AB,47712,,47712,JÄRFÄLLA,17562,GIROVÄGEN 13  3 TR,"Bolaget ska direkt eller indirekt bedriva handel med accessoarer, konfektion och därmed förenlig verksamhet.",2011-10-27,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556869-2049,Klädkammar'n i Trosa AB,Klädkammar'n i Trosa AB,47711,,47711,TROSA,61930,TORGET 1,Aktiebolagets verksamhet är försäljning av barn- och damkläder och därmed liknande verksamhet.,2011-10-27,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556861-9927,Mattemplet i Sollefteå AB,Mattemplet i Sollefteå AB,47112,,47112,SOLLEFTEÅ,88141,HÅGESTA 227,Bolaget har till föremål för sin verksamhet att bedriva detalj- handelsrörelse med dagligvaror inom ICA-verksamheten i Sverige och annan därmed förenlig verksamhet.,2011-08-23,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556837-5504,Vardagsglädje AB,Vardagsglädje AB,47521,,47521,TÄBY,18766,HANTVERKARVÄGEN 14,"Aktiebolagets verksamhet ska vara att bedriva försäljning av köks- och badrumsinredning, äga och förvalta fast egendom samt idka därmed förenlig verksamhet.",2011-01-10,active,,,http://www.ballingslov-arninge.se,,hitta_orgnr,high,info@ballingslov-arninge.se,+4686300150,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/ballingsl%C3%B6v+arninge/t%C3%A4by/ccsstfhcm | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment | hitta_orgnr:phone_in_segment
556880-7373,BaraBraMat i Göteborg AB,BaraBraMat i Göteborg AB,47112,,47112,VÄSTRA FRÖLUNDA,42132,AUGUST BARKS GATA 30 A,Bolaget skall bedriva detaljhandel inom livsmedel samt idka därmed förenlig verksamhet.,2012-01-14,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556842-4989,TL Norden AB,TL Norden AB,47811,,47811,PITEÅ,94146,NYGÅRDSVÄGEN 28,"Föremålet för bolagets verksamhet är att bedriva försäljning av entreprenadmaskiner inom anläggningsbranschen samt nya och begagnade bilar, båtar och reservdelar. Bolaget ska äga och förvalta fastigheter och aktier i dotterföretag samt därmed förenlig verksamhet.",2011-02-18,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556855-1823,Brunswick i Anderstorp AB,Brunswick i Anderstorp AB,47711,,47711,HALMSTAD,30270,VILLAVÄGEN 21,Bolaget skall bedriva marknadsföring och försäljning av skyltställ och marknadsföringsmaterial inom området keramik.,2011-06-08,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556856-4446,Lubea Development AB,Lubea Development AB,47920,,47920,SÄRÖ,42943,DAN BROSTRÖMS VÄG 8,Aktiebolaget ska bedriva konsultation och utveckling av internet- media och därmed förenlig verksamhet.,2011-06-20,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556841-1945,Kolektor Etra Sverige AB,Kolektor Etra Sverige AB,46649,,46649,EKERÖ,17837,TUNNLANDSVÄGEN 11,Bolaget ska bedriva försäljning av transformatorer samt därmed förenlig verksamhet.,2011-02-08,active,,,http://www.kolektor-etra.se/about_kolektor_etra_en.html,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/kolektor+etra+sverige+ab/eker%C3%B6/nsdcpvio | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556845-6734,Scanaero Spares AB,Scanaero Spares AB,46141,,46141; 47112; 46142,TROLLHÄTTAN,46144,SÖDRA FRIDHEMSVÄGEN 1,Aktiebolaget ska bedriva försäljning av flygplansreservdelar samt därtill hörande verksamhet.,2011-03-14,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found
556846-1726,Nordix Global AB,Nordix Global AB,46350,,46350; 46380,SÖDERTÄLJE,15159,KORGBOLLSVÄGEN 11,Bolaget ska bedriva grossistverksamhet med livsmedel och vitt snus samt import och export inom dessa områden och därmed förenlig verksamhet.,2011-03-16,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556846-2252,Natural Body i Anderstorp AB,Natural Body i Anderstorp AB,47751,,47751,BREDARYD,33371,BJÖRKVÄGEN 5,Bolaget ska bedriva försäljning av hudvårds- och spa produkter samt tillhörande behandlingar jämte därmed förenlig verksamhet.,2011-03-17,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556842-7628,Peklof AB,Peklof AB,46340,,46340; 68203,EKSJÖ,57536,PIONGATAN 11,Aktiebolaget ska bedriva handel med alkohol samt därmed förenlig verksamhet.,2011-02-22,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556854-5593,Barn & Babyspecialisten i Värmland AB,Barn & Babyspecialisten i Värmland AB,47789,,47789,KARLSTAD,65341,RAMGATAN 4,"Bolaget ska bedriva handel med babyartiklar, barnvagnar och liknande produkter samt därmed förenlig verksamhet.",2011-05-31,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556821-8308,PL Hydraulik & Maskin AB,PL Hydraulik & Maskin AB,46630,,46630,GNARP,82961,RÖDSBACKEN 102,"Bolagets verksamhet ska vara att bedriva handel och reparationer med entreprenadmaskiner och tillbehör, handel med aktier och värdepapper, förvaltning av fast och lös egendom samt därmed förenlig verksamhet.",2010-10-21,active,,,https://www.pl-hydraulik.se/,,hitta_orgnr,high,peter@plmaskin.se,+46703409676,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/pl+hydraulik+och+maskin+ab/gnarp/nrvflszzd | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment | hitta_orgnr:phone_in_segment
556861-2617,Capsor Holding AB,Capsor Holding AB,47122,,47122; 47123; 56210,STOCKHOLM,11223,BERGSGATAN 14,Bolaget ska äga och förvalta aktier och andelar i bolag och lös och fast egendom samt därmed förenlig verksamhet.,2011-08-15,active,,,,,not_found,,,,hitta_orgnr:hitta_search_failed:HTTP 404 for https://www.hitta.se/undefined/- | hitta_name:hitta_no_next_data
556856-0725,Inredningshuset Storavägen AB,Inredningshuset Storavägen AB,47532,,47532; 47551; 74130; 47761,JÖNKÖPING,55448,SWEDENBORGSGATAN 30 A,"Bolaget skall bedriva försäljning av textil och heminredning, homestyling samt därmed förenlig verksamhet.",2011-06-15,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556857-8214,SAFEFLOW Systems AB,SAFEFLOW Systems AB,46501,,46501; 63910,VALLENTUNA,18653,ÄNGSSTIGEN 20,Bolaget ska bedriva försäljning av datautrustning och IT-konsultationer samt därmed förenlig verksamhet.,2011-07-01,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556845-2683,Reservdelsdoktorn i Järfälla AB,Reservdelsdoktorn i Järfälla AB,47820,,47820,JÄRFÄLLA,17543,DATAVÄGEN 5,Bolaget skall bedriva handel och försäljning av reservdelar till bilar samt därmed förenlig verksamhet.,2011-03-09,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556854-7359,Berlings Fisk AB,Berlings Fisk AB,46322,,46322,LIDKÖPING,53199,SPIKEN ÖSTANÅS,"Bolaget ska bedriva fiske, förädling och försäljnig av fiskeprodukter, samt driva caferörelse och därmed förenlig verksamhet.",2011-06-01,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556854-7557,Maskeradpartaj AB,Maskeradpartaj AB,47789,,47789,LISTERBY,37274,KAVLASKÄRSVÄGEN 12,"Aktiebolagets verksamhet ska vara att bedriva försäljning av skämt- och presentartiklar, utklädnader samt kolonialvaror via butik och internet jämte därmed förenlig verksamhet.",2011-06-01,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556846-7228,CG Agenturer AB,CG Agenturer AB,47122,,47122,GÖTEBORG,41266,ÖVERÅSGATAN 18 G,Aktiebolaget ska bedriva försäljning av smycken och skönhetsprodukter samt äga och förvalta fast egendom och värdepapper jämte därmed förenlig verksamhet.,2011-03-21,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556850-0804,Killgerm Scandinavia AB,Killgerm Scandinavia AB,46850,,46850,MALMÖ,21363,CYPRESSVÄGEN 14,"Bolaget ska bedriva konsultation och försäljning av produkter mot skadedjur inom bygg- och servicebranschen såsom skadedjurs- saneringsföretag, plåtslagare och fastighetsförvaltare samt annan därmed förenlig verksamhet.",2011-04-18,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556876-9771,JMS Vattenrening i Örebro AB,JMS Vattenrening i Örebro AB,46649,,46649,ÖREBRO,70236,GRUSGROPSVÄGEN 3,"Bolaget ska bedriva försäljning av vattenreningsutrustning, konsultverksamhet i vattenreningsfrågor och därmed förenlig verksamhet.",2011-12-19,active,,,http://www.jms-vattenrening.se/lokalkontor/uppsala/,,hitta_orgnr,high,,,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/jms-vattenrening/uppsala/nquhjlcq | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment
556869-1280,Zaroke AB,Zaroke AB,46420,,46420,LULEÅ,97345,HANDELSVÄGEN 19,Bolaget skall bedriva försäljning av barnkläder samt därmed förenlig verksamhet.,2011-10-26,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556829-3178,Profil & Kontor i Vimmerby AB,Profil & Kontor i Vimmerby AB,46492,,46492; 46420; 46499,STOREBRO,59870,VIMMERBYVÄGEN 2,"Bolaget ska bedriva inköp och försäljning av presentreklam och personalgåvor, profilprodukter och give aways, arbetskläder och kontorsmaterial, äga och förvalta fastigheter och värdepapper samt bedriva därmed förenlig verksamhet.",2010-12-03,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556858-1010,Dorch & Berglund STHLM Ljud AB,Dorch & Berglund STHLM Ljud AB,46432,,46432; 90390,BROMMA,16867,ULVSUNDAVÄGEN 176 B,"Bolaget ska bedriva uthyrning och försäljning av ljud- och ljusanläggningar, konsultverksamhet i anslutning därtill samt därmed förenlig verksamhet.",2011-07-01,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556866-3321,Tegelstrom Products AB,Tegelstrom Products AB,47521,,47521,VÄSTERÅS,72244,VILDROSGATAN 7,"Aktiebolaget ska bedriva handel med bygg-, trävaror och natursten samt därmed förenlig verksamhet.",2011-10-04,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556859-6117,Scandinavian Bedding Holding AB,Scandinavian Bedding Holding AB,47551,,47551; 64994,KRISTIANSTAD,29162,ALEVÄGEN 1,"Föremålet för bolagets verksamhet är att bedriva handel med möbler, bädd- och hemtextilier, handel med och förvaltning av värdepapper, äga och förvalta fast och lös egendom samt därmed förenlig verksamhet.",2011-07-15,active,,,,,not_found,,,,hitta_orgnr:hitta_search_failed:HTTP 404 for https://www.hitta.se/undefined/- | hitta_name:hitta_no_next_data
556614-0447,Qicraft Sweden AB,Qicraft Sweden AB,46491,,46491,SOLNA,16974,GUSTAV III:S BOULEVARD 54  PLAN 3,Bolaget skall importera samt bedriva försäljning av motions- och friskvårdsutrustning samt idka därmed förenlig verksamhet.,2001-08-06,active,,,https://qicraft.se,,hitta_orgnr,high,,+4684418780,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/qicraft-sweden-ab/solna/fhhknsxzd | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:phone_in_segment
556860-7146,AB Betongkomponenter Malmö,AB Betongkomponenter Malmö,46831,,46831,BUNKEFLOSTRAND,21836,FURALLÉN 25,"Bolaget ska bedriva förmedling och försäljning av bygg- komponenter, handel och försäljning av fastigheter samt därmed förenlig verksamhet.",2011-08-09,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556837-4622,GourméProdukter Syd AB,GourméProdukter Syd AB,47112,,47112,BÅSTAD,26995,SLÄTTARÖDSVÄGEN 225,Bolaget ska bedriva försäljning samt distribution av livsmedel och därmed förenlig verksamhet.,2011-01-10,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556862-0206,Älvsbyn Livs AB,Älvsbyn Livs AB,47111,,47111,ÄLVSBYN,94231,SKOLGATAN 17,Bolaget har till föremål för sin verksamhet att bedriva detaljhandelsrörelse med dagligvaror inom ICA-verksamheten i Sverige och annan därmed förenlig verksamhet.,2011-08-23,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556837-1396,Stora Gölhults Bygg AB,Stora Gölhults Bygg AB,46831,,46831; 69201,HABO,56691,STORA GÖLHULT 7,Bolaget ska bedriva försäljning av byggmaterial samt konsultation med redovisningstjänster.,2011-01-04,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
556880-0758,ArtPlatform AB,ArtPlatform AB,47692,,47692,STOCKHOLM,11856,BLEKINGEGATAN 24,Bolagets verksamhet ska vara att köpa in och producera konst åt fastighets och byggbolag samt hjälpa dem att implementera arbetet med konst i marknadsföringen och därmed förenlig verksamhet.,2012-01-09,active,,,,,not_found,,,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data
