orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url,target_url_source,target_url_confidence,resolve_debug,email,phone,domain,contact_page,source,is_webshop,webshop_signals,webshop_debug,debug
556149-1050,Next Trend Göteborg AB,Next Trend Göteborg AB,46160,,46160,VÄSTRA FRÖLUNDA,42677,STÖTEKÄRRSVÄGEN 12,"Bolaget skall bedriva seminarieverksamhet kring trend-, och designinformation samt färgkommunikation och därtill hörande verksamhet.",1971-07-26,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556151-5304,Grödinge Bil & Motor Aktiebolag,Grödinge Bil & Motor Aktiebolag,46610,,46610,STOCKHOLM,11346,SVEAVÄGEN 137,Bolaget skall idka handel med och reparation av jordbruksmaskiner.,1971-10-04,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556164-8295,Enebytorgshallen Aktiebolag,Enebytorgshallen Aktiebolag,47112,,47112,YSTAD,27150,VÄRNGRÄND 9,Bolaget har till föremål för sin verkamhet att bedriva detalj- handelsrörelse med dagligvaror inom ICA-verksamheten i Sverige och annan därmed förenlig verksamhet.,1972-06-01,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556177-0529,Wallströms Trävaru Aktiebolag,Wallströms Trävaru Aktiebolag,46831,,46831,SANDVIKEN,81140,STALLGATAN 18,Bolaget skall bedriva försäljning av byggmaterial i parti och minut samt bedriva sågverks och hyvlerirörelse jämte idka därmed förenlig verksamhet.,1973-02-26,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556177-1667,Alf Eriksson Dalstorp Aktiebolag,Alf Eriksson Dalstorp Aktiebolag,46420,,46420,ULRICEHAMN,52331,STORGATAN 69  LASTBRYGGA D,Aktiebolagets verksamhet skall vara att driva handel med konfektionsvaror samt därmed förenlig verksamhet.,1973-02-27,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556180-0771,Olsonic AB,Olsonic AB,46501,,46501,MÖLNDAL,43133,KRONOGÅRDSGATAN 3,Bolaget skall marknadsföra tillbehör och utrustning till datorer samt tillhandahålla service till datorer ävensom idka därmed förenlig verksamhet.,1973-04-26,active,,,https://www.olsonic.se/,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/olsonic+ab/m%C3%B6lndal/igszdlos | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,info@olsonic.se; niklas.rydbeck@olsonic.se; anders.lindstrom@olsonic.se,+46 31 748 42 00; +46 31 748 42 10; +46 31 748 42 20,olsonic.se,https://olsonic.se,static,no,,,
556156-8030,Åströms Radio & TV-service Aktiebolag,Åströms Radio & TV-service Aktiebolag,47403,,47403; 95210; 77220,JOKKMOKK,96232,STORGATAN 28,"Bolaget skall driva försäljning av radio- och TV samt utföra reparationer och service av elektronikvaror, förvaltning av värdepapper samt därmed förenlig verksamhet.",1972-01-17,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556102-7946,ITV Television System Aktiebolag,ITV Television System Aktiebolag,46431,,46431,KUNGENS KURVA,14175,JÄGERHORNS VÄG 13,Bolaget ska bedriva importverksamhet och försäljning av elektronikprodukter för TV-bevakning och multimedia.,1966-03-07,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556073-2207,Uno Hallbäck Aktiebolag,Uno Hallbäck Aktiebolag,47403,,47403; 47541,HELSINGBORG,25655,LUNTERTUNGATAN 13,"Bolaget skall bedriva försäljning av radio, TV, hushållsmaskiner och därmed förenlig vekrsamhet.",1960-08-29,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556083-8251,Bildeve Aktiebolag,Bildeve Aktiebolag,47811,,47811; 47820; 95311; 77110; 95312,HELSINGBORG,25022,BOX 22042,Bolaget skall idka handels- och fabriksrörelse jämte därmed förenlig verksamhet.,1962-08-13,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556170-2167,Lirox AB,Lirox AB,46190,,46190; 46649,SOLNA,16969,"HAGAVÄGEN 18  4TR, LGH 1401","Importera, utveckla och bedriva handel med innovativ design, teknik, Hifi musik, sport- och fritidsutrustning. Konsultation, utveckling och utbildning inom IT, Hifi, medicin och sport. Äga och förvalta träningshallar och fastigheter. Köpa, sälja och förvalta aktier och andra värdepapper. Samt ovan i övrigt förenlig verksamhet.",1972-10-05,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556166-4417,Decowell Aktiebolag,Decowell Aktiebolag,46860,,46860,NACKA,13154,HESSELMANS TORG 5,"Aktiebolaget ska bedriva produktutveckling och försäljning av exponerings- och reklammaterial, äga och förvalta fast och lös egendom, äga och förvalta värdepapper samt annan därmed förenlig verksamhet.",1972-07-04,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556176-7103,Färghuset i Helsingborg Aktiebolag,Färghuset i Helsingborg Aktiebolag,47523,,47523,HELSINGBORG,25007,BOX 7033,Bolaget skall bedriva handel med färghandelsvaror ävensom idka därmed förenlig verksamhet.,1973-02-19,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556167-4432,Nils Lindeberg Boutique Kom In i Uppsala Aktiebolag,Nils Lindeberg Boutique Kom In i Uppsala Aktiebolag,47711,,47711,UPPSALA,75229,NORRLANDSGATAN 16,"Bolaget skall bedriva handel inom damkonfektionsbranschen ävensom idka därmed förenlig rörelse. Vidare skall företaget bedriva konsultverksamhet inom IT-området inklusive spelutveckling, samt fastighetsskötsel.",1972-07-31,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556189-0632,Cingo Aktiebolag,Cingo Aktiebolag,46472,,46472,GLANSHAMMAR,70597,KROGESTA 938,"Bolaget skall verka företrädesvis inom området för design, ionnovation, produktion av inredning för kommersiell och offentlig miljö samt idka därmed förenlig verksamhet. Bolaget skall även äga rätt att äga, köpa och förvalta fast egendom.",1975-02-12,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556187-7050,Stormposter AB,Stormposter AB,46499,,46499; 47692,MALMÖ,21225,STILLMANSGATAN 9,Bolaget skall bedriva handel med och produktion av ramar samt handel med konstföremål jämte därmed förenlig verksamhet.,1974-07-03,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556199-9524,Bargi Aktiebolag,Bargi Aktiebolag,46471,,46471; 46499; 96102,ARLÖV,23237,LIMVÄGEN 3,"Bolaget skall bedriva import och export av mattor, handel med veteranbilar och värdepapper ävensom idka därmed förenlig verksamhet.",1979-04-26,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556192-0405,HACH LANGE AB,HACH LANGE AB,46641,,46641,HELSINGBORG,25278,KUNGSTORGET 8,Bolaget härtill föremål för sin verksamhet att bedriva handel med mätutrustningar för process- och laboratoriemiljö samt annan därmed förenlig verksamhet.,1976-04-26,active,,,https://se.hach.com/,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/hach+lange+ab/solna/jlguuubyz | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment,info-se@hach.com,,se.hach.com,,,,,,
556141-4797,Nordela Aktiebolag,Nordela Aktiebolag,46649,,46649; 46502,ÅRSTA,12060,MALGOMAJVÄGEN 1,Bolaget skall driva import och försäljning av elektriska och elektroniska komponenter jämte därmed förenlig verksamhet.,1970-11-23,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556146-0634,J.Ungerth AB,J.Ungerth AB,46860,,46860,GÖTEBORG,41104,LILLA BOMMEN 2,"Bolaget skall bedriva handel med skogsprodukter, uthyrning av hyreslokaler, handel med värdepapper och därmed förenlig verksamhet.",1971-04-21,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556145-1369,JGB Lyktan AB,JGB Lyktan AB,46831,,46831,ÖDÅKRA,25475,LINDAREGATAN 1,Bolaget skall bedriva bedriva lokal- och inventarieuthyrning och därmed förenlig verksamhet samt äga och förvalta lös och fast egendom.,1971-03-25,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556159-4259,Gunnar Klingstrand Aktiebolag,Gunnar Klingstrand Aktiebolag,46860,,46860; 46841,GÖTEBORG,40242,BOX 12173,Bolaget skall driva handel med arbetarskydds- och svetsmaterial i parti samt därmed förenlig verksamhet. Bolaget skall också handla med hälso- o miljöprodukter i minut och parti. Bolaget skall även driva träningsstudio för styrka och kondition samt idka därmed förenlig verksamhet.,1972-02-29,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556170-5228,Induscandia Erikson & Co Aktiebolag,Induscandia Erikson & Co Aktiebolag,46649,,46649,HALMSTAD,30234,MICKEDALAVÄGEN 8,"Föremålet för bolagets verksamhet är att bedriva handel med, import och export samt förmedling av begagnader tryckerimaskiner, strategi-, lednings-, organisations-, ekonomiskt-, samt marknadsföringskonsultting inom grafisk industri och inom telekommunikation, handel med, import och export samt förmedling av inredningsprodukter och antika varor, samt förvaltning av fast och lös egendom och därmed förenlig verksamhet.",1972-10-12,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556165-3428,Louis Poulsen Sweden AB,Louis Poulsen Sweden AB,46433,,46433,STOCKHOLM,11330,HUDIKSVALLSGATAN 8,Föremålet för bolagets verksamhet skall vara att driva försäljnings och konsultverksamhet inom elbranschen samt därmed förenlig rörelse samt äga och förvalta fast egendom.,1972-06-12,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556064-9237,Lundells Bok & Kontor AB,Lundells Bok & Kontor AB,47611,,47611; 47622,LEKSAND,79330,Bygatan 15,Aktiebolaget ska bedriva bok- och pappershandel med försäljning av kontorsmaterial samt därmed förenlig verksamhet.,1957-06-14,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556065-7222,Aktiebolaget Ekbergs Herrekipering,Aktiebolaget Ekbergs Herrekipering,47711,,47711,KRISTIANSTAD,29130,VÄSTRA STORGATAN 41,Bolaget skall bedriva försäljning av kläder i egna lokaler samt därmed förenlig verksamhet. Bolaget bedriver caféverksamhet.,1957-11-11,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556073-5887,Liamm AB,Liamm AB,46860,,46860,UPPSALA,75314,STUREGATAN 13 A,Bolaget skall bedriva influenserverksamhet inom livsmedel,1960-09-20,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556093-6196,BabyBjörn AB,BabyBjörn AB,46499,,46499,SUNDBYBERG,17267,ESPLANADEN 1,"Bolaget ska bedriva tillverkning, handel och marknadsföring av produkter för barn, särskilt späd- och småbarn, samt därmed förenlig verksamhet.",1964-08-05,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556148-7603,Postadress Hobbycenter AB,Hobbycenter i Göteborg Aktiebolag,47789,,47789,GÖTEBORG,41459,KARL JOHANSGATAN 7,Bolaget skall driva handel med hobbyartiklar ävensom idka därmed förenlig verksamhet.,1971-07-12,active,,,http://www.hobbycenter.se/,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/hobbycenter+i+g%C3%B6teborg+ab/g%C3%B6teborg/nqrsvhiij | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,hobbycenter@hobbycenter.se,+46 31 12 62 20,hobbycenter.se,https://hobbycenter.se,static,yes,checkout_provider; cart; checkout; product_cards; priced_cards; provider:woocommerce,static@https://hobbycenter.se:hasCheckout(uiPhrase) | static@https://hobbycenter.se:hasCart(urlPath:/varukorg) | static@https://hobbycenter.se:pricedCards(multiPrices) | static@https://hobbycenter.se:providers(woocommerce) | static@https://hobbycenter.se:productCards(6) | DECISION@static@https://hobbycenter.se,
556186-4702,Timber Windows Sweden AB,Timber Windows Sweden AB,46831,,46831,STOCKHOLM,11356,BIRGER JARLSGATAN 71,"Bolaget skall bedriva försäljning av modulhus, fönster, dörrar, trä- och byggvaror samt annan därmed förenlig verksamhet.",1974-02-06,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556174-4169,Carama Invest Aktiebolag,Carama Invest Aktiebolag,47631,,47631; 46649; 64994; 70200,AVESTA,77441,POLERVÄGEN 10,"Bolaget skall bedriva uthyrning av sjöfartscontainer, samt leasing av kontors- och verkstadsmaskiner, handel med värdepapper ävensom idka därmed förenlig verksamhet.",1973-01-02,active,,,https://www.fishit.com/,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/fishit+sport+och+fritid/ludvika/aagbbdlo | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,butik@caramas.com,+46 240 361 00,fishit.com,https://fishit.com,browser,no,,main@https://fishit.com/:samplingRan(sampled=0),
556125-6651,Högmarsö Handels Aktiebolag,Högmarsö Handels Aktiebolag,47112,,47112; 47300; 56110,FURUSUND,76019,HÖGMARSÖVÄGEN 73,"Bolaget skall driva varuhandel, huvudsakligen inom dagligvarubranschen, marint bränsle samt cafèverksamhet.",1969-04-29,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556128-8407,Aktiebolaget Fondaco,Aktiebolaget Fondaco,46410,,46410; 68203,BORÅS,50468,GETÄNGSVÄGEN 28-30,Bolaget skall driva grossisthandel med textilier och därmed förenlig verksamhet.,1969-09-15,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556196-6754,Uddala Safety Building Systems AB,Uddala Safety Building Systems AB,46130,,46130,ENKÖPING,74594,TILLINGE UDDALA SÅG,"Bolaget skall bedriva byggnadsrörelse, försäljning av byggnadsmateriel, uthyrning av lokaler och träningsmaskiner, försäljning av fritidsartiklar samt idka därmed förenlig verksamhet.",1978-03-21,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556192-0314,MEKONOMEN VERKSTADSCENTER ÄLVSJÖ AB,MEKONOMEN VERKSTADSCENTER ÄLVSJÖ AB,47820,,47820,MALMÖ,20024,BOX 14056,Bolaget skall bedriva försäljning av biltillbehör och bilreservdelar ävensom idka därmed förenlig verksamhet.,1976-04-21,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556143-1361,Stamnäsmacken AB,Stamnäsmacken AB,47300,,47300; 68201,HUDIKSVALL,82494,STAMNÄS 24,"Bolaget skall bedriva försäljning av drivmedel, utföra traktortjänster som snöskottning och sandning, utföra tjänster till livsmedelsbutiker samt äga och förvalta fast egendom ävensom idka därmed förenlig verksamhet.",1971-01-04,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556180-5804,Bekaert Svenska Aktiebolag,Bekaert Svenska Aktiebolag,46120,,46120,GÖTEBORG,41107,DROTTNINGGATAN 69  VÅN 6,Bolaget skall bedriva försäljning av järn- och stålprodukter samt idka därmed förenlig verksamhet.,1973-05-15,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556198-0805,Aktiebolaget Bröderna Öberg Interiör,Aktiebolaget Bröderna Öberg Interiör,47761,,47761; 47789; 47522,ÄLVSBYN,94231,LOMTJÄRNSGATAN 8  BLOMMOR & TRÄDGÅRD,"Föremålet för bolagets verksamhet är att driva försäljning av golvmaterial, tapeter, VVS- och elartiklar, måleri samt VVS- och mattläggningsentreprenader, försäljning av konfektion och därmed förenlig verksamhet.",1978-10-12,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556147-8644,K.G.E. Processor Aktiebolag,K.G.E. Processor Aktiebolag,46842,,46842,SPÅNGA,16308,BOX 8011,"Bolaget skall tillverka, försälja och montera maskiner, apparater och utrustningar huvudsakligen avsedda för rening respektive kylning och uppvärmning av luft, gaser och vätskor samt dessutom försäljning av apparatur för materialhantering för användning företrädesvis inom process-, kemi-, och livsmedelsindustrin, gruv-, järn-, pappers-, emballage-, och cellulosaindustrin, mekaniska verkstäder, tryckerier, varuhus, kontorsfastigheter etc ävenså att utföra servicearbeten å nämnda apparater och utrust- ningarrespektive att idka med någon av ovan angivna verksamhet förenlig verksamhet.",1971-06-14,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556202-1443,Erling Pålsson Teknik & Fastighets AB,Erling Pålsson Teknik & Fastighets AB,46842,,46842,MALMÖ,21135,DJÄKNEGATAN 5,"Bolaget skall äga och förvalta aktier i dotterbolag och andra bolag, bedriva fastighetsförvaltning direkt och genom dotter- bolag samt därmed förenlig verksamhet.",1979-11-22,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556150-6832,Sörlins Sport Aktiebolag,Bengt i Örkelljunga Aktiebolag,47813,,47813; 95311,ÖRKELLJUNGA,28621,BOX 64,"Bolaget skall driva handel med husvagnar, husbilar och tillbehör ävensom idka därmed förenlig verksamhet.",1971-08-30,active,,,https://www.facebook.com/bengtiorkelljunga,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/bengt+i+%C3%B6rkelljunga+ab/%C3%B6rkelljunga/mqsxhimpq | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,rattvik@teamsportia.se,+4624810333,facebook.com,,,,,,
556162-1805,Instructa Aktiebolag,Instructa Aktiebolag,46649,,46649,INGARÖ,13469,SANDÅKERSVÄGEN 7,"Bolaget skall bedriva tillverkning och försäljning i grossist- led av säkerhetsprodukter och skyddsutrustning i affärsområde inbrott, trygghetslarm samt ITV övervakning och därmed förenlig verksamhet.",1972-04-06,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556134-1941,Globus-Sport Aktiebolag,Globus-Sport Aktiebolag,46491,,46491,KARLSKRONA,37145,LYCKEBYVÄGEN 5,"Bolaget skall bedriva grossiströrelse och webshop huvudsakligen med sportartiklar, äga och förvalta fastigheter och därmed förenlig verksamhet.",1970-03-19,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556140-4921,Flux Field Engines Scandinavia AB,Flux Field Engines Scandinavia AB,46141,,46141; 29101; 74110,INGARÖ,13469,BALDERSNÄSVÄGEN 6 A,"Aktiebolaget ska bedriva tillverkning, utveckling, försäljning av fordon och annat transportmedel för mark, sjö, luft, rymd. Tillverkning, utveckling, försäljning av energi från vind, vatten, biomassa och andra kemiska, physikaliska, mekaniska processer. Tillverkning, utveckling, försäljning av elektronik (elmotorer,generatorer, kontrollers, inverters, mätutrustning, datorer samt audio och videoutrustning), programvara, metaller, metallegeringar, kemiska ämnen, kemiska processer. Tillverkning, utveckling, försäljning av dokumentation. Bedriva utbildning och kurser förenlig med verksamheten. Anläggningsinstallationer för mark, luft och sjö.",1970-10-28,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556145-3654,Sport-Hörnan Västerås Aktiebolag,Sport-Hörnan Västerås Aktiebolag,47632,,47632,VÄSTERÅS,72134,GLASVINGEGATAN 5,"Bolaget skall bedriva försäljning och reparation av cyklar, mopeder och sportartiklar samt därmed förenlig verksamhet.",1971-03-31,active,,,https://www.sporthornan.se,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/sport+h%C3%B6rnan+v%C3%A4ster%C3%A5s+ab/v%C3%A4ster%C3%A5s/kmpsyyhi | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment | hitta_orgnr:phone_in_segment,info@sporthornan.se,+4621148670,sporthornan.se,,,,,,
556155-5870,Örebro Automobilaffär Aktiebolag,Örebro Automobilaffär Aktiebolag,47811,,47811; 47820; 95311,ÖREBRO,70227,NASTAGATAN 10 C,Föremål för bolagets verksamhet är att bedriva försäljning av bilar och biltillbehör ävensom reparationsverkstadsrörelse samt därmed förenlig verksamhet.,1971-12-20,active,,,https://www.autoexperten.se/hitta-butik-eller-verkstad/orebro-automobilaffar/,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/autoexperten-orebro-automobilaffar/%C3%B6rebro/fhntydcmn | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment,kundservice@autoexperten.se,+46 8 92 33 34,autoexperten.se,https://www.autoexperten.se/kundservice/,browser,yes,checkout_provider; product_cards; checkout; provider:stripe,main@https://www.autoexperten.se/:providers(stripe) | main@https://www.autoexperten.se/:productCards(10) | main@https://www.autoexperten.se/:samplingRan(sampled=0) | internal@https://www.autoexperten.se/bilverkstad/:hasCheckout(uiPhrase) | internal@https://www.autoexperten.se/bilverkstad/:providers(stripe) | internal@https://www.autoexperten.se/bilverkstad/:productCards(14) | DECISION@internal@https://www.autoexperten.se/bilverkstad/ | contact_like@https://www.autoexperten.se/avtalskund/serviceavtal/:providers(stripe) | contact_like@https://www.autoexperten.se/avtalskund/serviceavtal/:productCards(4) | contact_like@https://www.autoexperten.se/kundservice/:hasCheckout(uiPhrase) | contact_like@https://www.autoexperten.se/kundservice/:providers(stripe) | contact_like@https://www.autoexperten.se/kundservice/:productCards(4) | DECISION@contact_like@https://www.autoexperten.se/kundservice/,
556155-0731,Lars i kiosken Aktiebolag,Lars i kiosken Aktiebolag,47621,,47621; 47260; 47242,GRUMS,66434,GAMLA VÄGEN 101,Bolaget ska äga och förvalta fast och lös egendom och därme förenlig verksamhet.,1971-12-09,active,,,,,not_found,,hitta_orgnr:hitta_search_failed:HTTP 404 for https://www.hitta.se/undefined/- | hitta_name:hitta_no_url_found,,,,,,,,,
556112-6037,PMV Automation AB,PMV Automation AB,46649,,46649,SOLNA,17154,Korta Gatan 9,"Bolaget skall bedriva - tillverkning och försäljning av instrument för processreglering samt handel i kompletterande produkter ävensom konsultverksamhet inom detta område, - tillverkning och försäljning av instrument för vetenskaplig forskning samt handel i kompletterande produkter, - tillverkning och försäljning av verkstadsprodukter, - import och export av datorsystem för processreglering,",1967-10-23,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556113-0559,Yngve Höglund Aktiebolag,Yngve Höglund Aktiebolag,47112,,47112,DONSÖ,43082,DONSÖ BACKE 3,Bolaget skall driva handel med livsmedel samt idka därmed förenlig verksamhet.,1967-11-13,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556130-3214,Aktiebolaget Inges El.affär,Aktiebolaget Inges El.affär,47552,,47552,VÄRNAMO,33137,JÄRNVÄGSPLAN,"Bolaget skall driva handel med elektriska artiklar, försäljning och installation av byggnadsinredningar, samt därmed förenlig verksamhet.",1969-11-06,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556108-5191,Grimstorp Försäljning Aktiebolag,Grimstorp Försäljning Aktiebolag,46472,,46472,NÄSSJÖ,57138,ÖSTERLÅNGGATAN 51,Bolaget skall bedriva försäljning av verkstadsprodukter samt därmed förenlig verksamhet.,1967-02-14,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556165-5324,Kila Möbler AB,Kila Möbler AB,47553,,47553; 47551,ÅLBERGA,61190,KILA 1,"Bolaget ska bedriva försäljning av möbler, inredning och sängar i egen fysisk butik samt webbshop samt därmed förenlig verksamhet.",1972-06-15,active,,,https://www.kilamobler.se,,hitta_orgnr,high,hitta_orgnr:hitta_detail | hitta_orgnr:https://www.hitta.se/kila+m%C3%B6bler/%C3%A5lberga/jjlsxilrs | hitta_orgnr:orgnr_match | hitta_orgnr:url_in_own_segment | hitta_orgnr:email_in_segment | hitta_orgnr:phone_in_segment,kundservice@kilamobler.se,+4615572270,kilamobler.se,,,,,,
556172-5747,Ivar Håkansson Aktiebolag,Ivar Håkansson Aktiebolag,47820,,47820; 47830; 68203,HÄSSLEHOLM,28137,ÅSVÄGEN,Föremålet för bolagets verksamhet är förvaltning av fastigheter samt uthyrning av lokaler och därmed förenlig verksamhet.,1972-11-27,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_url_found,,,,,,,,,
556176-5859,Anfaco Fastighets Aktiebolag,Anfaco Fastighets Aktiebolag,47552,,47552,MALMÖ,21120,ELBEGATAN 9,Bolaget ska äga och förvalta fastigheter samt bedriva annan därmed förenling verksamhet.,1973-02-15,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
556187-1004,Encitech Connectors AB,Encitech Connectors AB,46502,,46502,HALMSTAD,30241,RÖRKULLSVÄGEN 4,"Föremålet för bolagets verksamhet är import, tillverkning och försäljning av kontaktdon samt utföra beställningsarbeten inom samma bransch och därmed förenlig verksamhet.",1974-04-08,active,,,,,not_found,,hitta_orgnr:hitta_no_url_found | hitta_name:hitta_no_next_data,,,,,,,,,
